A,B,cagr,sharpe,max_dd,end,rebalances,tier2,tier3,cash_pct,pct2,pct3
0.05,0.1,0.40553806116664903,3.0917174164540104,-0.362868575792173,2690924.9382287464,811,10,9,30.329932423479526,14.32357228037631,36.4250695640652
0.05,0.11,0.3959533680161862,3.058493121211199,-0.362868575792173,2191648.6556479125,806,10,8,30.488936001060026,14.098317212137273,35.497548694845634
0.05,0.12,0.40373880188808653,3.076453780565376,-0.36292510364185904,2589501.803031719,788,10,7,29.746919305684376,20.56446270041076,33.19199681992845
0.05,0.13,0.4061370138122533,3.092907942136695,-0.3629969696296816,2725531.5330491234,782,9,6,29.53491453557705,23.36027560620114,31.933218497416192
0.05,0.14,0.4064999629065402,3.1038509385309405,-0.36296063237038445,2746711.1144615035,778,9,5,29.389161256128265,26.619848946601298,30.820193454352722
0.05,0.15,0.40398060842669326,3.106772273273107,-0.358729175619042,2602914.156939924,780,10,6,29.40241155425997,27.163111170001326,29.958924075791703
0.05,0.16,0.4088198842992741,3.146051561761103,-0.3539508342549046,2885894.931660721,768,11,5,28.408639194381873,36.38531866967007,27.189611766264743
0.05,0.17,0.4164020693709627,3.1590338026517912,-0.3539508342549046,3389978.6015975014,770,12,5,28.55439247383066,38.836623824036046,26.036835828806147
0.05,0.18,0.4152356766032108,3.158008229034118,-0.3665943923964793,3307241.221349999,771,12,5,28.55439247383066,38.929375910958,25.944083741884192
0.05,0.19,0.41452497501722263,3.153400156295262,-0.3193542811216049,3257788.722155995,769,11,4,28.55439247383066,40.79766794752882,24.07579170531337
0.05,0.2,0.4136220535332651,3.1539279274033567,-0.3193542811216049,3195991.2012628154,770,11,4,28.55439247383066,40.82416854379223,23.890287531469458
0.05,0.21,0.4100142857271585,3.1565489726769895,-0.3193542811216049,2960187.35301517,764,12,6,28.36888829998675,44.77275738704121,20.140453160196103
0.05,0.22,0.4100142857271585,3.1565489726769895,-0.3193542811216049,2960187.35301517,764,12,6,28.36888829998675,44.77275738704121,20.140453160196103
0.05,0.23,0.3973146008259738,3.1573653202374365,-0.3193542811216049,2256662.5582856215,763,11,5,28.488140983172123,43.96448920100703,19.676692725586324
0.05,0.24,0.3871607082780486,3.157280561593411,-0.3193542811216049,1813283.6831285297,770,10,4,28.80614813833311,44.46800053001193,18.08665694978137
0.05,0.25,0.3909004164600376,3.1644643024985406,-0.2750717334360086,1965782.6671866693,774,10,4,28.87239962899165,48.50934146018285,13.621306479395786
0.05,0.26,0.38898501808939967,3.1584619334626742,-0.2750717334360086,1886189.5043913033,775,10,4,28.87239962899165,48.641844441499934,13.475553199946999
0.05,0.27,0.3796479798783483,3.1683494382492094,-0.2750717334360086,1540732.3949214797,781,9,3,29.031403206572147,48.496091162051144,12.56128262885915
0.05,0.28,0.3796479798783483,3.1683494382492094,-0.2750717334360086,1540732.3949214797,781,9,3,29.031403206572147,48.496091162051144,12.56128262885915
0.05,0.29,0.3796479798783483,3.1683494382492094,-0.2750717334360086,1540732.3949214797,781,9,3,29.031403206572147,48.496091162051144,12.56128262885915
0.05,0.3,0.37809658600959617,3.167866110016067,-0.2750717334360086,1489606.5807797406,783,10,3,29.031403206572147,48.456340267656024,12.455280243805486
0.05,0.31,0.3770822487567729,3.1664003354601675,-0.2750717334360086,1457070.172773555,783,10,3,29.031403206572147,48.48284086391944,12.336027560620114
0.05,0.32,0.3753356743908567,3.1757602050745337,-0.27507173343600844,1402649.248850276,785,11,4,29.057903802835565,50.11262753411951,10.467735524049292
0.05,0.33,0.35962368651426924,3.1470463170635536,-0.27507173343600844,993764.8987045264,783,10,3,29.33616006360143,51.38465615476348,7.751424407049158
0.05,0.34,0.3567936515413368,3.1404912250509183,-0.27507173343600844,933560.0797860157,783,10,2,29.33616006360143,54.18046906055386,4.876109712468531
0.05,0.35,0.3567936515413368,3.1404912250509183,-0.27507173343600844,933560.0797860157,783,10,2,29.33616006360143,54.18046906055386,4.876109712468531
0.06,0.1,0.39760192755954593,3.060556373820324,-0.3626001479153822,2270621.9264556067,812,9,9,30.541937193586854,11.925268318537167,36.4250695640652
0.06,0.11,0.3880713666731599,3.027152673882173,-0.3626001479153822,1849329.5437986036,807,9,8,30.70094077116735,11.70001325029813,35.497548694845634
0.06,0.12,0.3958072370555088,3.0450277407131425,-0.3626613618448967,2184777.8840971165,789,9,7,29.958924075791703,18.166158738571617,33.19199681992845
