strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Original strict SMA20,0.0,0.25,0.3333333333333333,0.16280558801653155,0.323924621123244,3.799182372120959,-0.40864269433427153,424.462509976497,380,2070.7504592504383,59.76825000769066,1,1,0,975,41.03174603174603,1.4682539682539681,4.0476190476190474,53.45238095238095,0
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.30088435361706756,0.3550823914921698,3.2479388278742958,-0.3390606346520367,1253.5570821054457,306,3465.8293904039524,149.66522175904962,1,1,265,719,30.873015873015873,1.507936507936508,5.079365079365079,62.53968253968254,0
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.2800080133188405,0.33743116225135006,3.2611709303332326,-0.27664657978911084,1072.3503695263676,308,3257.77890575159,135.9952762262035,3,3,265,716,30.912698412698415,3.1746031746031744,12.103174603174603,53.80952380952381,0
Original strict SMA20,0.0,0.25,0.3333333333333333,0.3725885765468271,0.2893186373304746,3.3709090469895484,-0.31827239621926234,2103.909010161813,326,4233.772999236167,109.92568273617943,3,2,0,622,40.07936507936508,19.960317460317462,12.420634920634921,27.53968253968254,1
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.5223662002984308,0.3213716719109826,3.1697523761615907,-0.27300833416681214,5716.279841588768,283,5486.9541882565345,245.75862114525108,3,2,239,594,33.33333333333333,12.46031746031746,24.00793650793651,30.198412698412696,1
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.5379948371409555,0.3304044946374479,3.183961953470558,-0.27300833416681214,6308.447807438479,282,6369.356435003942,274.30473526561343,4,4,239,634,32.61904761904762,8.333333333333332,29.325396825396826,29.72222222222222,1
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2673419595756572,0.2143135097333898,3.314216071943057,-0.18087429074761444,974.2167110364953,314,1905.4676229611885,35.633586897019654,2,1,0,319,33.05555555555556,40.51587301587302,11.30952380952381,15.119047619047619,2
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.29685061984404326,0.2258717473891923,3.0395142586414616,-0.23874776232097827,1216.5432776963821,288,2296.1591087262723,51.766208968712085,2,1,267,226,29.365079365079367,40.75396825396825,12.46031746031746,17.42063492063492,2
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.3017951796453129,0.21956258890454877,3.138007808786826,-0.17851384166208834,1262.0532948092875,283,2380.5949140800135,54.21727644353782,4,2,267,279,28.333333333333332,30.674603174603178,32.06349206349206,8.928571428571429,2
Original strict SMA20,0.0,0.25,0.3333333333333333,0.21436661849820737,0.24844965657580428,3.442609472838401,-0.4330524038934803,645.1918956039925,345,2054.3584006097026,46.873854961443094,3,1,0,661,39.404761904761905,26.031746031746035,18.412698412698415,16.150793650793652,3
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.269386120660418,0.2672201575024967,3.125812621693523,-0.5320601898818905,989.4880681236531,311,1908.5452269385678,65.43604410595225,3,1,295,459,31.38888888888889,26.031746031746035,22.5,20.07936507936508,3
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.31629749260867257,0.24818414682265028,3.226658282220322,-0.2864970050021247,1404.4688196478742,321,2150.818500889466,73.03807113410261,3,1,295,447,32.182539682539684,25.992063492063494,35.51587301587302,6.309523809523809,3
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2444419764955612,0.22549572089514525,3.4626650161079082,-0.25256427067329357,817.0118296921872,307,2328.58325931991,76.6924459074194,3,2,0,718,40.55555555555556,24.72222222222222,16.944444444444446,17.77777777777778,4
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.21107698582206247,0.2563661055058537,2.9841776403839932,-0.31867870678135246,628.5204998312078,292,2562.2770288238307,95.56084514838484,3,2,267,551,33.05555555555556,22.976190476190474,22.341269841269842,21.626984126984127,4
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.2213151316567017,0.24934478335865712,3.02061160515917,-0.31867870678135246,681.7153863554763,276,2709.9320252675725,99.6434910266937,3,2,267,588,32.06349206349206,17.6984126984127,35.11904761904761,15.119047619047619,4
Original strict SMA20,0.0,0.25,0.3333333333333333,0.26291112051157084,0.24849135228525254,3.345903034286511,-0.31889071723122897,941.8381202499385,324,2506.471134926255,75.81282970041059,3,2,0,538,37.46031746031746,32.301587301587304,1.9047619047619049,28.333333333333332,5
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.26674099544238583,0.2670569135692912,3.0720354890314385,-0.2645318500802871,969.767442765706,317,2148.0300116716844,81.44417243028109,3,2,287,404,32.142857142857146,32.5,2.1825396825396823,33.17460317460317,5
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.2729001433448348,0.21664998219346776,3.2609438399206923,-0.1967111482880706,1016.2425239308718,307,1864.734851241919,64.45217376385806,5,3,287,387,32.34126984126984,32.77777777777778,21.349206349206348,13.531746031746032,5
Original strict SMA20,0.0,0.25,0.3333333333333333,0.26305430930811924,0.2523670421304402,3.7110456024543375,-0.27537226406314824,942.8692051074781,323,1947.2238538434588,66.24443016818468,2,2,0,917,42.53968253968254,9.166666666666666,26.150793650793652,22.142857142857142,6
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.24166070324559064,0.27760778367491346,3.043681773954538,-0.368210410291733,799.5587738851912,298,1651.6493566791576,67.50736448668545,3,2,303,659,32.301587301587304,9.007936507936508,33.29365079365079,25.396825396825395,6
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.24194758902976665,0.277094897339594,3.1068338371223887,-0.36821041029173174,801.3434501755996,302,1734.4023781944736,70.42131171935944,4,3,303,660,31.944444444444443,4.841269841269842,38.88888888888889,24.325396825396826,6
Original strict SMA20,0.0,0.25,0.3333333333333333,0.34059525136296465,0.28038547049474916,3.3529911855183006,-0.2710563836313306,1675.6194815295087,299,3285.521360249267,59.79499480118632,3,1,0,702,39.32539682539682,22.142857142857142,11.468253968253968,27.063492063492063,7
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.48411879377010214,0.30453392453214634,3.0145785641491787,-0.27646478380889516,4471.634005872051,245,4259.392094637364,128.48136772144855,2,1,253,543,33.05555555555556,22.301587301587304,12.658730158730158,31.98412698412698,7
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.4459189206797656,0.29958599552539383,2.950262418640111,-0.27646478380889516,3476.7398849678584,242,3325.5392456530953,106.96973254567588,3,2,253,540,32.61904761904762,23.095238095238095,16.706349206349206,27.579365079365083,7
Original strict SMA20,0.0,0.25,0.3333333333333333,0.15529730051792923,0.2854204332529277,3.5597947944701422,-0.5870694372892743,398.7382471075887,354,3104.3802243187174,88.67491774098829,2,3,0,775,40.317460317460316,16.30952380952381,3.6904761904761907,39.682539682539684,8
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.29943248115974597,0.3151218271918597,2.89591636179051,-0.4086566984344937,1240.119932899117,275,3214.7074462723963,160.0170806674071,2,3,282,568,32.10317460317461,16.23015873015873,2.2222222222222223,49.44444444444444,8
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.30015582277325636,0.2812543171424889,3.029960852197915,-0.2806361470136888,1246.7982685249187,272,2751.66356100791,130.81616060261786,3,3,282,640,30.396825396825395,8.69047619047619,34.92063492063492,25.992063492063494,8
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2307284224781394,0.2581763349128129,3.5541499178817837,-0.3008268296022226,734.1486919478057,309,2933.7208865504,108.82335117610317,2,2,0,818,39.88095238095239,16.38888888888889,10.674603174603174,33.05555555555556,9
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.3298810288508136,0.28206277935712204,3.101886676471486,-0.3567723610516685,1550.754432382373,267,3591.3227361968,195.08685420503716,2,2,252,609,31.706349206349206,16.706349206349206,13.80952380952381,37.77777777777778,9
