strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp_vs_original,max_dd_delta_pp_vs_original,sharpe_delta_vs_original,keeps_original_cagr,improves_original_drawdown,improves_original_sharpe
Lead 0.75 X60.00% Y15.00%,0.0075,0.6,0.15,0.3932073159577718,0.29996142743179416,3.1055282604707872,-0.3184197110048472,2065959.7247402475,768,2156076.9354035445,154704.44744366375,6,4,751,1764,28.938651119650196,11.567510268981051,35.6035510798993,23.890287531469458,9.930013518455038,2.5295412148226837,-0.12694212213465006,True,True,False
Lead 0.75 X50.00% Y15.00%,0.0075,0.5,0.15,0.4050294769555476,0.297377762612379,3.1035353618186186,-0.3184197110048472,2661873.5001356136,773,2797744.6448942143,189810.81082165014,8,4,751,1652,29.216907380416057,12.09752219424937,34.79528289386511,23.890287531469458,11.112229618232616,2.5295412148226837,-0.12893502078681873,True,True,False
Lead 0.75 X55.00% Y15.00%,0.0075,0.55,0.15,0.39154981900770625,0.29840390579918363,3.090983630195399,-0.3184197110048472,1993497.8615091199,777,2070396.9439478759,142116.81551808957,7,4,751,1705,29.389161256128265,13.634556777527497,33.085994434874785,23.890287531469458,9.764263823448482,2.5295412148226837,-0.14148675241003827,True,True,False
Lead 0.75 X45.00% Y15.00%,0.0075,0.45,0.15,0.4005558902282187,0.2946887883754231,3.0767401279461892,-0.31841327305287914,2419062.856597655,773,2633503.4773647296,165386.21179567504,9,4,751,1577,29.680667815025842,14.694580628064132,31.734464025440573,23.890287531469458,10.664870945499727,2.530185010019487,-0.15573025465924806,True,True,False
Lead 0.75 X40.00% Y15.00%,0.0075,0.4,0.15,0.4074350393914066,0.2938843321969315,3.0761185746243287,-0.31811292808872954,2802012.23601316,769,2518478.2275939034,205473.48304684644,10,4,751,1522,29.614416324367298,14.972836888829999,31.522459255333246,23.890287531469458,11.352785861818514,2.560219506434447,-0.1563518079811086,True,True,False
Lead 0.75 X35.00% Y15.00%,0.0075,0.35,0.15,0.3925762925322638,0.29113773733113985,3.0576476905103975,-0.31742245461947416,2038077.6623599501,788,1939959.9031550372,147712.4838973821,10,4,751,1479,30.038425864581953,18.08665694978137,27.98462965416722,23.890287531469458,9.866911175904235,2.629266853359985,-0.17482269209503976,True,True,False
Lead 0.75 X30.00% Y15.00%,0.0075,0.3,0.15,0.38286777191360666,0.2887655899721036,3.0342031292192364,-0.31725754732123684,1652308.9888746475,799,1615404.6707328467,111722.55180587142,10,4,751,1422,30.475685702928317,21.107724923810785,24.52630184179144,23.890287531469458,8.896059114038524,2.6457575831837166,-0.19826725338620088,True,True,False
Lead 0.75 X25.00% Y15.00%,0.0075,0.25,0.15,0.367245617801377,0.2867289241510574,2.9775380342529565,-0.31702641954827426,1175172.3864138543,805,1035082.5643511178,64497.543600862315,10,4,751,1370,31.204452100172254,24.486550947396317,20.41870942096197,23.890287531469458,7.333843702815557,2.668870360479975,-0.2549323483524808,True,True,False
Lead 0.75 X20.00% Y15.00%,0.0075,0.2,0.15,0.35981442036372946,0.28434621388875986,2.936108944298393,-0.3172728934044642,997954.747203668,805,981126.4305876502,47626.3868760873,10,4,751,1316,31.668212534782032,27.71962369153306,16.72187624221545,23.890287531469458,6.590723959050804,2.6442229748609822,-0.2963614383070441,True,True,False
Lead 0.75 X15.00% Y15.00%,0.0075,0.15,0.15,0.3454800058504106,0.27967156431639345,2.897113171780903,-0.31695106233090947,726223.8889066248,822,756123.6679396916,29686.239582146234,11,4,751,1176,32.46323042268451,32.569232807738175,11.077249238107857,23.890287531469458,5.157282507718919,2.6764060822164537,-0.3353572108245344,True,True,False
