strategy,sma_type,period,leverage,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,pct_days_in_market,borrowing_costs,trading_costs
SMA200d @ 2x/cash,daily,200,2.0,0.298641842459765,2535.387934417268,-0.21291824103747356,-0.06911285815281965,0.0806496364806385,371.0,0.23067342653865713,0.19304503501950376,1.4362931897081865,1.7162558547576812,1.4026127634935897,0.6818603418576918,1.3393901512868198,0.33131467158412486,0.10207864733129478,-0.13753391084657318,0.22409477172772907,-0.14126333706676486,0.5750307112343491,0.18387048283777102,0.6131338287591078,0.2148355892412097,-0.13255364955411103,5.123455412468025,251102.40550730954,0.0,0.0,0.0,71.78060413354531,22750.164070618084,69876.94323318546
SMA3m @ 2x/cash,monthly,3,2.0,0.3063036263624104,3024.8500830409644,-0.2341039561546095,-0.07066923105821361,0.082350550526277,561.0,0.22163409243356455,0.17699734731124062,2.2309429030445838,2.793561672525624,1.30840858648334,0.7098184709155956,1.604756941733687,0.4944530055873881,0.14148374808873,-0.1179179995011439,0.23134215859439,-0.1456207365228731,0.5444318742949666,0.1976395407516533,1.3908661685713812,0.211998327410113,0.4210977769433965,6.773143740428821,299559.15822105546,0.0,0.0,0.0,68.20349761526232,25169.08656268108,276448.0151002704
SMA10m @ 2x/cash,monthly,10,2.0,0.30459413567495064,2908.299468808096,-0.24626204623394685,-0.06833571496331324,0.07824049288133689,274.0,0.23194561008837875,0.19341338020276727,1.4203386022101738,1.7033015155225562,1.2368699941102121,0.6790777792500331,1.3339194553416003,0.3294413036217138,0.10207864733129478,-0.13753391084657318,0.22409477172772885,-0.14960902837132717,0.5812679081434186,0.1885778832924511,0.6044007955437692,0.2148402192388701,-0.13120698881897647,5.053839663251215,288020.6474120015,0.0,0.0,0.0,72.28404875463698,26454.727222702357,77937.51608460413
SMA20d @ 2x/cash,daily,20,2.0,0.37634603466148686,14495.373022321124,-0.31511070630039273,-0.06901220936570658,0.0838962621278999,715.0,0.21964501250879023,0.1599592511701436,3.7984202744182274,5.215728772078403,1.1943295709626538,0.7605671127600371,2.426213428509229,0.834304068688234,0.14148374808873,-0.10539306332320135,0.32703903769416653,-0.10267635498651617,0.5494578770678384,0.2666788005919837,3.039968274751527,0.20878914091337672,1.2807932245909894,9.432746866055979,1435140.9292097914,0.0,0.0,0.0,62.90408055113937,103788.39601020348,1802453.6806280923
SMA150d @ 2x/cash,daily,150,2.0,0.2967630721296366,2427.597510694422,-0.2520369512863838,-0.08349915252518596,0.09732423431546847,474.0,0.22590088326969646,0.18430376869114837,1.7421567353162177,2.13535918498603,1.1774585853977877,0.6903405326619849,1.4273527916532027,0.3935547453021843,0.10207864733129478,-0.08204011627292815,0.23134215859438956,-0.13111063436435444,0.5576609913204688,0.1854585645067123,0.908227919742956,0.2135620771910824,0.05505393952346112,4.219896131163048,240431.15355874778,0.0,0.0,0.0,70.90620031796503,21276.38569162587,94463.41869669255
SMA8m @ 2x/cash,monthly,8,2.0,0.2963358001148386,2403.7090601365744,-0.27401163158495284,-0.08105407869501997,0.09378539280409544,489.0,0.23018332310349793,0.19225959951772914,1.5601753068293442,1.8679240862398723,1.081471609072787,0.6841128925400821,1.3749917364268145,0.35912633674999794,0.10207864733129478,-0.13753391084657318,0.23134215859439,-0.15853340141898165,0.5730448120235172,0.18196080950070193,0.742904257414003,0.21474453936552157,-0.11098675424836026,5.173096369427843,238066.19695352088,0.0,0.0,0.0,71.54213036565977,20755.808230312272,92488.35737353281
SMA6m @ 2x/cash,monthly,6,2.0,0.288511308046133,2004.3718814523893,-0.26861803174873494,-0.08601172073929511,0.10021612345248236,506.0,0.22525642397460643,0.18385505899378046,1.8379759907010742,2.251860249494217,1.0740578589154663,0.6933881012322777,1.4602154822131164,0.4140158990165084,0.1106842465052796,-0.1179179995011439,0.23134215859438934,-0.12522453859730787,0.5549270328038513,0.17775247586274961,1.0044074477963687,0.21348327841256437,0.10452557664386586,5.205484188911435,198531.81626378655,0.0,0.0,0.0,70.57498675145733,17343.75839843327,91974.74292092831
SMA12m @ 2x/cash,monthly,12,2.0,0.2942019686547268,2287.767699603112,-0.2753668197949522,-0.0681544066531749,0.08104720497180455,421.0,0.23800721664191984,0.20152444383377127,1.2714938651427448,1.5016774643453337,1.068400212029176,0.6733801510533987,1.2940871223423482,0.3026247158199012,0.10207864733129478,-0.13753391084657318,0.2240947717277293,-0.18424122414387056,0.6090596114923086,0.17263872283823084,0.4783628082847228,0.2153867521398793,-0.2310200209547734,5.402337516299581,226588.00226070808,0.0,0.0,0.0,73.13195548489666,20704.60003107688,59683.71278053213
SMA250d @ 2x/cash,daily,250,2.0,0.2904350550024226,2096.151470564091,-0.2740581071915569,-0.07278356289247397,0.08538695651603026,363.0,0.23606535135549614,0.20035437313038945,1.3076590105324595,1.540734943547401,1.0597572098074035,0.6761627136610574,1.3044260122363247,0.3086929837745255,0.10207864733129478,-0.13753391084657318,0.2240947717277295,-0.1884249355186659,0.6015561943122627,0.17036942900820762,0.5077142855078977,0.2148871573830975,-0.22970638231041787,5.520195118522023,207617.99558584503,0.0,0.0,0.0,72.76099629040806,19185.736070466224,69563.70638459308
SMA50d @ 2x/cash,daily,50,2.0,0.31353735110758296,3569.9714990436387,-0.30080195035051094,-0.08118331648677606,0.09593384369079522,535.0,0.21902791888482182,0.1751434123346332,2.5330403740843415,3.1677272595722705,1.0423381588524676,0.7249238107857426,1.733870235752076,0.5548065615869239,0.14148374808873,-0.1179179995011439,0.23134215859438978,-0.11853590678463699,0.5338907194981903,0.20697719254693933,1.6784920993054457,0.2116273633548633,0.5622319371554966,7.371010226430042,353526.1784053202,0.0,0.0,0.0,66.01748807631161,27417.209380942357,316066.7276991889
