start_date,peak_date,trough_date,recovery_date,depth,calendar_days_to_recovery,trading_days_to_recovery
1996-05-21,1996-05-20,1996-05-21,1996-05-22,-0.0005793874088870776,1.0,1
1996-05-23,1996-05-22,1996-05-23,1996-05-24,-0.003567086717840229,1.0,1
1996-05-28,1996-05-24,1996-07-24,1996-09-13,-0.07643215959256999,108.0,76
1996-09-17,1996-09-16,1996-09-18,1996-09-20,-0.0036697123268210063,3.0,3
1996-09-23,1996-09-20,1996-09-24,1996-09-30,-0.002066931407300854,7.0,5
1996-10-03,1996-10-02,1996-10-03,1996-10-04,-0.001772280588813624,1.0,1
1996-10-08,1996-10-07,1996-10-10,1996-10-14,-0.012412263159452208,6.0,4
1996-10-15,1996-10-14,1996-10-15,1996-10-16,-0.0013787001924818743,1.0,1
1996-10-21,1996-10-18,1996-10-28,1996-11-05,-0.019076555835335074,15.0,11
1996-11-12,1996-11-11,1996-11-12,1996-11-14,-0.0031562949349001057,2.0,2
1996-11-18,1996-11-15,1996-11-18,1996-11-19,-0.0008133938747717506,1.0,1
1996-11-21,1996-11-20,1996-11-21,1996-11-22,-0.001613028009061046,1.0,1
1996-11-26,1996-11-25,1996-12-16,1997-01-10,-0.047620368324897355,45.0,30
1997-01-15,1997-01-14,1997-01-15,1997-01-16,-0.0021590057697855602,1.0,1
1997-01-23,1997-01-22,1997-01-27,1997-02-03,-0.026976789825357006,11.0,7
1997-02-05,1997-02-04,1997-02-05,1997-02-07,-0.01391174053276889,2.0,2
1997-02-10,1997-02-07,1997-02-10,1997-02-11,-0.005230767637143363,1.0,1
1997-02-14,1997-02-13,1997-02-14,1997-02-18,-0.004114245553614282,4.0,1
1997-02-19,1997-02-18,1997-04-11,1997-05-05,-0.09633825690635511,75.0,52
1997-05-06,1997-05-05,1997-05-07,1997-05-12,-0.01766850533955633,6.0,4
1997-05-13,1997-05-12,1997-05-13,1997-05-15,-0.00540788435278039,2.0,2
1997-05-16,1997-05-15,1997-05-16,1997-05-23,-0.014408234917636431,7.0,5
1997-05-28,1997-05-27,1997-06-04,1997-06-06,-0.011298015055544064,9.0,7
1997-06-18,1997-06-17,1997-06-18,1997-06-19,-0.005992694096706996,1.0,1
1997-06-23,1997-06-20,1997-06-23,1997-07-02,-0.022343403601977396,9.0,7
1997-07-07,1997-07-03,1997-07-07,1997-07-08,-0.005147636425312241,1.0,1
1997-07-09,1997-07-08,1997-07-09,1997-07-15,-0.012201384460034048,6.0,4
1997-07-17,1997-07-16,1997-07-21,1997-07-24,-0.025251202485537583,7.0,5
1997-07-25,1997-07-24,1997-07-28,1997-07-29,-0.0040944120343699986,4.0,2
1997-08-01,1997-07-31,1997-08-01,1997-08-06,-0.007513263958775607,5.0,3
1997-08-07,1997-08-06,1997-08-29,1997-10-02,-0.06336433288591248,56.0,39
