starting_state,horizon,selloff_threshold_pct,probability,observations
Near high (0 to -2%),1m,3,0.2971818958155423,2342
Near high (0 to -2%),1m,5,0.13151152860802734,2342
Near high (0 to -2%),1m,7,0.06959863364645602,2342
Near high (0 to -2%),1m,10,0.015798462852263023,2342
Near high (0 to -2%),1m,15,0.004696840307429547,2342
Near high (0 to -2%),1m,20,0.0034158838599487617,2342
Pullback (-2% to -5%),1m,3,0.293036750483559,1034
Pullback (-2% to -5%),1m,5,0.18181818181818182,1034
Pullback (-2% to -5%),1m,7,0.0735009671179884,1034
Pullback (-2% to -5%),1m,10,0.014506769825918761,1034
Pullback (-2% to -5%),1m,15,0.0019342359767891683,1034
Pullback (-2% to -5%),1m,20,0.0009671179883945841,1034
Dip (-5% to -10%),1m,3,0.37780040733197556,982
Dip (-5% to -10%),1m,5,0.20672097759674135,982
Dip (-5% to -10%),1m,7,0.11303462321792261,982
Dip (-5% to -10%),1m,10,0.06822810590631365,982
Dip (-5% to -10%),1m,15,0.004073319755600814,982
Dip (-5% to -10%),1m,20,0.004073319755600814,982
Correction (-10% to -20%),1m,3,0.398355754857997,1338
Correction (-10% to -20%),1m,5,0.23617339312406577,1338
Correction (-10% to -20%),1m,7,0.14275037369207771,1338
Correction (-10% to -20%),1m,10,0.05904334828101644,1338
Correction (-10% to -20%),1m,15,0.014947683109118086,1338
Correction (-10% to -20%),1m,20,0.005979073243647235,1338
Bear drawdown (< -20%),1m,3,0.4123429819770617,1831
Bear drawdown (< -20%),1m,5,0.22829055161114145,1831
Bear drawdown (< -20%),1m,7,0.14800655379574004,1831
Bear drawdown (< -20%),1m,10,0.08629164391043145,1831
Bear drawdown (< -20%),1m,15,0.040415073730202075,1831
Bear drawdown (< -20%),1m,20,0.013653741125068269,1831
