asset,strategy,start_date,end_date,trading_days,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs,pct_cash,pct_invested,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage
Gold (GLD),Buy & hold 1x,2004-11-18,2026-05-18,5407,0.14332020455138972,0.18120410701800513,0.6680190298297122,-0.4047903590519816,0.35406032121675385,1779.5524021633328,0,0.0,0.0,100.0,,,,,,,,,
Gold (GLD),Guarded A5/B25 lead 0.75% (max 1x),2004-11-18,2026-05-18,5407,0.18617703243108608,0.13997334185420926,3.0475105424689786,-0.1959135074545249,0.950302175945174,3885.697874237039,569,6464.395013420136,32.01405585352321,67.98594414647678,9.0,2.0,667.0,1691.0,32.01405585352321,67.98594414647678,0.0,0.0,1.0
Gold (GLD),SMA20 1x/cash,2004-11-18,2026-05-18,5407,0.18398615263059348,0.13025373345132346,3.553751604449713,-0.20267234068059142,0.9078009955021583,3734.316027523539,651,7447.359845590673,44.16497133345663,55.83502866654337,,,,,,,,,
Nasdaq 100,Buy & hold 1x,1996-05-20,2026-05-18,7547,0.1562899073799877,0.27555161598941913,0.5900226655249333,-0.8185811307853335,0.19092781582937993,7790.590554078655,0,0.0,0.0,100.0,,,,,,,,,
Nasdaq 100,Guarded A5/B25 lead 0.75% (max 1x),1996-05-20,2026-05-18,7547,0.4240196129746978,0.17746563584366667,3.5821672964666886,-0.10494731891489892,4.040309150903917,3981654.3964415356,808,3049683.7401062245,31.36345567775275,68.63654432224725,13.0,3.0,559.0,2253.0,31.36345567775275,68.63654432224725,0.0,0.0,1.0
Nasdaq 100,SMA20 1x/cash,1996-05-20,2026-05-18,7547,0.41311055714695954,0.16777195247733642,3.8778928450005647,-0.12135601452628489,3.4041209968829573,3161487.897659075,880,2864009.1995668304,38.25361070624089,61.74638929375911,,,,,,,,,
SPX,Buy & hold 1x,1996-05-20,2026-05-18,7547,0.11355338900116796,0.19118699756954288,0.5145608022339747,-0.5364942916611298,0.21165814952024242,2517.7441767920573,0,0.0,0.0,100.0,,,,,,,,,
SPX,Guarded A5/B25 lead 0.75% (full 2x/3x),1996-05-20,2026-05-18,7547,0.3908171455711509,0.27880037850566325,3.1642339366136008,-0.27507173343600794,1.4207826470911076,1962255.8905823207,774,2020855.9888571452,28.859149330859946,71.14085066914005,10.0,4.0,751.0,1859.0,28.859149330859946,8.996952431429706,48.52259175831456,13.621306479395786,3.0
SPX,Guarded A5/B25 lead 0.75% (max 1x),1996-05-20,2026-05-18,7547,0.19752272740512766,0.1190718699013098,3.6116612737875147,-0.17942546175677052,1.1008623049993307,22060.34532766666,764,27268.93722838449,28.859149330859946,71.14085066914005,10.0,4.0,751.0,1859.0,28.859149330859946,71.14085066914005,0.0,0.0,1.0
SPX,SMA20 1x/cash,1996-05-20,2026-05-18,7547,0.16046245692388927,0.10987561833326391,3.912763855141908,-0.16919120234236976,0.9484089875972553,8592.621126028036,868,14820.369105404998,37.06108387438717,62.93891612561283,,,,,,,,,
World equities (30y proxy -> VT),Buy & hold 1x,1996-05-21,2026-05-18,7543,0.11679980749536889,0.1971832568796639,0.5400272407604465,-0.5493570181593603,0.21261184190694546,2746.630194260245,0,0.0,0.0,100.0,,,,,,,,,
World equities (30y proxy -> VT),Guarded A5/B25 lead 0.75% (max 1x),1996-05-21,2026-05-18,7543,0.20017560540380308,0.1254256302421855,3.5275894012799123,-0.12921043232331836,1.549221698313889,23562.40879513813,790,33404.801498720255,28.05249900570065,71.94750099429935,11.0,4.0,790.0,1903.0,28.05249900570065,71.94750099429935,0.0,0.0,1.0
World equities (30y proxy -> VT),SMA20 1x/cash,1996-05-21,2026-05-18,7543,0.17792056869690964,0.11440229099284271,3.9533516505739748,-0.18131669001936052,0.9812696706404235,13441.071469255192,882,27723.270166029262,37.3989128993769,62.6010871006231,,,,,,,,,
World equities (VT),Buy & hold 1x,2008-06-26,2026-05-18,4501,0.13748823705011226,0.20560615018851933,0.5140644640094987,-0.4630898411560668,0.2968932263918463,1002.2915555856297,0,0.0,0.0,100.0,,,,,,,,,
World equities (VT),Guarded A5/B25 lead 0.75% (max 1x),2008-06-26,2026-05-18,4501,0.20954794607634475,0.12325007553401718,3.4852966661042206,-0.12921043232331894,1.6217571778724487,2977.936973089958,448,3978.1222906219227,27.682737169517885,72.31726283048212,6.0,1.0,449.0,1061.0,27.682737169517885,72.31726283048211,0.0,0.0,1.0
World equities (VT),SMA20 1x/cash,2008-06-26,2026-05-18,4501,0.17968841972449034,0.11234828794855481,3.9829438995159636,-0.14760621489163483,1.2173499595285244,1904.081804069898,532,3452.7036329340467,35.725394356809595,64.2746056431904,,,,,,,,,
