strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,simulation
Guarded A5/B25 SMA20 Lead (max 1x),0.14634476413605868,0.14624078645712635,0.8872899798922804,-0.25682124025293124,0.5698312335534653,373.260880237374,268,74.72488977330698,0.0,30.793650793650794,69.2063492063492,0.0,0.0,7,3,227,739,30.833333333333332,0
Guarded A5/B25 SMA20 Lead (max 1x),0.10962306148269785,0.1495417191025888,0.4412125957656858,-0.32576751410003607,0.3365070387252764,272.6155078688179,266,35.77298323883602,0.0,31.46825396825397,68.53174603174604,0.0,0.0,5,2,222,751,31.50793650793651,1
Guarded A5/B25 SMA20 Lead (max 1x),0.12462311411822746,0.1673068326750811,0.6265836111151564,-0.24680971134452878,0.5049360231383379,310.33461531320523,260,50.311861635334374,0.0,31.19047619047619,68.80952380952381,0.0,0.0,6,3,253,738,31.23015873015873,2
Guarded A5/B25 SMA20 Lead (max 1x),0.1479239641087151,0.15791561708594531,0.6988912030205939,-0.41232619929199715,0.3587547052860441,378.2530859771269,244,37.66713144347454,0.0,32.06349206349206,67.93650793650794,0.0,0.0,7,4,195,764,32.1031746031746,3
Guarded A5/B25 SMA20 Lead (max 1x),0.058914734011898284,0.1527295324388499,0.25434462226673643,-0.37212882755662574,0.15831811364555842,173.57893754791544,293,48.264791349748094,0.0,36.7063492063492,63.29365079365079,0.0,0.0,4,3,245,825,36.70634920634921,4
Guarded A5/B25 SMA20 Lead (max 1x),0.1912167570554708,0.17356081592268596,0.9726953184974666,-0.1846046537300754,1.0358176416021638,540.6881712186731,272,85.13083108439972,0.0,28.253968253968253,71.74603174603175,0.0,0.0,7,1,228,680,28.293650793650794,5
Guarded A5/B25 SMA20 Lead (max 1x),0.12505394912846612,0.16255061356148923,0.6843469867161942,-0.25077376818567204,0.49867236925624775,311.48388739032424,253,62.6813191625376,0.0,31.23015873015873,68.76984126984127,0.0,0.0,7,2,228,723,31.23015873015873,6
Guarded A5/B25 SMA20 Lead (max 1x),0.14061004801453225,0.1537398186716698,0.8488065846369159,-0.3663274541941717,0.38383704634925336,355.62492972723953,256,82.51847819301457,0.0,29.761904761904763,70.23809523809523,0.0,0.0,5,1,194,674,29.8015873015873,7
Guarded A5/B25 SMA20 Lead (max 1x),0.07795023926100453,0.14722410709685102,0.36244531189502244,-0.3013948829483907,0.2586315948647089,206.14518395947064,270,42.384593858702644,0.0,31.150793650793652,68.84920634920636,0.0,0.0,6,2,257,742,31.150793650793652,8
Guarded A5/B25 SMA20 Lead (max 1x),0.08139109919045562,0.15294020836395178,0.31865895618384,-0.27188496665418865,0.2993585860669421,212.58411952115617,290,38.544142814291575,0.0,30.5952380952381,69.4047619047619,0.0,0.0,5,2,277,738,30.634920634920636,9
Guarded A5/B25 SMA20 Lead (max 1x),0.057938616172645174,0.1633251806854872,0.11976247193392875,-0.3057068295264312,0.18952346031129752,172.04086734443882,292,34.7346971784149,0.0,35.15873015873016,64.84126984126985,0.0,0.0,5,2,260,864,35.198412698412696,10
Guarded A5/B25 SMA20 Lead (max 1x),0.20935115653162994,0.1644767575417038,1.078838734218852,-0.20984763148509625,0.9976341169545124,625.5653178846802,211,55.55215704137065,0.0,30.992063492063494,69.0079365079365,0.0,0.0,7,2,193,704,30.99206349206349,11
Guarded A5/B25 SMA20 Lead (max 1x),0.0749189072956229,0.15043984629777118,0.3120858832942527,-0.2502489050830125,0.2993775627940143,200.61804976019863,266,40.87595682782901,0.0,36.42857142857142,63.57142857142857,0.0,0.0,3,3,209,892,36.46825396825397,12
Guarded A5/B25 SMA20 Lead (max 1x),0.1117066862479168,0.17786849796663848,0.5359501435439851,-0.3306075518196801,0.33788304481575737,277.59624361363797,254,48.49569524445466,0.0,30.793650793650794,69.2063492063492,0.0,0.0,7,3,245,714,30.833333333333332,13
Guarded A5/B25 SMA20 Lead (max 1x),0.17122583368844513,0.16566272831144727,0.9004209584431175,-0.2831843442398731,0.6046444203970796,459.20976978377143,250,67.67389736116657,0.0,28.214285714285715,71.78571428571429,0.0,0.0,6,1,205,628,28.253968253968253,14
Guarded A5/B25 SMA20 Lead (max 1x),0.13282079419239756,0.1400290439900134,0.7366168318660181,-0.19591453453561128,0.6779527333550375,332.8673771590192,246,43.11493854587671,0.0,34.24603174603175,65.75396825396825,0.0,0.0,2,3,199,817,34.285714285714285,15
Guarded A5/B25 SMA20 Lead (max 1x),0.14578592222774867,0.14071565746724493,0.7891264322523149,-0.20661286846108445,0.7055994300529613,371.5084550670578,232,44.46584453229098,0.0,29.365079365079367,70.63492063492063,0.0,0.0,6,4,197,672,29.404761904761905,16
Guarded A5/B25 SMA20 Lead (max 1x),0.09309483123974194,0.1590737315739592,0.36942035837588016,-0.3732473683975084,0.2494185870336692,235.85732681915644,290,39.28768175410303,0.0,36.19047619047619,63.8095238095238,0.0,0.0,5,2,223,873,36.23015873015873,17
Guarded A5/B25 SMA20 Lead (max 1x),0.04802520620881823,0.15276325056251697,0.1443182294554368,-0.2908588621783443,0.16511515533389828,157.09830089320369,318,43.109069638061726,0.0,32.817460317460316,67.18253968253968,0.0,0.0,3,1,310,758,32.817460317460316,18
Guarded A5/B25 SMA20 Lead (max 1x),0.06913972891622255,0.15522794457596256,0.09652736599629864,-0.30371615714106953,0.22764587029892078,190.447349983063,254,26.75510277463957,0.0,37.26190476190476,62.73809523809524,0.0,0.0,4,4,214,919,37.301587301587304,19
Guarded A5/B25 SMA20 Lead (max 1x),0.08579306508857076,0.15993275475494018,0.3660648160969601,-0.44530103380900704,0.19266307188805687,221.084187707287,272,43.9017769502453,0.0,36.30952380952381,63.69047619047619,0.0,0.0,4,2,206,901,36.34920634920635,20
Guarded A5/B25 SMA20 Lead (max 1x),0.10333029118354586,0.17392456542358636,0.44835963868958506,-0.45737590032291386,0.22591984210491461,258.0556817828886,278,41.35756384516364,0.0,32.61904761904762,67.38095238095238,0.0,0.0,5,1,236,722,32.65873015873016,21
Guarded A5/B25 SMA20 Lead (max 1x),0.05868903314986329,0.16280352907687845,0.19243508382784166,-0.3423383729452281,0.17143574249344565,173.22220906505893,296,41.248293466286825,0.0,33.05555555555556,66.94444444444444,0.0,0.0,4,1,227,805,33.095238095238095,22
Guarded A5/B25 SMA20 Lead (max 1x),0.09397061184697897,0.14861501268939611,0.5001773949255707,-0.2052770439842869,0.45777457636311264,237.68736976161185,258,47.89488694829121,0.0,35.1984126984127,64.8015873015873,0.0,0.0,5,5,249,844,35.23809523809524,23
Guarded A5/B25 SMA20 Lead (max 1x),0.06305233562551527,0.16799872348030598,0.09039739144316797,-0.3623097386629399,0.1740288181548811,180.23633982586873,312,33.05836947615492,0.0,34.72222222222222,65.27777777777779,0.0,0.0,5,2,257,809,34.76190476190476,24
Guarded A5/B25 SMA20 Lead (max 1x),0.0793245596905825,0.1566321008854247,0.26529169655762286,-0.26653171653568253,0.2976177121493259,208.69569708898908,288,35.797917258051555,0.0,34.72222222222222,65.27777777777779,0.0,0.0,3,1,241,843,34.76190476190476,25
Guarded A5/B25 SMA20 Lead (max 1x),0.055910061331031935,0.15323245172923053,0.2107191575553016,-0.22776016741939525,0.24547778465617176,168.88348269703204,301,42.68636608387253,0.0,32.817460317460316,67.18253968253968,0.0,0.0,3,1,280,755,32.857142857142854,26
Guarded A5/B25 SMA20 Lead (max 1x),0.05662484194491335,0.16551239929990616,0.11886596627167316,-0.3001935131169542,0.18862779997132229,169.99003992411053,274,34.367300434642395,0.0,32.73809523809524,67.26190476190477,0.0,0.0,7,3,271,788,32.77777777777778,27
Guarded A5/B25 SMA20 Lead (max 1x),0.11800679815263337,0.17966374031239277,0.5502416720870732,-0.31991699307558136,0.36886692706802826,293.1562380013707,298,57.64279838401015,0.0,32.02380952380952,67.97619047619048,0.0,0.0,7,2,253,769,32.06349206349206,28
Guarded A5/B25 SMA20 Lead (max 1x),0.08660664257889006,0.15609825909745867,0.38331695774729835,-0.4096388858865129,0.21142192687948017,222.68812141225328,280,40.40513370689058,0.0,28.809523809523807,71.19047619047619,0.0,0.0,4,2,251,647,28.80952380952381,29
Guarded A5/B25 SMA20 Lead (max 1x),0.12672121113380497,0.17541677841056846,0.6654376717773072,-0.25143178189734594,0.5039983814995291,315.96742113563965,266,60.098293233119854,0.0,36.269841269841265,63.73015873015873,0.0,0.0,6,2,225,856,36.30952380952381,30
Guarded A5/B25 SMA20 Lead (max 1x),0.08589573704314901,0.16579631093254868,0.3441970241046832,-0.2552579234749539,0.33650566405072696,221.28602851895246,308,43.31246860100917,0.0,33.25396825396825,66.74603174603175,0.0,0.0,5,1,248,726,33.29365079365079,31
Guarded A5/B25 SMA20 Lead (max 1x),0.08134964085336494,0.15300466846493158,0.45273562533724654,-0.26303042321120373,0.3092784471857241,212.50547711632655,287,57.24539625766078,0.0,30.873015873015873,69.12698412698413,0.0,0.0,5,1,245,661,30.873015873015873,32
Guarded A5/B25 SMA20 Lead (max 1x),0.018995070734101782,0.1667443927093816,-0.0965717255853409,-0.4629633452144717,0.04102931890925869,119.79360705437578,278,32.59366799018986,0.0,36.547619047619044,63.45238095238095,0.0,0.0,6,5,189,901,36.58730158730159,33
Guarded A5/B25 SMA20 Lead (max 1x),0.03889358147540345,0.16614326190459747,-0.01186859807363749,-0.4383570096463321,0.0887258116547125,144.3748544035032,328,35.00035490850989,0.0,35.79365079365079,64.20634920634922,0.0,0.0,5,2,269,838,35.833333333333336,34
Guarded A5/B25 SMA20 Lead (max 1x),0.04372190638961859,0.154615458417922,0.07843974348644318,-0.3870504040212042,0.11296178982214246,150.98227670446718,288,38.21099466463267,0.0,33.25396825396825,66.74603174603175,0.0,0.0,5,3,257,745,33.29365079365079,35
Guarded A5/B25 SMA20 Lead (max 1x),0.11273156852299038,0.15740593570911857,0.48589883778696963,-0.2864000468982653,0.3936157474270064,280.0759409505389,262,37.95973100663529,0.0,33.69047619047619,66.30952380952381,0.0,0.0,6,4,241,766,33.73015873015873,36
Guarded A5/B25 SMA20 Lead (max 1x),0.13062336995463308,0.16672482194001176,0.570297138348734,-0.26486070561723246,0.4931776106622832,326.6879011526741,245,42.33660904183536,0.0,33.17460317460317,66.82539682539682,0.0,0.0,6,4,193,792,33.17460317460318,37
Guarded A5/B25 SMA20 Lead (max 1x),0.08833897878644215,0.18596453409980593,0.34719480534655206,-0.34306924966604957,0.25749605618233945,226.138148321592,278,40.73825911823224,0.0,34.32539682539682,65.67460317460318,0.0,0.0,5,1,239,809,34.36507936507937,38
Guarded A5/B25 SMA20 Lead (max 1x),0.07972268715059028,0.15668373927743504,0.37853306344426946,-0.3464187227913517,0.230133886841351,209.43982139473067,301,54.27126862871349,0.0,36.507936507936506,63.49206349206349,0.0,0.0,5,3,257,853,36.54761904761905,39
Guarded A5/B25 SMA20 Lead (max 1x),0.07012589082833132,0.168445862061549,0.2777363344362479,-0.3587415425031039,0.1954774747831848,192.1494729626394,280,43.913604839484144,0.0,31.507936507936506,68.4920634920635,0.0,0.0,6,6,241,757,31.547619047619047,40
Guarded A5/B25 SMA20 Lead (max 1x),0.15125286570076257,0.15596776805520263,0.7948841766983165,-0.2031305647772574,0.744609093499143,388.97303947651903,242,54.55229590781248,0.0,33.25396825396825,66.74603174603175,0.0,0.0,5,3,205,758,33.29365079365079,41
Guarded A5/B25 SMA20 Lead (max 1x),0.08689681717079933,0.16615050805779194,0.2284884750393522,-0.3173832366288669,0.27379145191720505,223.26270693649423,288,30.252195475989684,0.0,30.436507936507933,69.56349206349206,0.0,0.0,7,3,253,710,30.476190476190474,42
Guarded A5/B25 SMA20 Lead (max 1x),0.08472340544576062,0.15621124405791117,0.482984886808778,-0.4286738951547898,0.19764069238498383,218.9911588230511,277,61.5045551556782,0.0,31.547619047619047,68.45238095238095,0.0,0.0,5,1,233,746,31.547619047619047,43
Guarded A5/B25 SMA20 Lead (max 1x),0.05063570203615719,0.15021376427908242,0.08742662015033742,-0.41951870622142984,0.12069950942647768,160.91576817205282,306,36.041081621275325,0.0,32.8968253968254,67.1031746031746,0.0,0.0,4,1,251,783,32.93650793650794,44
Guarded A5/B25 SMA20 Lead (max 1x),0.045114956740252676,0.1612478878720192,0.13238961139856883,-0.33202273592673265,0.13587911868242716,152.93835139178415,282,40.629398384896504,0.0,36.46825396825397,63.531746031746025,0.0,0.0,4,4,221,894,36.507936507936506,45
