date,type,amount,portfolio_value,turnover,cost
2005-01-03,annual_inflow,10.0,,,
2005-01-03,rebalance,,113.29,1.44,0.0014
2005-07-01,rebalance,,110.44,9.45,0.0094
2006-01-03,annual_inflow,10.0,,,
2006-01-03,rebalance,,138.67,13.15,0.0132
2006-07-03,rebalance,,144.18,27.55,0.0276
2007-01-02,annual_inflow,10.0,,,
2007-01-02,rebalance,,179.61,7.47,0.0075
2007-07-02,rebalance,,204.01,9.85,0.0099
2008-01-02,annual_inflow,10.0,,,
2008-01-02,rebalance,,247.51,29.94,0.0299
2008-07-01,rebalance,,273.39,11.78,0.0118
2009-01-02,annual_inflow,10.0,,,
2009-01-02,rebalance,,399.31,46.13,0.0461
2009-07-01,rebalance,,578.37,65.16,0.0652
2010-01-04,annual_inflow,10.0,,,
2010-01-04,rebalance,,966.21,201.81,0.2018
2010-07-01,rebalance,,1179.55,117.68,0.1177
2011-01-03,annual_inflow,10.0,,,
2011-01-03,rebalance,,1835.15,358.99,0.359
2011-07-01,rebalance,,1959.56,98.21,0.0982
2012-01-03,annual_inflow,10.0,,,
2012-01-03,rebalance,,2511.77,263.27,0.2633
2012-07-02,rebalance,,3206.29,377.22,0.3772
2013-01-02,annual_inflow,10.0,,,
2013-01-02,rebalance,,3542.6,55.06,0.0551
2013-07-01,rebalance,,3630.82,292.62,0.2926
2014-01-02,annual_inflow,10.0,,,
2014-01-02,rebalance,,4367.9,383.96,0.384
2014-07-01,rebalance,,4726.61,369.37,0.3694
2015-01-02,annual_inflow,10.0,,,
2015-01-02,rebalance,,4819.36,173.47,0.1735
2015-07-01,rebalance,,4599.77,291.58,0.2916
2016-01-04,annual_inflow,10.0,,,
2016-01-04,rebalance,,4510.4,159.34,0.1593
2016-07-01,rebalance,,5290.31,302.33,0.3023
2017-01-03,annual_inflow,10.0,,,
2017-01-03,rebalance,,5620.98,249.84,0.2498
2017-07-03,rebalance,,6216.61,245.94,0.2459
2018-01-02,annual_inflow,10.0,,,
2018-01-02,rebalance,,6665.66,355.31,0.3553
2018-07-02,rebalance,,6790.66,432.44,0.4324
2019-01-02,annual_inflow,10.0,,,
2019-01-02,rebalance,,6603.04,137.67,0.1377
2019-07-01,rebalance,,8751.37,1308.64,1.3086
2020-01-02,annual_inflow,10.0,,,
2020-01-02,rebalance,,10131.77,457.11,0.4571
2020-07-01,rebalance,,15422.54,3031.96,3.032
2021-01-04,annual_inflow,10.0,,,
2021-01-04,rebalance,,20396.9,1808.33,1.8083
2021-07-01,rebalance,,22926.9,1603.82,1.6038
2022-01-03,annual_inflow,10.0,,,
2022-01-03,rebalance,,24761.21,1531.95,1.5319
2022-07-01,rebalance,,24039.26,476.05,0.4761
2023-01-03,annual_inflow,10.0,,,
2023-01-03,rebalance,,29459.86,2615.46,2.6155
2023-07-03,rebalance,,38673.74,7123.1,7.1231
2024-01-02,annual_inflow,10.0,,,
2024-01-02,rebalance,,43002.85,2027.88,2.0279
2024-07-01,rebalance,,50811.81,6217.59,6.2176
2025-01-02,annual_inflow,10.0,,,
2025-01-02,rebalance,,56193.84,4219.23,4.2192
2025-07-01,rebalance,,72784.94,6225.08,6.2251
2026-01-02,annual_inflow,10.0,,,
2026-01-02,rebalance,,78809.49,5769.26,5.7693
