strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,simulation
Guarded A5/B25 SMA20 Lead (max 1x),0.16019400600362244,0.10504634092956049,1.2527405666946554,-0.1555005474549729,1.0301829069123283,419.1269375504613,230,61.61255295243417,0.0,27.53968253968254,72.46031746031746,0.0,0.0,4,0,343,607,27.57936507936508,0
Guarded A5/B25 SMA20 Lead (max 1x),0.12812780515838407,0.11194433685667643,0.7662818254170484,-0.13972884583208703,0.9169746189155245,319.7948733273873,237,38.04533460358818,0.0,29.841269841269842,70.15873015873015,0.0,0.0,3,1,334,645,29.841269841269842,1
Guarded A5/B25 SMA20 Lead (max 1x),0.1300951440046092,0.10989396288096206,0.963259669148145,-0.2743083058686523,0.47426614951609586,325.21787102046045,232,57.06356984018953,0.0,35.11904761904761,64.88095238095238,0.0,0.0,2,1,298,800,35.15873015873016,2
Guarded A5/B25 SMA20 Lead (max 1x),0.13003927314460273,0.10989670174445905,0.8371709984861311,-0.2912723824112955,0.4464524651052527,325.062732096065,238,41.11798252308592,0.0,31.587301587301585,68.41269841269842,0.0,0.0,4,2,277,732,31.626984126984127,3
Guarded A5/B25 SMA20 Lead (max 1x),0.06467378396676704,0.10845211083309976,0.28421304534845704,-0.2396946338520124,0.26981740445093433,182.90704953441775,269,39.050670528933324,0.0,35.476190476190474,64.52380952380953,0.0,0.0,3,4,303,760,35.476190476190474,4
Guarded A5/B25 SMA20 Lead (max 1x),0.13963449453144383,0.11190501466886679,0.820155854096152,-0.18219436622795965,0.7664040190833049,352.70031384737564,236,36.800725377720795,0.0,29.404761904761905,70.5952380952381,0.0,0.0,4,3,306,638,29.444444444444443,5
Guarded A5/B25 SMA20 Lead (max 1x),0.1203676858915479,0.12158328004055231,0.7537009753102716,-0.16863169112632728,0.7137904215250779,299.18556770846243,250,46.7586652328157,0.0,26.984126984126984,73.01587301587301,0.0,0.0,5,2,305,642,27.023809523809526,6
Guarded A5/B25 SMA20 Lead (max 1x),0.13699316408421636,0.10690663925392901,0.9989389068830159,-0.2216479711566061,0.6180664021843151,344.88975761688835,214,49.32828279964704,0.0,31.19047619047619,68.80952380952381,0.0,0.0,3,1,269,726,31.23015873015873,7
Guarded A5/B25 SMA20 Lead (max 1x),0.1047123649107462,0.10567944599885411,0.7285643009303703,-0.1611351014998921,0.6498420513969535,261.1923042128854,250,48.175413831372474,0.0,30.714285714285715,69.28571428571428,0.0,0.0,3,1,329,719,30.753968253968253,8
Guarded A5/B25 SMA20 Lead (max 1x),0.06204907698865747,0.10359469199069166,0.2048138475662421,-0.19697107619691687,0.3150161850495525,178.60141682411563,244,32.08344685423662,0.0,34.166666666666664,65.83333333333333,0.0,0.0,2,2,329,781,34.20634920634921,9
