asset,strategy,start_date,end_date,trading_days,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs,pct_cash,pct_invested,region,yahoo,etf_1x,etf_2x,etf_3x,ii_levered_ok,ii_note,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage
FTSE 100,Buy & hold 1x,1996-05-22,2026-05-22,7806,0.0718243561328622,0.17565678684340236,0.2758579156553298,-0.44134940685831414,0.1627380823826957,801.0643687332578,0,0.0,0.0,100.0,UK,^FTSE,ISF / VUKE / CUKX,2UKL (WisdomTree 2x),3UKL (WisdomTree 3x),True,LSE daily-reset ETPs; ISA/SIPP eligible,,,,,,,,,
FTSE 100,Guarded max 1x,1996-05-22,2026-05-22,7806,0.11300655492242107,0.11486450533190207,3.2372018566163057,-0.2503433138505638,0.451406323517302,2457.554765986523,864,8519.361238302792,29.37483986676915,70.62516013323085,UK,^FTSE,ISF / VUKE / CUKX,2UKL (WisdomTree 2x),3UKL (WisdomTree 3x),True,LSE daily-reset ETPs; ISA/SIPP eligible,8.0,6.0,1058.0,2155.0,29.374839866769154,70.62516013323085,0.0,0.0,1.0
FTSE 100,Guarded full 2x/3x,1996-05-22,2026-05-22,7806,0.17824646592930216,0.281619232459272,2.8771588552791942,-0.5188809803427656,0.3435209088056282,13571.31876952191,871,83186.58589577278,29.37483986676915,70.62516013323085,UK,^FTSE,ISF / VUKE / CUKX,2UKL (WisdomTree 2x),3UKL (WisdomTree 3x),True,LSE daily-reset ETPs; ISA/SIPP eligible,8.0,6.0,1058.0,2155.0,29.374839866769154,4.2659492697924675,48.065590571355365,18.293620292083013,3.0
FTSE 250,Buy & hold 1x,1996-05-22,2026-05-22,7806,0.08762282169028657,0.1589083525163468,0.41129087917861223,-0.5402897166603222,0.16217747439634253,1242.5086460806742,0,0.0,0.0,100.0,UK,^FTMC,MIDD / VMID,2MCL (WisdomTree 2x),,False,2x only on II; no listed 3x FTSE 250 ETP — levered back-test omitted,,,,,,,,,
FTSE 250,Guarded max 1x,1996-05-22,2026-05-22,7806,0.1819397204505684,0.1050430558204156,3.453039065940076,-0.17290436914986668,1.0522563504041371,14907.185402690126,650,30416.526460025205,28.990520112733794,71.00947988726621,UK,^FTMC,MIDD / VMID,2MCL (WisdomTree 2x),,False,2x only on II; no listed 3x FTSE 250 ETP — levered back-test omitted,13.0,7.0,985.0,2085.0,28.99052011273379,71.0094798872662,0.0,0.0,1.0
S&P 500,Buy & hold 1x,1996-05-22,2026-05-22,7806,0.1136187053031188,0.18799945868939308,0.5055785735727374,-0.5363477163228766,0.2118377721118539,2523.6640118575056,0,0.0,0.0,100.0,US,^GSPC,SPYL / CSP1 / VUAG,XS2D / DBPG (Xtrackers 2x),3USL / 3LUS / 3SPY,True,Core US sleeve; 2x/3x on LSE,,,,,,,,,
S&P 500,Guarded max 1x,1996-05-22,2026-05-22,7806,0.1928236451173868,0.1176814158704544,3.6209878244515177,-0.15379411846627414,1.2537777584756697,19625.35635986652,808,26275.24030067335,28.772738918780426,71.22726108121958,US,^GSPC,SPYL / CSP1 / VUAG,XS2D / DBPG (Xtrackers 2x),3USL / 3LUS / 3SPY,True,Core US sleeve; 2x/3x on LSE,10.0,4.0,788.0,1915.0,28.772738918780426,71.22726108121957,0.0,0.0,1.0
S&P 500,Guarded full 2x/3x,1996-05-22,2026-05-22,7806,0.3775942207541332,0.2757123787539609,3.1701580536253307,-0.3218637798333003,1.1731491531905107,1475992.3721771354,818,1639536.777834999,28.772738918780426,71.22726108121958,US,^GSPC,SPYL / CSP1 / VUAG,XS2D / DBPG (Xtrackers 2x),3USL / 3LUS / 3SPY,True,Core US sleeve; 2x/3x on LSE,10.0,4.0,788.0,1915.0,28.772738918780426,8.993082244427363,48.616448885472714,13.617729951319498,3.0
Nasdaq 100,Buy & hold 1x,1996-05-22,2026-05-22,7806,0.15688405484393053,0.2709610754526136,0.582441942877496,-0.8186411163650806,0.1916395984855061,7917.870965559844,0,0.0,0.0,100.0,US,^NDX,EQQQ / CNDX,"LQQ (Amundi 2x, Euronext)","LQQ3 (WisdomTree 3x, LSE)",True,2x primary listing Paris; 3x on LSE — both tradeable on II,,,,,,,,,
Nasdaq 100,Guarded max 1x,1996-05-22,2026-05-22,7806,0.43691890372388165,0.17972222690782982,3.517547796430397,-0.11514373174773923,3.794552226960112,5228624.216431483,832,4112261.5171032627,31.181142710735333,68.81885728926467,US,^NDX,EQQQ / CNDX,"LQQ (Amundi 2x, Euronext)","LQQ3 (WisdomTree 3x, LSE)",True,2x primary listing Paris; 3x on LSE — both tradeable on II,13.0,3.0,593.0,2316.0,31.181142710735333,68.81885728926467,0.0,0.0,1.0
Nasdaq 100,Guarded full 2x/3x,1996-05-22,2026-05-22,7806,1.0703265125557602,0.4624330357530338,3.1914623772419204,-0.3296566627362671,3.2467916882724923,299480033340.0884,849,297523960278.45734,31.181142710735333,68.81885728926467,US,^NDX,EQQQ / CNDX,"LQQ (Amundi 2x, Euronext)","LQQ3 (WisdomTree 3x, LSE)",True,2x primary listing Paris; 3x on LSE — both tradeable on II,13.0,3.0,593.0,2316.0,31.181142710735333,5.137074045605944,31.488598513963616,32.193184729695105,3.0
Euro STOXX 50,Buy & hold 1x,2007-03-30,2026-05-22,4982,0.08566775956664929,0.21452341895301802,0.19250145924886072,-0.5245413466419334,0.16331936484146883,482.44316336017135,0,0.0,0.0,100.0,Europe,^STOXX50E,CS51 / SXRT,,"3EUL (WisdomTree 3x, LSE)",False,3x on II; no standard 2x Euro STOXX ETP found — levered omitted,,,,,,,,,
Euro STOXX 50,Guarded max 1x,2007-03-30,2026-05-22,4982,0.19936032388006586,0.13392648853041048,3.396053909984255,-0.21576015233405857,0.9239904668374489,3215.0608006626285,570,6994.473177868605,33.44038538739462,66.55961461260537,Europe,^STOXX50E,CS51 / SXRT,,"3EUL (WisdomTree 3x, LSE)",False,3x on II; no standard 2x Euro STOXX ETP found — levered omitted,6.0,5.0,518.0,1613.0,33.44038538739462,66.55961461260537,0.0,0.0,1.0
DAX,Buy & hold 1x,1996-05-22,2026-05-22,7806,0.10606174872747576,0.2230760981568781,0.44071097918537694,-0.6877163248882351,0.1542231075359633,2057.4119911581515,0,0.0,0.0,100.0,Europe,^GDAXI,EXS1 / XDAX,,"3DEL (WisdomTree 3x, LSE)",False,3x on II; no paired 2x DAX ETP — levered omitted,,,,,,,,,
DAX,Guarded max 1x,1996-05-22,2026-05-22,7806,0.28008545194379275,0.14571817588731392,3.5810253622922126,-0.14014557370915962,1.998532272771216,163176.3630465446,864,326342.4298156546,31.77043300025621,68.22956699974378,Europe,^GDAXI,EXS1 / XDAX,,"3DEL (WisdomTree 3x, LSE)",False,3x on II; no paired 2x DAX ETP — levered omitted,11.0,6.0,761.0,2271.0,31.770433000256215,68.22956699974378,0.0,0.0,1.0
MSCI World,Buy & hold 1x,2009-09-25,2026-05-22,4334,0.14706685377107842,0.20028888408004278,0.5275710046633065,-0.41695740189765323,0.35271433748807174,982.6782711219207,0,0.0,0.0,100.0,Global,SWDA.L,IWDA / SWDA,,,False,1x UCITS only; no daily 2x/3x world index ETP on II,,,,,,,,,
MSCI World,Guarded max 1x,2009-09-25,2026-05-22,4334,0.15560717179486572,0.1443625805873203,2.5808728618972605,-0.2470169527856202,0.6299453136316246,1100.7748355814733,440,1763.8176600878721,25.726811259806183,74.27318874019382,Global,SWDA.L,IWDA / SWDA,,,False,1x UCITS only; no daily 2x/3x world index ETP on II,6.0,3.0,534.0,957.0,25.726811259806183,74.27318874019382,0.0,0.0,1.0
MSCI ACWI,Buy & hold 1x,2008-03-28,2026-05-22,4723,0.13476824099190732,0.19847617786384422,0.49570487696448085,-0.5200072485029398,0.25916608158808274,992.0235073365078,0,0.0,0.0,100.0,Global,ACWI,SSAC / ISAC,,,False,1x only,,,,,,,,,
MSCI ACWI,Guarded max 1x,2008-03-28,2026-05-22,4723,0.21462644542896592,0.12141121559096953,3.4128388396078764,-0.14308465726282185,1.4999962227587695,3374.460298615099,444,4180.6467969698,27.291975439339403,72.7080245606606,Global,ACWI,SSAC / ISAC,,,False,1x only,7.0,3.0,483.0,1113.0,27.291975439339407,72.7080245606606,0.0,0.0,1.0
MSCI EM,Buy & hold 1x,2003-04-14,2026-05-22,6014,0.12280238728271131,0.26600494618795745,0.48088412038600764,-0.6582927250083777,0.18654677868595387,1452.9291398325113,0,0.0,0.0,100.0,EM,EEM,EIMI / VFEM,,,False,1x only; no UK 2x/3x EM index ETP,,,,,,,,,
MSCI EM,Guarded max 1x,2003-04-14,2026-05-22,6014,0.3395716137444085,0.16885805443950863,3.4398931812974993,-0.16516893886948056,2.0559047970438558,84946.98136875745,692,131487.2835203816,32.707016960425676,67.29298303957432,EM,EEM,EIMI / VFEM,,,False,1x only; no UK 2x/3x EM index ETP,13.0,6.0,558.0,1882.0,32.70701696042567,67.29298303957432,0.0,0.0,1.0
Developed ex-US,Buy & hold 1x,2001-08-27,2026-05-22,6437,0.1031789485663055,0.20462161565745682,0.3982444451682978,-0.5768498886724416,0.17886620174922946,1134.4736197038826,0,0.0,0.0,100.0,Intl,EFA,IEFA / IEUX,,,False,1x only,,,,,,,,,
Developed ex-US,Guarded max 1x,2001-08-27,2026-05-22,6437,0.20676045274064303,0.12955540841354574,3.318586525323898,-0.16775956929379246,1.2324808272400214,10337.840523502942,652,17789.528652678488,28.957588938946714,71.04241106105329,Intl,EFA,IEFA / IEUX,,,False,1x only,9.0,4.0,736.0,1747.0,28.957588938946717,71.04241106105329,0.0,0.0,1.0
Japan (Nikkei 225),Buy & hold 1x,1996-05-22,2026-05-22,7806,0.09513651795901912,0.22706019438094377,0.26437472916949417,-0.5877899613309662,0.1618546151138684,1527.5442543109273,0,0.0,0.0,100.0,Japan,^N225,CNDX / XDJP,,,False,1x trackers on II; no Nikkei 2x/3x index ETP,,,,,,,,,
Japan (Nikkei 225),Guarded max 1x,1996-05-22,2026-05-22,7806,0.2725105201421971,0.15043940478617068,3.488776002798804,-0.14391282511917405,1.8935805055354271,136563.09916587002,900,156230.07470734642,35.47271329746349,64.52728670253651,Japan,^N225,CNDX / XDJP,,,False,1x trackers on II; no Nikkei 2x/3x index ETP,7.0,3.0,725.0,2700.0,35.472713297463486,64.52728670253651,0.0,0.0,1.0
