run_id,swing_family,swing_param,top_family,top_params,bottom_family,bottom_params,integration,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,pct_days_cash,rebalances,swing_count,structure_entries,structure_exits,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_1x
Buy & hold 1x,baseline,,none,{},none,{},baseline,0.1417021767630089,0.1776229011881009,0.6987941793906342,-0.41607983364672635,,3036.886195083781,0.0,0,,,,,,,,
SMA20 1x/cash,baseline,,none,{},none,{},baseline,0.19222587412644154,0.1259473300106907,3.608646946488487,-0.23419402667363026,,9171.822652014675,43.866687239623516,745,,,,,,,,
Guarded A5/B25 SMA20 Lead (max 1x),baseline,,none,{},none,{},baseline,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,0.8587614738958949,7963.241711086046,32.093812683227895,703,,,,,,,,
fractal_3p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,fractal,3.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07030421748639215,0.10582224118940035,0.7762758145974468,-0.2741751219977225,0.25642084874125143,569.7361187042748,60.854806357043664,114,1002.0,57.0,56.0,,,,,
fractal_3p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,fractal,3.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1422025525778281,0.134009177153165,2.8865587547576625,-0.2943268527790905,0.4831450179795842,3040.64230018777,34.20768399938281,689,1002.0,70.0,89.0,10.0,2.0,282.0,1964.0,65.79231600061719
fractal_3p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,fractal,3.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.08797859895793358,0.1684479301206477,0.788857138569863,-0.5212301595762698,0.16879030758591393,868.7428838348135,9.84415985187471,180,1002.0,,89.0,,,,,
fractal_5p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07078820740306746,0.10733481189241809,0.5509218507701176,-0.3181661003234801,0.22248821395835996,576.4094527275814,59.743866687239624,60,610.0,30.0,29.0,,,,,
fractal_5p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13970283459183297,0.13263312244041875,2.8428291494044,-0.25557438106054314,0.5466229988002541,2873.8026022767203,35.90495293936121,669,610.0,43.0,52.0,10.0,2.0,315.0,1964.0,64.09504706063879
fractal_5p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,fractal,5.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.1011067524925815,0.17202754261940517,0.6984789105579242,-0.43690246407985633,0.23141721735426368,1183.2186534458835,5.67813609010955,106,610.0,,52.0,,,,,
fractal_7p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,fractal,7.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.06713833224783716,0.12261253487115234,0.4156814497661418,-0.35123813445043006,0.19114761656756363,527.8810206809786,51.1340842462583,40,456.0,20.0,19.0,,,,,
fractal_7p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,fractal,7.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1414410496861438,0.1327142848888424,2.8704195143281517,-0.27177006447986024,0.5204438169334334,2988.855297312477,35.704366610091036,675,456.0,31.0,33.0,10.0,2.0,376.0,1964.0,64.29563338990897
fractal_7p0__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,fractal,7.0,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10785485811320505,0.17418286328948954,0.6509950443373463,-0.4342550654722951,0.24836753025759709,1384.8780561816718,3.0550840919611173,68,456.0,,33.0,,,,,
pct_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,pct,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.07857235725061473,0.11729760813215671,0.5624200604827188,-0.3282404686343398,0.23937437567500067,694.6359307169715,53.72627680913439,67,611.0,33.0,33.0,,,,,
pct_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,pct,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13772968925726814,0.13345678423761995,2.8507173823198757,-0.2998594145321641,0.4593142071999034,2748.3580194110687,34.871161857738,683,611.0,44.0,54.0,10.0,2.0,365.0,1964.0,65.128838142262
pct_0p02__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,pct,0.02,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10382379041597978,0.16976000134449182,0.7343154973931837,-0.4619823483783689,0.22473540554183014,1260.7648597126692,5.138095972843697,110,611.0,,54.0,,,,,
pct_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,pct,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.08988298340997813,0.10876087843020059,0.6579382296596987,-0.24179198267617905,0.3717368227645261,908.7715627232355,59.63585866378646,38,371.0,19.0,18.0,,,,,
pct_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,pct,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.13383021568163667,0.13407689149670196,2.8861730523302094,-0.2877937941187876,0.4650212006531243,2515.7466658335206,34.23854343465514,711,371.0,24.0,36.0,10.0,2.0,329.0,1964.0,65.76145656534486
pct_0p03__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,pct,0.03,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.10901899682182226,0.17410232807197576,0.6705860150760381,-0.45439390452318995,0.23992178534221179,1422.8532441349944,2.2835982101527543,74,371.0,,36.0,,,,,
pct_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__structure_only,pct,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",structure_only,0.06757989116806584,0.10687045376678497,0.2566489379753441,-0.331837085825793,0.2036538230797499,533.5360800213142,65.73059713007252,11,175.0,5.0,5.0,,,,,
pct_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__guarded,pct,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",guarded,0.1485590525373972,0.133378129283582,2.9725941169716883,-0.2491305833080381,0.5963099775418219,3507.8952182626617,34.31569202283598,697,175.0,10.0,18.0,10.0,2.0,373.0,1964.0,65.68430797716401
pct_0p05__top_classic_exitLH_LL_k3__bot_capitulation_k3__sell_only,pct,0.05,classic,"{""exit"": ""LH_LL"", ""k"": 3}",capitulation,"{""k"": 3}",sell_only,0.120841050679797,0.1758105464783196,0.6585347615254703,-0.4037000603286713,0.2993337444176119,1869.715072731119,1.2035179756210461,38,175.0,,18.0,,,,,
