strategy,sell_pct_above_sma20,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,profit_exits,cross_reentries,pct_days_1x
Guarded max 1x (default_below_SMA),,below_SMA20 (default),0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,0.8587614738958949,7963.241711086046,703,14074.950927910917,32.093812683227895,32.093812683227895,10,2,814,1964,0,0,67.9061873167721
Guarded max 1x (x_0p0000),0.0,+0.00% above SMA20,0.1455336793052988,0.13965615084038013,2.4870673029285375,-0.30954529185217877,0.47015310242482194,3277.494858017791,575,6227.908360389188,31.893226353957722,31.893226353957722,10,2,814,1964,300,299,68.10677364604227
Guarded max 1x (x_0p0100),0.01,+1.00% above SMA20,0.1450207803478467,0.14522926285256524,2.063898066186956,-0.3313115816745696,0.4377172075146265,3239.905245126148,452,5010.401889611788,26.091652522758835,26.091652522758835,10,2,814,1964,210,210,73.90834747724116
Guarded max 1x (x_0p0200),0.02,+2.00% above SMA20,0.14788829223416933,0.15062063437525033,1.7472029876390796,-0.35353833936326423,0.4183090651512412,3455.5072853986576,350,3987.5777838388058,21.185002314457645,21.185002314457645,10,2,814,1964,157,157,78.81499768554235
Guarded max 1x (x_0p0250),0.025,+2.50% above SMA20,0.14570008649781951,0.15389634265624688,1.5392622659665571,-0.37567353972209755,0.38783696771830234,3289.780404823857,288,3062.245373512125,18.037339916679525,18.037339916679525,10,2,814,1964,129,129,81.96266008332047
Guarded max 1x (x_0p0300),0.03,+3.00% above SMA20,0.1451059828578416,0.15603497455923257,1.4399065612669744,-0.34416232822591064,0.4216207613594274,3246.1207799659596,256,2852.9039438089635,16.556087023607468,16.556087023607468,10,2,814,1964,111,111,83.44391297639253
Guarded max 1x (x_0p0350),0.035,+3.50% above SMA20,0.14777432864244622,0.15854468949389008,1.3094545584885862,-0.33129627799662237,0.44604886458746396,3446.681532807267,206,2174.5522272023177,13.315846320012344,13.315846320012344,10,2,814,1964,89,89,86.68415367998765
Guarded max 1x (x_0p0400),0.04,+4.00% above SMA20,0.14524004763269183,0.16133578035978158,1.1794735412863349,-0.34973262713740444,0.4152888131184549,3255.924034880291,164,1698.204976797884,10.831661780589414,10.831661780589416,10,2,814,1964,70,70,89.16833821941059
Guarded max 1x (x_0p0500),0.05,+5.00% above SMA20,0.14551796534055605,0.16422675500871436,1.033464218523926,-0.3523643838266147,0.4129758057845028,3276.3370054306665,110,1081.6497897223212,8.023453170806974,8.023453170806974,10,2,814,1964,47,47,91.97654682919303
Guarded max 1x (x_0p0600),0.06,+6.00% above SMA20,0.13074343144101053,0.1711953236567926,0.7982146242555754,-0.41638021619194515,0.31400010460809147,2345.1520382207136,62,448.0357083130356,4.16602376176516,4.166023761765159,10,2,814,1964,26,26,95.83397623823484
Guarded max 1x (x_0p0700),0.07,+7.00% above SMA20,0.13238852779770127,0.173475465667233,0.7559858850615632,-0.41515821913643575,0.31888692478034186,2434.6362754063007,44,327.49486653682015,2.268168492516587,2.268168492516587,10,2,814,1964,17,17,97.7318315074834
Guarded max 1x (x_0p0800),0.08,+8.00% above SMA20,0.13765439151649628,0.1745162468106833,0.75520390421871,-0.41730718767043495,0.3298634569055344,2743.676708516342,32,310.15284448511557,1.496682610708224,1.496682610708224,10,2,814,1964,13,13,98.50331738929178
Guarded max 1x (x_0p0900),0.09,+9.00% above SMA20,0.13969305657480757,0.17522963730508287,0.7464243321958445,-0.41828644384947966,0.333965058224732,2873.167597407392,24,254.91617196276647,1.1417991050763772,1.1417991050763772,10,2,814,1964,9,9,98.85820089492363
Guarded max 1x (x_0p1000),0.1,+10.00% above SMA20,0.14382576890838994,0.17575470028395704,0.7548890095069305,-0.4197462555083408,0.3426493197281946,3153.925243865506,18,149.19939906480394,0.8640641876253664,0.8640641876253664,10,2,814,1964,6,6,99.13593581237463
Guarded max 1x (x_0p1200),0.12,+12.00% above SMA20,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,1,99.69140564727665
Guarded max 1x (x_0p1500),0.15,+15.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_0p1800),0.18,+18.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_0p2000),0.2,+20.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_0p2500),0.25,+25.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_0p3000),0.3,+30.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_0p4000),0.4,+40.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_0p5000),0.5,+50.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_0p7500),0.75,+75.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
Guarded max 1x (x_1p0000),1.0,+100.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,0,99.70683536491282
