strategy,sell_pct_above_sma20,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,profit_exits,cross_reentries
SMA20 1x/cash (default_below_SMA),,below_SMA20 (default),0.19222587412644154,0.1259473300106907,3.608646946488487,-0.23419402667363026,0.8207975107508827,9171.822652014675,745,15354.436575193518,43.866687239623516,43.866687239623516,0,0
SMA20 1x/cash (x_0p0000),0.0,+0.00% above SMA20,-0.00646221722804563,0.07583815176075343,1.5603682502921166,-0.4971922999954617,-0.012997420169428642,83.77443118292797,601,559.292802488489,88.24255516124056,88.24255516124055,300,299
SMA20 1x/cash (x_0p0100),0.01,+1.00% above SMA20,0.0033508469940792818,0.08664147362604252,0.8152939720093498,-0.43713846976552106,0.007665413194763343,107.90871936426278,422,437.22112641780774,74.75698194723036,74.75698194723037,210,210
SMA20 1x/cash (x_0p0200),0.02,+2.00% above SMA20,0.022900721578206218,0.10158290345994937,0.742153833761943,-0.4643241069617697,0.04932055268044,177.3875569276509,316,447.39022733975753,61.41027619194569,61.410276191945684,157,157
SMA20 1x/cash (x_0p0250),0.025,+2.50% above SMA20,0.035634905814967865,0.11221853578432518,0.7058969176990144,-0.46687608687277593,0.07632626047236042,243.96318464136527,260,444.8414224249277,51.5506866224348,51.55068662243481,129,129
SMA20 1x/cash (x_0p0300),0.03,+3.00% above SMA20,0.047396978744070895,0.11940340842916015,0.7438887636587618,-0.44671711164489863,0.10610065634053298,326.32959668002354,224,494.6548585782462,44.91590803888289,44.91590803888289,111,111
SMA20 1x/cash (x_0p0350),0.035,+3.50% above SMA20,0.06505424091323331,0.12767434286746063,0.793611877163179,-0.4264924564865023,0.1525331572078864,501.95860939832806,180,577.5956627309861,35.411201975003856,35.411201975003856,89,89
SMA20 1x/cash (x_0p0400),0.04,+4.00% above SMA20,0.07254151375411522,0.1339174416506651,0.7211332314634585,-0.4753303282411085,0.15261284509773373,601.2190692783565,142,504.50673118512617,28.359821015275422,28.359821015275422,70,70
SMA20 1x/cash (x_0p0500),0.05,+5.00% above SMA20,0.10052623079130041,0.14374505857664963,0.786167739017398,-0.4148968711767675,0.2422920917821794,1167.2551077238243,96,503.1165924318532,19.85804659774726,19.85804659774726,47,47
SMA20 1x/cash (x_0p0600),0.06,+6.00% above SMA20,0.11687726222983508,0.15812701692977998,0.7378274768319096,-0.3987629714173316,0.29309958699127897,1706.6527754549923,54,330.26195787071134,10.029316463508717,10.029316463508717,26,26
SMA20 1x/cash (x_0p0700),0.07,+7.00% above SMA20,0.13511992424300012,0.1631728349438777,0.7906193337805743,-0.40057442703416596,0.33731540289134687,2590.5024374219975,36,307.5098522429032,5.415830890294707,5.415830890294708,17,17
SMA20 1x/cash (x_0p0800),0.08,+8.00% above SMA20,0.14839836318455624,0.1666738192211729,0.8371995443433169,-0.4065946775569448,0.36497861722199404,3495.275911095748,28,339.65428510200906,3.5488350563184694,3.5488350563184694,13,13
SMA20 1x/cash (x_0p0900),0.09,+9.00% above SMA20,0.14910688560716734,0.1689566260655011,0.8136416738866632,-0.40682238165749723,0.36651593503697655,3551.2478006085325,20,229.07681156394617,2.515043974695263,2.515043974695263,9,9
