strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x
Guarded max 1x (X=0.05),0.05,cross below SMA20+5.00%,0.14543207284415693,0.17554243065884273,0.812277876514951,-0.4189624019455027,0.3471244010651683,3270.0151302127997,40,310.23312724997015,0.9566424934423701,0.95664249344237,10,2,814,1964,88,99.04335750655763
Guarded max 1x (X=0.051),0.051,cross below SMA20+5.10%,0.14452901587506273,0.17554244478480646,0.8121921013907336,-0.4189624019455027,0.34496894042024945,3204.2538956450267,42,341.4697219454034,0.9720722110785374,0.9720722110785373,10,2,814,1964,84,99.02792778892146
Guarded max 1x (X=0.052),0.052,cross below SMA20+5.20%,0.14529067492408432,0.17554286420990628,0.8127214379879668,-0.41944223716095846,0.34639018690034756,3259.633464971099,40,342.5459553920583,0.9566424934423701,0.95664249344237,10,2,814,1964,80,99.04335750655763
Guarded max 1x (X=0.053),0.053,cross below SMA20+5.30%,0.14521866492230817,0.17554900272513368,0.8121384907408248,-0.41939733839224685,0.346255571098762,3254.3585560389247,40,336.9709065034571,0.9566424934423701,0.95664249344237,10,2,814,1964,74,99.04335750655763
Guarded max 1x (X=0.054),0.054,cross below SMA20+5.40%,0.14492670728812973,0.1755616146790849,0.8105989468559213,-0.41921430709554375,0.3457103081529593,3233.055890254158,40,353.4787069615036,0.9566424934423701,0.95664249344237,10,2,814,1964,72,99.04335750655763
Guarded max 1x (X=0.055),0.055,cross below SMA20+5.50%,0.14623724151558948,0.17557038846860923,0.8087548062090426,-0.41946883871828944,0.3486248036026361,3329.740385188864,36,318.840201547145,0.9257830581700355,0.9257830581700355,10,2,814,1964,69,99.07421694182996
Guarded max 1x (X=0.056),0.056,cross below SMA20+5.60%,0.1468260583234422,0.17564281633797163,0.7980737377375577,-0.41950897783964974,0.3499950324771452,3374.0795241030646,30,269.89683654417433,0.8794939052615337,0.8794939052615337,10,2,814,1964,63,99.12050609473847
Guarded max 1x (X=0.057),0.057,cross below SMA20+5.70%,0.14590668725816003,0.1756801778502492,0.7933960964916036,-0.41955391379522167,0.34776624042976995,3305.094971602549,30,291.6693615185673,0.8794939052615337,0.8794939052615337,10,2,814,1964,61,99.12050609473847
Guarded max 1x (X=0.058),0.058,cross below SMA20+5.80%,0.14791410279725858,0.17569453443504854,0.7905513065221921,-0.41979935576447985,0.3523447589096418,3457.509163537492,24,221.66494123856967,0.833204752353032,0.8332047523530319,10,2,814,1964,56,99.16679524764696
Guarded max 1x (X=0.059),0.059,cross below SMA20+5.90%,0.14791410279725858,0.17569453443504854,0.7905513065221921,-0.41979935576447985,0.3523447589096418,3457.509163537492,24,221.66494123856967,0.833204752353032,0.8332047523530319,10,2,814,1964,51,99.16679524764696
Guarded max 1x (X=0.06),0.06,cross below SMA20+6.00%,0.1410125960237263,0.177144017327905,0.7356989991014501,-0.4151127591348472,0.3396970893345128,2960.09153537332,20,180.92652528854268,0.4320320938126832,0.4320320938126832,10,2,814,1964,43,99.56796790618732
Guarded max 1x (X=0.061),0.061,cross below SMA20+6.10%,0.1410125960237263,0.177144017327905,0.7356989991014501,-0.4151127591348472,0.3396970893345128,2960.09153537332,20,180.92652528854268,0.4320320938126832,0.4320320938126832,10,2,814,1964,41,99.56796790618732
Guarded max 1x (X=0.062),0.062,cross below SMA20+6.20%,0.13881195913535316,0.17734427964544608,0.7214856248320178,-0.4133964589528756,0.3357841029576327,2816.497572515209,20,173.49681076432262,0.4320320938126832,0.4320320938126832,10,2,814,1964,41,99.56796790618732
Guarded max 1x (X=0.063),0.063,cross below SMA20+6.30%,0.13881195913535316,0.17734427964544608,0.7214856248320178,-0.4133964589528756,0.3357841029576327,2816.497572515209,20,173.49681076432262,0.4320320938126832,0.4320320938126832,10,2,814,1964,40,99.56796790618732
Guarded max 1x (X=0.064),0.064,cross below SMA20+6.40%,0.14070240930946487,0.17730779988898693,0.7241759988218583,-0.41483176522947085,0.3391794484003246,2939.4337304878845,16,210.59825043912355,0.4011726585403487,0.4011726585403487,10,2,814,1964,35,99.59882734145965
Guarded max 1x (X=0.065),0.065,cross below SMA20+6.50%,0.1414465652770296,0.1773082912879959,0.7247232844279805,-0.4153923469797287,0.3405131709947758,2989.227326068468,14,208.84284972295083,0.3857429409041815,0.38574294090418143,10,2,814,1964,34,99.61425705909582
Guarded max 1x (X=0.066),0.066,cross below SMA20+6.60%,0.14196414633246124,0.17731143459441615,0.7236089157690777,-0.41577467888597724,0.3414449064402831,3024.3371349425984,12,205.43825283315834,0.3703132232680142,0.3703132232680142,10,2,814,1964,33,99.62968677673199
Guarded max 1x (X=0.067),0.067,cross below SMA20+6.70%,0.14196414633246124,0.17731143459441615,0.7236089157690777,-0.41577467888597724,0.3414449064402831,3024.3371349425984,12,205.43825283315834,0.3703132232680142,0.3703132232680142,10,2,814,1964,30,99.62968677673199
Guarded max 1x (X=0.068),0.068,cross below SMA20+6.80%,0.14055477657958293,0.17730401349855426,0.7240118692466244,-0.41471899813016105,0.3389156928264697,2929.6504293833614,16,227.19803574544204,0.4011726585403487,0.4011726585403487,10,2,814,1964,32,99.59882734145965
Guarded max 1x (X=0.069),0.069,cross below SMA20+6.90%,0.1415022012096352,0.17730613462843348,0.725085865556313,-0.4154337394843445,0.34061316585714546,2992.9824811278404,14,210.51760563983504,0.3857429409041815,0.38574294090418143,10,2,814,1964,30,99.61425705909582
Guarded max 1x (X=0.07),0.07,cross below SMA20+7.00%,0.1413107641369864,0.17737192807879723,0.7195243129393831,-0.4154337394843445,0.34015235332688154,2980.080416533307,12,156.18748631679392,0.3703132232680142,0.3703132232680142,10,2,814,1964,29,99.62968677673199
Guarded max 1x (X=0.071),0.071,cross below SMA20+7.10%,0.14056798482898847,0.17737175430989252,0.7191701154975161,-0.41487507131178125,0.33882003173757996,2930.524435071667,14,160.61430470245804,0.3857429409041815,0.38574294090418143,10,2,814,1964,28,99.61425705909582
Guarded max 1x (X=0.072),0.072,cross below SMA20+7.20%,0.14056798482898847,0.17737175430989252,0.7191701154975161,-0.41487507131178125,0.33882003173757996,2930.524435071667,14,160.61430470245804,0.3857429409041815,0.38574294090418143,10,2,814,1964,26,99.61425705909582
Guarded max 1x (X=0.073),0.073,cross below SMA20+7.30%,0.14056798482898847,0.17737175430989252,0.7191701154975161,-0.41487507131178125,0.33882003173757996,2930.524435071667,14,160.61430470245804,0.3857429409041815,0.38574294090418143,10,2,814,1964,25,99.61425705909582
Guarded max 1x (X=0.074),0.074,cross below SMA20+7.40%,0.14056798482898847,0.17737175430989252,0.7191701154975161,-0.41487507131178125,0.33882003173757996,2930.524435071667,14,160.61430470245804,0.3857429409041815,0.38574294090418143,10,2,814,1964,22,99.61425705909582
Guarded max 1x (X=0.075),0.075,cross below SMA20+7.50%,0.14056798482898847,0.17737175430989252,0.7191701154975161,-0.41487507131178125,0.33882003173757996,2930.524435071667,14,160.61430470245804,0.3857429409041815,0.38574294090418143,10,2,814,1964,21,99.61425705909582
Guarded max 1x (X=0.076),0.076,cross below SMA20+7.60%,0.1411638562726638,0.1773417331744656,0.7231759071957234,-0.41758483428605936,0.3380483309792853,2970.2157058123685,14,177.38224255485588,0.3857429409041815,0.38574294090418143,10,2,814,1964,19,99.61425705909582
Guarded max 1x (X=0.077),0.077,cross below SMA20+7.70%,0.1411638562726638,0.1773417331744656,0.7231759071957234,-0.41758483428605936,0.3380483309792853,2970.2157058123685,14,177.38224255485588,0.3857429409041815,0.38574294090418143,10,2,814,1964,18,99.61425705909582
Guarded max 1x (X=0.078),0.078,cross below SMA20+7.80%,0.1411459196915228,0.17738888427146066,0.7185084603240177,-0.4175714858706978,0.33801618277936973,2969.013435189698,12,170.67490563438358,0.3703132232680142,0.3703132232680142,10,2,814,1964,17,99.62968677673199
Guarded max 1x (X=0.079),0.079,cross below SMA20+7.90%,0.1411459196915228,0.17738888427146066,0.7185084603240177,-0.4175714858706978,0.33801618277936973,2969.013435189698,12,170.67490563438358,0.3703132232680142,0.3703132232680142,10,2,814,1964,17,99.62968677673199
Guarded max 1x (X=0.08),0.08,cross below SMA20+8.00%,0.1411459196915228,0.17738888427146066,0.7185084603240177,-0.4175714858706978,0.33801618277936973,2969.013435189698,12,170.67490563438358,0.3703132232680142,0.3703132232680142,10,2,814,1964,18,99.62968677673199
Guarded max 1x (X=0.081),0.081,cross below SMA20+8.10%,0.14091898366829447,0.17736830592867192,0.7215260747091248,-0.4174019556629829,0.3376097829835631,2953.842486056928,14,177.26141614039295,0.3857429409041815,0.38574294090418143,10,2,814,1964,18,99.61425705909582
Guarded max 1x (X=0.082),0.082,cross below SMA20+8.20%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,16,99.62968677673199
Guarded max 1x (X=0.083),0.083,cross below SMA20+8.30%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,16,99.62968677673199
Guarded max 1x (X=0.084),0.084,cross below SMA20+8.40%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,15,99.62968677673199
Guarded max 1x (X=0.085),0.085,cross below SMA20+8.50%,0.14137968473621232,0.1773736006517139,0.7200497702593776,-0.4177448724661886,0.33843547594388557,2984.7192083120412,12,171.9622439840217,0.3703132232680142,0.3703132232680142,10,2,814,1964,14,99.62968677673199
