strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,delta_end_$,beats_baseline
Guarded max 1x (X=0.0),0.0,cross below SMA20+0.00%,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,0.8587614738958949,7963.241711086046,703,14074.950927910917,32.093812683227895,32.093812683227895,10,2,814,1964,372,67.9061873167721,0.0,0.0,0.0,0.0,False
Guarded max 1x (X=-0.001),-0.001,cross below SMA20-0.10%,0.18634702016353621,0.1367917350591951,3.1690643745326126,-0.21629364958665803,0.8615464232059032,8075.3069969048265,699,14124.180624360422,32.01666409504706,32.01666409504706,10,2,814,1964,342,67.98333590495294,0.06434724417199167,-0.006771797147253178,-0.004786613372148585,112.06528581878047,False
Guarded max 1x (X=-0.002),-0.002,cross below SMA20-0.20%,0.18617827877999882,0.1367959904273482,3.1677883128019118,-0.21627060651693583,0.8608579861055666,8045.773728987129,699,14072.172318420782,32.001234377410896,32.001234377410896,10,2,814,1964,315,67.9987656225891,0.04747310581825204,-0.008047858877954006,-0.0024823063999285244,82.53201790108324,False
Guarded max 1x (X=-0.003),-0.003,cross below SMA20-0.30%,0.18536161104747406,0.1368811022802735,3.154232866285616,-0.2162223043596887,0.8572733122810612,7904.30078512517,697,13928.160602184074,31.924085789230055,31.924085789230055,10,2,814,1964,294,68.07591421076994,-0.034193667434223585,-0.021603305394249706,0.0023479093247846805,-58.940925960876484,False
Guarded max 1x (X=-0.004),-0.004,cross below SMA20-0.40%,0.18527414419013066,0.13688426966587586,3.153222641620775,-0.21621021788466985,0.856916689705012,7889.291273479638,697,13900.912456618607,31.893226353957722,31.893226353957722,10,2,814,1964,280,68.10677364604227,-0.04294035316856348,-0.022613530059090614,0.0035565568266698877,-73.95043760640783,False
Guarded max 1x (X=-0.005),-0.005,cross below SMA20-0.50%,0.1849682143183815,0.13689399156072202,3.15091188891347,-0.216203733079934,0.8555273846728436,7837.008194264293,697,13869.473415278073,31.84693720104922,31.846937201049222,10,2,814,1964,264,68.15306279895078,-0.07353334034347903,-0.024924282766395578,0.004205037300253345,-126.23351682175326,False
Guarded max 1x (X=-0.006),-0.006,cross below SMA20-0.60%,0.18498657421729403,0.13700332330204257,3.1379144863525053,-0.21621435731562766,0.8555702614477743,7840.136464544607,693,13792.406225456813,31.754358895232215,31.75435889523222,10,2,814,1964,251,68.24564110476778,-0.0716973504522267,-0.03792168532736051,0.0031426137308887547,-123.10524654143865,False
Guarded max 1x (X=-0.007),-0.007,cross below SMA20-0.70%,0.185840603030758,0.13705850233246816,3.131175423884819,-0.21631712965863636,0.8591118203353916,7986.984857408541,689,13942.60700447465,31.67721030705138,31.677210307051382,10,2,814,1964,238,68.32278969294862,0.01370553089417026,-0.044660747795046696,-0.00713462056998182,23.743146322494795,False
Guarded max 1x (X=-0.008),-0.008,cross below SMA20-0.80%,0.18799184319428974,0.13740233973374258,3.0748829892955003,-0.20193567750735109,0.9309491295189591,8368.696864965455,667,13877.714798996558,31.30689708378337,31.306897083783365,10,2,814,1964,228,68.69310291621663,0.2288295472473445,-0.10095318238436546,1.431010594558546,405.4551538794094,False
Guarded max 1x (X=0.001),0.001,cross below SMA20+0.10%,0.18631071598614413,0.13836829819900973,3.05298377129966,-0.22985897342506537,0.8105435833545211,8068.944223238417,669,14170.615224767631,30.427403178521832,30.427403178521832,10,2,814,1964,373,69.57259682147817,0.06071682643278287,-0.12285240038020584,-1.3613189972128819,105.70251215237113,False
Guarded max 1x (X=-0.009),-0.009,cross below SMA20-0.90%,0.19139790358903652,0.13787482677542062,3.0030084520930433,-0.20133467119402024,0.9506455219756564,9009.159186658397,637,13904.194809384575,30.766856966517516,30.766856966517512,10,2,814,1964,219,69.23314303348249,0.5694355867220224,-0.17282771958682241,1.4911112258916308,1045.9174755723507,False
Guarded max 1x (X=-0.01),-0.01,cross below SMA20-1.00%,0.19114279431368186,0.1388498677525796,2.880321414958028,-0.2020644359424547,0.9459497086766758,8959.601613211747,601,13181.481420509494,30.242246566887825,30.242246566887825,10,2,814,1964,211,69.75775343311219,0.5439246591865565,-0.2955147567218379,1.4181347510481834,996.3599021257014,False
Guarded max 1x (X=0.002),0.002,cross below SMA20+0.20%,0.1788819043631411,0.1421133902781659,2.850642280087854,-0.32182035485764326,0.5558439721510755,6863.502429337728,641,11870.512443252037,28.853571979632775,28.853571979632772,10,2,814,1964,374,71.14642802036722,-0.6821643358675189,-0.32519389159201184,-10.557457140470671,-1099.7392817483178,False
Guarded max 1x (X=-0.011),-0.011,cross below SMA20-1.10%,0.1867197531039555,0.13989795762623572,2.7673926788206358,-0.20718402548797285,0.9012265915008717,8140.912785003336,579,11891.76889940732,29.686776731985802,29.686776731985805,10,2,814,1964,205,70.31322326801418,0.10162053821392014,-0.40844349285923,0.9061757964963696,177.6710739172895,False
Guarded max 1x (X=0.003),0.003,cross below SMA20+0.30%,0.17875972183158662,0.14427371395589797,2.696595174731013,-0.35139335683212475,0.5087168506631375,6845.203124012373,601,10364.916483478153,27.15630303965437,27.156303039654375,10,2,814,1964,376,72.84369696034562,-0.6943825890229682,-0.4792409969488527,-13.51475733791882,-1118.0385870736727,False
Guarded max 1x (X=-0.012),-0.012,cross below SMA20-1.20%,0.18505875634432822,0.14065408419399003,2.680329996114101,-0.2071840254879728,0.8932095797852476,7852.446929704483,557,10845.380624713636,29.100447461811445,29.10044746181145,10,2,814,1964,198,70.89955253818854,-0.06447913774880742,-0.4955061755657648,0.9061757964963751,-110.79478138156264,False
Guarded max 1x (X=-0.013),-0.013,cross below SMA20-1.30%,0.18502993942117896,0.14135393768470098,2.587709088794563,-0.1961554921967932,0.9432819716082559,7847.530055524017,529,10039.761704974302,28.575837062181762,28.575837062181762,10,2,814,1964,188,71.42416293781824,-0.06736083006373406,-0.5881270828853027,2.009029125614334,-115.71165556202868,False
Guarded max 1x (X=0.004),0.004,cross below SMA20+0.40%,0.18093594732594753,0.1462700984447809,2.5714957096468343,-0.3162570052467816,0.57211680476377,7178.268089794749,562,9992.074286919024,25.690479864218485,25.690479864218485,10,2,814,1964,387,74.30952013578151,-0.4767600395868765,-0.6043404620330315,-10.001122179384502,-784.9736212912967,False
Guarded max 1x (X=-0.014),-0.014,cross below SMA20-1.40%,0.18563082936167974,0.1422493813861586,2.4983979004486856,-0.19615549219679232,0.9463453063829905,7950.6717114744115,501,9602.435587905684,27.958648356735072,27.958648356735072,10,2,814,1964,178,72.04135164326493,-0.007271836013655886,-0.6774382712311802,2.009029125614423,-12.569999611634557,False
Guarded max 1x (X=-0.015),-0.015,cross below SMA20-1.50%,0.18409359891651378,0.14298285700543112,2.413810058387825,-0.1961554921967926,0.9385085110531712,7689.367919599961,479,8589.334196936521,27.32602993365221,27.326029933652215,10,2,814,1964,168,72.67397006634778,-0.1609948805302519,-0.7620261132920407,2.009029125614395,-273.8737914860849,False
Guarded max 1x (X=0.005),0.005,cross below SMA20+0.50%,0.18407827818418876,0.14958740832385642,2.3829631896139327,-0.35185683336134893,0.5231624363399661,7686.8056686731525,502,9348.0602255597,23.40688165406573,23.40688165406573,10,2,814,1964,374,76.59311834593427,-0.16252695376275383,-0.792872982065933,-13.561104990841239,-276.4360424128936,False
Guarded max 1x (X=-0.016),-0.016,cross below SMA20-1.60%,0.18064837723824678,0.14354067473844281,2.3506479876818407,-0.19194483646961877,0.941147365883114,7133.379542636934,467,7858.628986169972,26.94028699274803,26.94028699274803,10,2,814,1964,163,73.05971300725197,-0.5055170483569515,-0.8251881839980251,2.4300946983317777,-829.8621684491118,False
