strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,family,variant_id,params,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,pct_cash_sessions,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,beats_guarded_all_three
Guarded ATR trail k=1.5 (entry>SMA20),0.18468566252762164,0.13579750674993807,3.2838918789077516,-0.2163713241578579,7789.016357513986,735,32.03209381268323,atr_trail,atr_k1.5,"{""atr_k"": 1.5}",0.8535588680544407,,,,,,,,,,,32.03209381268323,-0.10178851941946565,0.10805570722788582,-0.012554070492135083,False
Guarded entry-HWM chandelier k=1.5,0.18716384774093564,0.13600575165673948,3.2669852557150003,-0.21652886268661034,8219.74807661849,725,31.893226353957722,chandelier_entry,entry_chand_k1.5,"{""atr_k"": 1.5}",0.8643829068267186,,,,,,,,,,,31.893226353957722,0.14603000191193427,0.09114908403513455,-0.028307923367379417,False
Guarded ATR2 + buffer -0.9%,0.186080766775363,0.13605316377939458,3.225946537593861,-0.21635550214173538,8028.754451083308,715,31.893226353957722,combined,combo_atr2_buf09,"{""atr_k"": 2.0, ""sell_buffer_x"": -0.009}",0.8600694918008636,,,,,,,,,,,31.893226353957722,0.03772190535467068,0.0501103659139952,-0.010971868879883218,False
Guarded Donchian+ATR trail k=2.0,0.18739388615074803,0.13463468710764265,3.189227981163665,-0.2163941746681892,8260.87226713692,685,34.03795710538497,donchian,breakout_trail2.0,"{""trail_k"": 2.0}",0.8659839685522537,,,,,,,,,,,34.03795710538497,0.1690338428931737,0.013391809483799033,-0.014839121525264676,False
Guarded ATR2.5 + buffer -0.9%,0.18881165968573943,0.136405160278647,3.179795204011726,-0.2164976048402409,8518.728376858704,695,31.708069742323712,combined,combo_atr25_buf09,"{""atr_k"": 2.5, ""sell_buffer_x"": -0.009}",0.8721189309464572,,,,,,,,,,,31.708069742323715,0.31081119639231325,0.003959032331860346,-0.025182138730434067,False
Guarded sell buffer X=0.000,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,7963.241711086046,703,32.093812683227895,sell_buffer,buf_0p0%,"{""sell_buffer_x"": 0.0}",0.8587614738958949,,,,,,,,,,,32.093812683227895,0.0,0.0,0.0,False
Guarded profit skim 30% -> cash,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,7963.241711086046,703,32.093812683227895,profit_skim,skim_30_cash,"{""after_lev"": 0.0, ""profit_thresh"": 0.3}",0.8587614738958949,,,,,,,,,,,32.093812683227895,0.0,0.0,0.0,False
Guarded profit skim 30% -> half,0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,7963.241711086046,703,32.093812683227895,profit_skim,skim_30_half,"{""after_lev"": 0.5, ""profit_thresh"": 0.3}",0.8587614738958949,,,,,,,,,,,32.093812683227895,0.0,0.0,0.0,False
Guarded + weekly>SMA20 gate,0.1872418391048667,0.13638367058383577,3.171278966976872,-0.21645342048408175,8233.668571269644,693,32.69557167103842,dual_timeframe,weekly_sma20_gate,,0.8650444917253534,,,,,,,,,,,32.69557167103842,0.15382913830503941,-0.004557204702993811,-0.020763703114520804,False
Guarded sell buffer X=-0.001,0.18634702016353621,0.1367917350591951,3.1690643745326126,-0.21629364958665803,8075.3069969048265,699,32.01666409504706,sell_buffer,buf_m0p1%,"{""sell_buffer_x"": -0.001}",0.8615464232059032,,,,,,,,,,,32.01666409504706,0.06434724417199167,-0.006771797147253178,-0.004786613372148585,False
