strategy,trigger_a,trigger_b,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.23380903677290732,0.28398853804554025,3.363370882430042,-0.31388116892457885,752.0768085410357,336,2471.5388594895007,0.0,3,3,0,40.476190476190474,18.69047619047619,8.968253968253968,31.865079365079364,0
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2822401428125849,0.2959113087568197,2.982387456878187,-0.23965811349176605,1090.5344085506183,292,2161.8643583690646,0.0,4,3,273,30.833333333333336,8.492063492063492,39.36507936507937,21.30952380952381,0
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.31475273575060525,0.29550884063382205,3.0093771785693435,-0.2396581134917667,1388.6423694258024,287,2488.7643231026336,0.0,5,2,273,29.92063492063492,2.2222222222222223,56.19047619047619,11.666666666666666,0
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.39075260960570124,0.27814817144678855,3.4275385340307767,-0.33771373606059457,2388.520301755175,296,4781.909814470067,0.0,4,2,0,37.77777777777778,20.833333333333336,18.095238095238095,23.293650793650794,1
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.40624409576985077,0.29960513985863063,3.0473826918159284,-0.2668477998818001,2658.017754411283,281,4702.706037486308,0.0,5,3,237,30.793650793650794,18.571428571428573,32.57936507936508,18.055555555555554,1
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.42605671902190534,0.28684092395225536,3.235232783290023,-0.24502579998962648,3042.26984720964,283,4870.228082899632,0.0,5,2,237,29.12698412698413,7.4603174603174605,54.96031746031746,8.452380952380953,1
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.28347566598862883,0.22770012435444859,3.5673292054358714,-0.3030301897929537,1100.7179903070328,300,2746.797707791594,0.0,3,2,0,34.92063492063492,26.38888888888889,16.984126984126984,21.706349206349206,2
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.40193992936150646,0.2515968110458035,3.1886960515586065,-0.23315459699140895,2580.5337125809624,241,4280.693020404428,0.0,4,3,241,28.253968253968253,20.357142857142858,27.857142857142858,23.53174603174603,2
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.4257091622842848,0.24678219095549242,3.329555376097548,-0.2331545969914086,3035.1216297770957,231,5489.340732737926,0.0,5,3,241,26.031746031746035,6.666666666666667,51.23015873015873,16.071428571428573,2
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.25352925735884524,0.24034652646636692,3.439710858988976,-0.3120475657991851,876.4427552884337,315,2133.5867692569323,0.0,3,2,0,42.53968253968254,20.317460317460316,20.1984126984127,16.944444444444446,3
