variant,description,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp,max_dd_delta_pp,sharpe_delta,improves_cagr,improves_drawdown,improves_sharpe
Within 0.75% of SMA20,Recovery allowed when close is at least 99.25% of SMA20.,0.38408959991767233,0.290759980576015,2.980947249888323,-0.3605640363421126,1696661.2419411384,799,1487385.6705557248,112429.36932109552,7,4,751,1281,31.654962236650324,26.884854909235457,9.990724791307805,31.469458062806417,9.018241914445092,-1.6848913189038583,-0.25152313271711435,True,False,False
Within 0.60% of SMA20,Recovery allowed when close is at least 99.40% of SMA20.,0.3646606112994655,0.287598534153443,3.0490971035977537,-0.43096162164348156,1110326.4792691562,828,952111.9454580847,73731.60042228062,7,4,611,1367,32.79448787597721,26.898105207367166,9.765469723068769,30.541937193586854,7.075343052624405,-8.724649849040755,-0.18337327900768363,True,False,False
Within 0.50% of SMA20,Recovery allowed when close is at least 99.50% of SMA20.,0.36349521013162844,0.2810268468230539,3.1089903387051128,-0.35167702382994837,1082236.1579623476,843,1016873.664660173,72486.41648495028,8,5,516,1410,33.457002782562604,27.269113555054993,11.170001325029814,28.103882337352594,6.958802935840702,-0.7961900676874356,-0.12348004390032452,True,False,False
Within 1.00% of SMA20,Recovery allowed when close is at least 99.00% of SMA20.,0.36183979305988734,0.3036381804025456,2.924542748218882,-0.47768421085292384,1043512.7417611079,813,1139055.720717027,76564.17806098027,6,3,961,1223,29.91917318139658,26.16933881012323,9.36796077911753,34.54352722936266,6.793261228666592,-13.396908769984982,-0.3079276343865551,True,False,False
Within 0.40% of SMA20,Recovery allowed when close is at least 99.60% of SMA20.,0.3452881236110976,0.27561691747578365,3.1086947224092345,-0.38669934816024365,723123.9536236483,841,699146.5531722105,48154.07436567592,8,5,421,1463,34.15926858354313,27.269113555054993,10.957996554922486,27.613621306479395,5.13809428378762,-4.298422500716964,-0.12377566019620279,True,False,False
Within 0.25% of SMA20,Recovery allowed when close is at least 99.75% of SMA20.,0.33323453067187625,0.2721302635212727,3.174367785106843,-0.34520682062633473,552048.0188701894,844,638606.4268370995,38826.22007940597,8,5,260,1588,35.21929243407977,26.275341195176892,10.706240890420036,27.799125480323305,3.932734989865483,-0.14916974732607224,-0.05810259749859448,True,False,False
Within 0.30% of SMA20,Recovery allowed when close is at least 99.70% of SMA20.,0.33303907905841545,0.2751340711688081,3.1375241987338964,-0.32157836088405567,549625.8242110864,843,599247.5122480359,38176.00533132952,8,5,316,1559,34.83503378826023,26.34159268583543,10.759242082946868,28.064131442957468,3.9131898285194033,2.2136762269018337,-0.09494618387154086,True,True,False
Within 0.20% of SMA20,Recovery allowed when close is at least 99.80% of SMA20.,0.3143190826362723,0.27115072782143695,3.1728978959515537,-0.39206041634686345,359622.7321281608,856,428071.52334346104,25463.827754552425,8,5,208,1613,35.55054988737247,26.275341195176892,10.653239697893202,27.520869219557444,2.0411901863050863,-4.8345293193789445,-0.059572486653883594,True,False,False
Close above SMA10 near SMA20,Close above SMA10 while within 1% of SMA20.,0.31221737235737734,0.27126000090285657,3.986080832466085,-0.5433180100315544,342768.56054640596,1284,748516.995340395,25417.997080915287,6,3,304,1959,34.83503378826023,31.005697628196632,7.526169338810123,26.633099244733003,1.8310191584155922,-19.960288687848042,0.7536104498606475,True,False,True
Within 0.10% of SMA20,Recovery allowed when close is at least 99.90% of SMA20.,0.3014124851100226,0.2690493727285709,3.1993475334316375,-0.3677562148515883,267486.0463388014,868,401803.10259455576,21568.921982142594,8,5,107,1669,36.21306479395787,26.15608851199152,10.586988207234663,27.043858486815953,0.7505304336801188,-2.4041091698514316,-0.03312284917379982,True,False,False
RSI14 > 45 near SMA20,RSI14 above 45 while within 1% of SMA20.,0.3007718866402931,0.2828554973254501,2.8611596333760945,-0.5309519028824938,263565.0322592614,851,280778.05901200394,18989.326001770638,7,4,547,1423,33.15224592553332,27.560620113952567,9.182456605273618,30.104677355240494,0.6864705867071663,-18.72367797294198,-0.3713107492293428,True,False,False
Baseline strict SMA20,Original: recovery allowed only when close > SMA20.,0.2939071807732214,0.26651366472273896,3.2324703826054373,-0.343715123153074,224886.27532881335,878,347030.44909552886,17261.059054272304,8,5,0,1734,37.07433417251888,26.15608851199152,10.308731946468795,26.460845369020802,0.0,0.0,0.0,False,False,False
Close above SMA5 near SMA20,Close above SMA5 while within 1% of SMA20.,0.2471424089291916,0.25889216527234704,4.766857576267356,-0.8077306553845094,74552.13983289828,1615,266117.01030007855,5772.724850006988,6,3,382,2232,34.22552007420167,35.259043328474895,6.5456472770637335,23.969789320259704,-4.676477184402983,-46.40155322314354,1.5343871936619191,False,False,True
RSI14 > 50 near SMA20,RSI14 above 50 while within 1% of SMA20.,0.23421714909351454,0.26689183764381297,2.8708114059578462,-0.664075320415992,54545.25153969514,963,87756.96084989842,4596.371269427417,7,4,263,1735,35.00728766397244,29.269908572942892,8.758447065058963,26.964356698025703,-5.969003167970688,-32.036019726291805,-0.36165897664759106,False,False,False
