strategy,sma_window,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,funding_costs_total,trading_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,tier_blocked_days
Buy & hold 1x,n/a,0.12949219721394534,0.19307193711765364,0.6024817499582108,-0.5244835897768743,3852.126798101835,2,0.0,0.19990000000000002,0.0,100.0,0.0,0.0,,,
Buy & hold 2x,n/a,0.15148622178233828,0.3768880930274892,0.484942168425889,-0.851214805818187,6869.238054005554,2,0.0,0.2998,0.0,0.0,100.0,0.0,,,
Buy & hold 3x,n/a,0.15350740000922247,0.5715086274647847,0.44816094695203,-0.9750752726361519,7240.2328021593685,2,0.0,0.39970000000000006,0.0,0.0,0.0,100.0,,,
SMA20 1x/cash,20,0.06840365336902088,0.11371815765496689,0.512204940467065,-0.3455775104757391,726.8248002001039,867,0.0,234.9744451297953,36.96343402225755,63.036565977742455,0.0,0.0,,,
SMA20 2x/cash,20,0.06654208045790155,0.22440395751903108,0.4032332857032148,-0.7180822569741455,689.785159045944,867,0.0,370.8207561805968,36.96343402225755,0.0,63.036565977742455,0.0,,,
SMA20 3x/cash,20,0.061984680894418887,0.3398153461422435,0.33016224283354656,-0.9269261305481333,606.644523857601,867,0.0,417.17997230361783,36.96343402225755,0.0,0.0,63.036565977742455,,,
Guarded A10/B20 SMA20,20,0.08083468467034072,0.27360051289495596,0.4197276119676143,-0.7596075373234892,1028.2828895566627,877,0.0,383.3371194285356,36.96343402225755,26.27186009538951,10.307366189719131,26.45733969263381,8.0,5.0,1734.0
SMA50 1x/cash,50,0.07824280887385937,0.1107621600730074,0.5614607479572493,-0.29786359032532556,956.8385562945681,524,0.0,177.41728371897315,33.90302066772655,66.09697933227345,0.0,0.0,,,
SMA50 2x/cash,50,0.08195062445220214,0.2180667357174707,0.43792089764777536,-0.6013859489631127,1060.6072904507685,524,0.0,309.9898666042132,33.90302066772655,0.0,66.09697933227345,0.0,,,
SMA50 3x/cash,50,0.07898478888221727,0.32825461872555284,0.38072658911370477,-0.8583003692175266,976.7854388927025,524,0.0,355.26881107992955,33.90302066772655,0.0,0.0,66.09697933227345,,,
Guarded A10/B20 SMA50,50,0.0767365696153599,0.2499212202228353,0.36842229624623746,-0.7491764540785402,917.5497332793793,530,0.0,241.97234377363367,33.90302066772655,32.034976152623216,6.465288818229994,27.596714361420243,5.0,2.0,1688.0
SMA200 1x/cash,200,0.10214033256915878,0.11873675538127812,0.6985333169004199,-0.19678229284747914,1846.6443433465588,206,0.0,105.33693436096898,28.21939586645469,71.78060413354531,0.0,0.0,,,
SMA200 2x/cash,200,0.12225460258880871,0.23246155456230908,0.5504123235540066,-0.4527060448384368,3176.61430628021,206,0.0,241.52780813157915,28.21939586645469,0.0,71.78060413354531,0.0,,,
SMA200 3x/cash,200,0.13393724964418885,0.3485278208650234,0.5035401163763734,-0.6642675744919296,4333.73655775493,206,0.0,360.82595607849976,28.21939586645469,0.0,0.0,71.78060413354531,,,
Guarded A10/B20 SMA200,200,0.11883186892110453,0.22335812727315868,0.5686572864380054,-0.43741167919860613,2898.521739975843,217,0.0,229.0491406931843,28.21939586645469,33.91626921038686,19.91255961844197,17.95177530471648,6.0,2.0,1668.0
