Strategy,Signal_Source,Data,Start,End,Trading_Days,CAGR_pct,Vol_pct,Sharpe,MaxDD_pct,Calmar,End_Value,Pct_Cash
Buy & hold (always in 3x),LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,43.98,55.07,0.899,-79.13,0.556,13855.0,0.0
Buy & hold (always in 3x),Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,43.98,55.07,0.899,-79.13,0.556,13855.0,0.0
SMA20 1x/cash,LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,28.21,36.36,0.833,-47.25,0.597,2881.0,36.2
SMA20 1x/cash,Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,70.48,36.94,1.608,-31.02,2.272,136170.0,32.7
SMA50 1x/cash,LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,30.19,37.1,0.84,-57.52,0.525,3546.0,32.8
SMA50 1x/cash,Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,49.57,38.96,1.178,-36.96,1.341,23193.0,26.8
SMA100 1x/cash,LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,19.69,39.12,0.585,-45.09,0.437,1137.0,28.8
SMA100 1x/cash,Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,49.34,41.96,1.117,-41.38,1.192,22702.0,20.4
SMA200 1x/cash,LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,33.73,40.48,0.861,-47.88,0.705,5101.0,26.9
SMA200 1x/cash,Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,50.38,44.2,1.096,-44.27,1.138,24942.0,16.0
SMA50/200 Golden Cross 1x/cash,LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,21.87,44.82,0.594,-67.17,0.326,1451.0,26.6
SMA50/200 Golden Cross 1x/cash,Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,39.05,48.18,0.876,-67.17,0.581,8644.0,16.0
SMA200 +-3% Band 1x/cash,LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,32.75,41.01,0.825,-49.7,0.659,4618.0,26.7
SMA200 +-3% Band 1x/cash,Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,42.01,44.6,0.955,-60.22,0.698,11496.0,17.0
Guarded A5/B25 max 1x,LQQ3 (held instrument),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,34.09,37.44,0.937,-50.68,0.673,5290.0,33.2
Guarded A5/B25 max 1x,Nasdaq 100 (underlying),Real LQQ3 (2012+),2012-12-13,2026-06-25,3463,63.08,40.73,1.373,-41.03,1.537,74691.0,25.6
Buy & hold (always in 3x),Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,16.37,79.17,0.533,-99.97,0.164,25198.0,0.0
Buy & hold (always in 3x),Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,16.37,79.17,0.533,-99.97,0.164,25198.0,0.0
SMA20 1x/cash,Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,13.46,46.02,0.526,-94.5,0.142,10016.0,42.0
SMA20 1x/cash,Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,11.14,48.97,0.475,-96.49,0.115,4709.0,38.5
SMA50 1x/cash,Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,16.65,46.08,0.587,-92.34,0.18,27525.0,39.4
SMA50 1x/cash,Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,18.99,50.1,0.619,-91.66,0.207,56728.0,34.0
SMA100 1x/cash,Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,15.72,46.74,0.553,-92.03,0.171,20515.0,37.0
SMA100 1x/cash,Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,18.11,50.74,0.588,-95.4,0.19,43277.0,29.8
SMA200 1x/cash,Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,19.37,48.94,0.598,-82.57,0.235,63802.0,34.1
SMA200 1x/cash,Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,21.48,55.17,0.626,-95.5,0.225,120709.0,25.1
SMA50/200 Golden Cross 1x/cash,Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,20.85,54.91,0.605,-80.24,0.26,99818.0,33.8
SMA50/200 Golden Cross 1x/cash,Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,29.49,58.92,0.723,-80.24,0.368,1241147.0,25.3
SMA200 +-3% Band 1x/cash,Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,20.51,49.28,0.607,-85.17,0.241,90037.0,34.2
SMA200 +-3% Band 1x/cash,Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,22.27,55.51,0.632,-93.59,0.238,153019.0,25.8
Guarded A5/B25 max 1x,Synthetic LQQ3 (held),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,14.58,47.56,0.552,-95.39,0.153,14327.0,39.0
Guarded A5/B25 max 1x,Nasdaq 100 (underlying),Synthetic 3x (1990+),1990-01-02,2026-06-25,9188,9.53,52.25,0.428,-98.45,0.097,2769.0,31.0
