strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,exit_pct,entry_pct,y_le_x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage
SMA20 1x/cash (baseline),2.0839747220244615,0.3633144971460011,3.954605299769535,-0.25748656414323595,8.09352802138902,384952717.765898,370,90365526.00611216,36.1368909512761,baseline,0.0,0.0,True,,,,,,,,,
Guarded A5/B25 SMA20 Lead (max 1x),2.1807067349970053,0.37171706115014663,3.8776743398661817,-0.22232116630274426,9.808812949584132,583603397.1645174,330,113421999.67671554,33.23665893271462,baseline,,,,22.0,12.0,113.0,1103.0,33.23665893271462,66.76334106728538,0.0,0.0,1.0
SMA20 1x/cash entry-0.5%/exit-0%,2.2325860428101096,0.36613666568395076,4.1167228752003915,-0.254853672171689,8.760266327675545,725746782.5598977,400,186328589.21480635,34.86078886310905,asymmetric_xy,0.0,0.005,False,,,,,,,,,
SMA20 1x/cash entry-1%/exit-0%,2.2855304476466234,0.3676704325767067,4.221507459317485,-0.23773617651695553,9.613725942478164,903321412.0521686,438,261270402.9335442,34.106728538283065,asymmetric_xy,0.0,0.01,False,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-0%,2.35331555032711,0.37028532652528906,4.312882349244987,-0.2223211663027446,10.585206930421082,1189413961.1374378,470,356396100.85167956,33.14965197215777,asymmetric_xy,0.0,0.015,False,,,,,,,,,
SMA20 1x/cash entry-2%/exit-0%,2.3473863395984234,0.37201371849776754,4.413145840468326,-0.22232116630274423,10.558537356726022,1161389607.1893191,532,359398021.90077555,32.19257540603248,asymmetric_xy,0.0,0.02,False,,,,,,,,,
SMA20 1x/cash entry-3%/exit-0%,2.278675563844246,0.37755560479801353,4.5223095176058745,-0.22232116630274446,10.24947647468381,878257002.3996315,646,318662888.9222348,30.365429234338748,asymmetric_xy,0.0,0.03,False,,,,,,,,,
SMA20 1x/cash entry-0%/exit-0.5%,2.015327366283602,0.36704577177209274,3.7726186776670083,-0.25748655151248223,7.826922821582411,284243871.9112839,328,65897254.30178357,34.88979118329466,asymmetric_xy,0.005,0.0,True,,,,,,,,,
SMA20 1x/cash entry-0.5%/exit-0.5%,2.2000584682795066,0.36986283883888776,3.935879794291696,-0.23861861161111672,9.219978498010047,633299924.5797979,342,141318695.12306878,33.75870069605568,asymmetric_xy,0.005,0.005,True,,,,,,,,,
SMA20 1x/cash entry-1%/exit-0.5%,2.2730901670865986,0.37138032278118605,4.045635185896068,-0.22921755740673028,9.916736714252485,858312101.3074472,374,202848851.10476512,32.917633410672856,asymmetric_xy,0.005,0.01,False,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-0.5%,2.3524240888854364,0.37396381049928223,4.1431549511621935,-0.22232116630274432,10.5811971392865,1185160872.6795938,404,293775262.797983,32.01856148491879,asymmetric_xy,0.005,0.015,False,,,,,,,,,
SMA20 1x/cash entry-2%/exit-0.5%,2.374320871520973,0.3756833153173071,4.253354228284943,-0.2223211663027444,10.67968880789226,1293811799.7695224,460,324151304.0284195,31.03248259860789,asymmetric_xy,0.005,0.02,False,,,,,,,,,
SMA20 1x/cash entry-3%/exit-0.5%,2.349394200348014,0.38107127359094123,4.392589709099407,-0.2223211663027444,10.567568708904403,1170810544.9293914,570,372291857.8845137,29.17633410672854,asymmetric_xy,0.005,0.03,False,,,,,,,,,
SMA20 1x/cash entry-0%/exit-1%,1.9095898474450475,0.37085084835676396,3.562271443470724,-0.26071952757391165,7.324306948598991,175721070.87547472,288,34245068.903779134,33.7877030162413,asymmetric_xy,0.01,0.0,True,,,,,,,,,
SMA20 1x/cash entry-0.5%/exit-1%,2.0939023327464303,0.373693269232597,3.7227184807079405,-0.23145760382142566,9.04659124684415,401987752.4587923,298,74778116.80346385,32.627610208816705,asymmetric_xy,0.01,0.005,True,,,,,,,,,
SMA20 1x/cash entry-1%/exit-1%,2.184190263898234,0.37521668982003303,3.8329849042710595,-0.22921755740673022,9.528895991254911,592273921.5509764,322,112172121.3557937,31.728538283062644,asymmetric_xy,0.01,0.01,True,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-1%,2.2759909900408486,0.37778159656875226,3.9350641138607547,-0.2223211663027443,10.237401269034068,868617707.682142,348,177667055.24372098,30.858468677494198,asymmetric_xy,0.01,0.015,False,,,,,,,,,
SMA20 1x/cash entry-2%/exit-1%,2.322082902446381,0.3794854010312935,4.053074238369354,-0.2223211663027443,10.444722565391283,1048526687.4716117,398,214995056.84461802,29.814385150812065,asymmetric_xy,0.01,0.02,False,,,,,,,,,
SMA20 1x/cash entry-3%/exit-1%,2.384390687861411,0.38456636802974387,4.236943508850417,-0.22232116630274418,10.724982814342045,1346810978.2529464,494,317895114.84657,28.016241299303946,asymmetric_xy,0.01,0.03,False,,,,,,,,,
SMA20 1x/cash entry-0%/exit-1.5%,1.8258859858763454,0.37325666628649834,3.4352321014633085,-0.2898118661404602,6.3002457773465075,118583764.95038398,274,23620054.035795655,32.917633410672856,asymmetric_xy,0.015,0.0,True,,,,,,,,,
