strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,exit_pct,entry_pct,y_le_x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,beats_cagr_vs_sma,beats_sharpe_vs_sma,beats_max_dd_vs_sma,fewer_rebalances_vs_sma,cagr_delta_pp_vs_sma,sharpe_delta_vs_sma,max_dd_delta_pp_vs_sma,rebalances_delta_vs_sma,cagr_delta_pp_vs_guard,sharpe_delta_vs_guard,max_dd_delta_pp_vs_guard,rebalances_delta_vs_guard,beats_cagr_vs_guard,beats_sharpe_vs_guard,beats_max_dd_vs_guard,fewer_rebalances_vs_guard
SMA20 1x/cash entry-0.5%/exit-1%,2.0939023327464303,0.373693269232597,3.7227184807079405,-0.23145760382142566,9.04659124684415,401987752.4587923,298.0,74778116.80346385,32.627610208816705,asymmetric_xy,0.01,0.005,True,,,,,,,,,,True,True,True,False,26.54194783235524,0.4379844093298719,3.5165397840491552,200.0,16.868746535100865,0.5149153692332251,-1.3877787807814457e-14,240.0,True,True,False,False
SMA20 1x/cash entry-1%/exit-1.5%,2.0968922841457314,0.3776883371340141,3.6936663354252754,-0.23289272157144356,9.003683197984683,407253411.6111014,300.0,78155065.11586565,30.916473317865428,asymmetric_xy,0.015,0.01,True,,,,,,,,,,False,False,False,True,-25.80887361481161,-0.5193731983062264,-3.2325301997224223,-96.0,-35.48207491206598,-0.4424422384028732,-6.749069983771591,-56.0,False,False,False,True
SMA20 1x/cash entry-2%/exit-2%,2.1856236188109572,0.3865453389014158,3.7205130634224806,-0.22232116630274418,9.83092907957626,595876057.3212879,316.0,99623204.78419471,28.045243619489558,asymmetric_xy,0.02,0.02,True,,,,,,,,,,False,False,True,True,-11.441738009189972,-0.45662323784538517,2.459387211175454,-94.0,-21.11493930644435,-0.379692277942032,-1.0571525728737152,-54.0,False,False,False,True
SMA20 1x/cash entry-1.5%/exit-1.5%,2.203020997014277,0.3802703528287482,3.794147811868132,-0.2223211663027443,9.909182439310923,641244785.5340264,318.0,125635670.24254659,29.988399071925755,asymmetric_xy,0.015,0.015,True,,,,,,,,,,False,False,False,True,-8.388226781071717,-0.3672153123095758,-0.4111374469973006,-88.0,-18.06142807832609,-0.29028435240622263,-3.9276772310464696,-48.0,False,False,False,True
SMA20 1x/cash entry-1%/exit-1%,2.184190263898234,0.37521668982003303,3.8329849042710595,-0.22921755740673022,9.528895991254911,592273921.5509764,322.0,112172121.3557937,31.728538283062644,asymmetric_xy,0.01,0.01,True,,,,,,,,,,False,False,False,True,-17.43848745794141,-0.3923338562988108,-0.3232963430675695,-82.0,-27.111688755195786,-0.3154028963954576,-3.8398361271167385,-42.0,False,False,False,True
SMA20 1x/cash entry-0.5%/exit-0.5%,2.2000584682795066,0.36986283883888776,3.935879794291696,-0.23861861161111672,9.219978498010047,633299924.5797979,342.0,141318695.12306878,33.75870069605568,asymmetric_xy,0.005,0.005,True,,,,,,,,,,True,True,True,False,19.470084181978464,0.5677042178363396,3.51653978404915,276.0,9.79688288472409,0.6446351777396928,-1.942890293094024e-14,316.0,True,True,False,False
SMA20 1x/cash entry-1.5%/exit-1%,2.2759909900408486,0.37778159656875226,3.9350641138607547,-0.2223211663027443,10.237401269034068,868617707.682142,348.0,177667055.24372098,30.858468677494198,asymmetric_xy,0.01,0.015,False,,,,,,,,,,True,False,True,True,0.9927610721968794,-0.23188681906159436,2.602896032181029,-72.0,-8.680440225057495,-0.15495585915824117,-0.9136437518681401,-32.0,False,False,False,True
SMA20 1x/cash entry-2%/exit-1.5%,2.2874327742804543,0.3819596164999138,3.916374788518355,-0.22232116630274448,10.288866383354415,910393601.494653,354.0,179045617.27657098,28.973317865429234,asymmetric_xy,0.015,0.02,False,,,,,,,,,,True,False,True,True,1.291756212126982,-0.26093896434425945,2.4593842571792397,-70.0,-8.381445085127393,-0.18400800444090626,-1.0571555268699295,-30.0,False,False,False,True
SMA20 1x/cash entry-1%/exit-0.5%,2.2730901670865986,0.37138032278118605,4.045635185896068,-0.22921755740673028,9.916736714252485,858312101.3074472,374.0,202848851.10476512,32.917633410672856,asymmetric_xy,0.005,0.01,False,,,,,,,,,,False,False,True,True,-6.864735574085934,-0.18198662210252659,1.263075372071043e-06,-42.0,-16.537936871340307,-0.1050556621991734,-3.516538520973797,-2.0,False,False,False,True
SMA20 1x/cash entry-3%/exit-2%,2.328300530968586,0.39135776086336577,3.938058654976283,-0.22232116630274443,10.472689441535394,1075277242.9326074,394.0,177591799.65623355,26.30510440835267,asymmetric_xy,0.02,0.03,False,,,,,,,,,,False,False,True,True,-0.3199966010568822,-0.355704804851531,3.516539784049169,-80.0,-9.993197898311257,-0.2787738449481778,0.0,-40.0,False,False,False,True
SMA20 1x/cash entry-2%/exit-1%,2.322082902446381,0.3794854010312935,4.053074238369354,-0.2223211663027443,10.444722565391283,1048526687.4716117,398.0,214995056.84461802,29.814385150812065,asymmetric_xy,0.01,0.02,False,,,,,,,,,,True,False,True,True,10.021554187377246,-0.12162039549847536,2.826900673650573,-48.0,0.34835289012287163,-0.04468943559512217,-0.689639110398596,-8.0,True,False,False,True
SMA20 1x/cash entry-0.5%/exit-0%,2.2325860428101096,0.36613666568395076,4.1167228752003915,-0.254853672171689,8.760266327675545,725746782.5598977,400.0,186328589.21480635,34.86078886310905,asymmetric_xy,0.0,0.005,False,,,,,,,,,,,,,,,,,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-0.5%,2.3524240888854364,0.37396381049928223,4.1431549511621935,-0.22232116630274432,10.5811971392865,1185160872.6795938,404.0,293775262.797983,32.01856148491879,asymmetric_xy,0.005,0.015,False,,,,,,,,,,True,False,True,True,11.608374625504503,-0.018725505477839022,1.8867952532119232,-28.0,1.9351733282501282,0.05820545442551417,-1.629744530837246,12.0,True,True,False,False
SMA20 1x/cash entry-1%/exit-0%,2.2855304476466234,0.3676704325767067,4.221507459317485,-0.23773617651695553,9.613725942478164,903321412.0521686,438.0,261270402.9335442,34.106728538283065,asymmetric_xy,0.0,0.01,False,,,,,,,,,,,,,,,,,,,,,,,,,
SMA20 1x/cash entry-3%/exit-1.5%,2.4065723778336467,0.3867892557457389,4.131711974769944,-0.22232116630274423,10.824755995371643,1470724024.0788662,442.0,283535486.0623611,27.1461716937355,asymmetric_xy,0.015,0.03,False,,,,,,,,,,True,False,True,True,11.904627498981535,-0.1604574879014029,3.5165397840491663,-52.0,2.23142620172716,-0.08352652799804972,-2.7755575615628914e-15,-12.0,True,False,False,True
SMA20 1x/cash entry-2%/exit-0.5%,2.374320871520973,0.3756833153173071,4.253354228284943,-0.2223211663027444,10.67968880789226,1293811799.7695224,460.0,324151304.0284195,31.03248259860789,asymmetric_xy,0.005,0.02,False,,,,,,,,,,True,True,True,False,18.91154450621371,0.09102988612653329,2.8269006736505675,4.0,9.238343208959332,0.16796084602988648,-0.6896391103986016,44.0,True,True,False,False
SMA20 1x/cash entry-1.5%/exit-0%,2.35331555032711,0.37028532652528906,4.312882349244987,-0.2223211663027446,10.585206930421082,1189413961.1374378,470.0,356396100.85167956,33.14965197215777,asymmetric_xy,0.0,0.015,False,,,,,,,,,,True,True,True,False,14.86113207856481,0.1621175754308566,0.26328919715469246,30.0,5.187930781310435,0.23904853533420978,-3.2532505868944765,70.0,True,True,False,False
SMA20 1x/cash entry-3%/exit-1%,2.384390687861411,0.38456636802974387,4.236943508850417,-0.22232116630274418,10.724982814342045,1346810978.2529464,494.0,317895114.84657,28.016241299303946,asymmetric_xy,0.01,0.03,False,,,,,,,,,,True,False,True,True,19.201626801638703,-0.01954118590878018,3.5165397840491663,-22.0,9.52842550438433,0.05738977399457301,-2.7755575615628914e-15,18.0,True,True,False,False
SMA20 1x/cash entry-2%/exit-0%,2.3473863395984234,0.37201371849776754,4.413145840468326,-0.22232116630274423,10.558537356726022,1161389607.1893191,532.0,359398021.90077555,32.19257540603248,asymmetric_xy,0.0,0.02,False,,,,,,,,,,True,True,True,False,20.155572562216186,0.2669021595479504,1.9750387626280426,68.0,10.48237126496181,0.34383311945130357,-1.5415010214211267,108.0,True,True,False,False
SMA20 1x/cash entry-3%/exit-0.5%,2.349394200348014,0.38107127359094123,4.392589709099407,-0.2223211663027444,10.567568708904403,1170810544.9293914,570.0,372291857.8845137,29.17633410672854,asymmetric_xy,0.005,0.03,False,,,,,,,,,,True,True,True,False,26.844936686097487,0.18854965139265856,3.5165397840491637,34.0,17.17173538884311,0.26548061129601175,-5.551115123125783e-15,74.0,True,True,False,False
SMA20 1x/cash entry-3%/exit-0%,2.278675563844246,0.37755560479801353,4.5223095176058745,-0.22232116630274446,10.24947647468381,878257002.3996315,646.0,318662888.9222348,30.365429234338748,asymmetric_xy,0.0,0.03,False,,,,,,,,,,True,True,True,False,26.93408283026484,0.3582770494754519,3.5165397840491357,100.0,17.260881533010462,0.4352080093788051,-3.3306690738754696e-14,140.0,True,True,False,False
