cagr,sharpe,rebalances,strategy,family
2.278675563844246,4.5223095176058745,646.0,SMA20 1x/cash entry-3%/exit-0%,asymmetric_xy
2.3473863395984234,4.413145840468326,532.0,SMA20 1x/cash entry-2%/exit-0%,asymmetric_xy
2.349394200348014,4.392589709099407,570.0,SMA20 1x/cash entry-3%/exit-0.5%,asymmetric_xy
2.35331555032711,4.312882349244987,470.0,SMA20 1x/cash entry-1.5%/exit-0%,asymmetric_xy
2.374320871520973,4.253354228284943,460.0,SMA20 1x/cash entry-2%/exit-0.5%,asymmetric_xy
2.384390687861411,4.236943508850417,494.0,SMA20 1x/cash entry-3%/exit-1%,asymmetric_xy
2.2855304476466234,4.221507459317485,438.0,SMA20 1x/cash entry-1%/exit-0%,asymmetric_xy
2.3524240888854364,4.1431549511621935,404.0,SMA20 1x/cash entry-1.5%/exit-0.5%,asymmetric_xy
2.4065723778336467,4.131711974769944,442.0,SMA20 1x/cash entry-3%/exit-1.5%,asymmetric_xy
2.2325860428101096,4.1167228752003915,400.0,SMA20 1x/cash entry-0.5%/exit-0%,asymmetric_xy
2.322082902446381,4.053074238369354,398.0,SMA20 1x/cash entry-2%/exit-1%,asymmetric_xy
2.2730901670865986,4.045635185896068,374.0,SMA20 1x/cash entry-1%/exit-0.5%,asymmetric_xy
2.328300530968586,3.938058654976283,394.0,SMA20 1x/cash entry-3%/exit-2%,asymmetric_xy
2.2000584682795066,3.935879794291696,342.0,SMA20 1x/cash entry-0.5%/exit-0.5%,asymmetric_xy
2.2759909900408486,3.9350641138607547,348.0,SMA20 1x/cash entry-1.5%/exit-1%,asymmetric_xy
2.2874327742804543,3.916374788518355,354.0,SMA20 1x/cash entry-2%/exit-1.5%,asymmetric_xy
2.184190263898234,3.8329849042710595,322.0,SMA20 1x/cash entry-1%/exit-1%,asymmetric_xy
2.203020997014277,3.794147811868132,318.0,SMA20 1x/cash entry-1.5%/exit-1.5%,asymmetric_xy
2.0939023327464303,3.7227184807079405,298.0,SMA20 1x/cash entry-0.5%/exit-1%,asymmetric_xy
2.1856236188109572,3.7205130634224806,316.0,SMA20 1x/cash entry-2%/exit-2%,asymmetric_xy
2.0968922841457314,3.6936663354252754,300.0,SMA20 1x/cash entry-1%/exit-1.5%,asymmetric_xy
2.0807747560138927,3.598900494918004,290.0,SMA20 1x/cash entry-1.5%/exit-2%,asymmetric_xy
2.0000924542137444,3.587389987459959,282.0,SMA20 1x/cash entry-0.5%/exit-1.5%,asymmetric_xy
1.9695573419325618,3.4979820619241497,276.0,SMA20 1x/cash entry-1%/exit-2%,asymmetric_xy
1.8258859858763454,3.4352321014633085,274.0,SMA20 1x/cash entry-0%/exit-1.5%,asymmetric_xy
1.8783123888819948,3.393563127840792,258.0,SMA20 1x/cash entry-0.5%/exit-2%,asymmetric_xy
1.7236566099417785,3.253487844444186,250.0,SMA20 1x/cash entry-0%/exit-2%,asymmetric_xy
1.844295795094875,3.2135986551694766,246.0,SMA20 1x/cash entry-2%/exit-3%,asymmetric_xy
1.7420115599483705,3.104368737162467,230.0,SMA20 1x/cash entry-1.5%/exit-3%,asymmetric_xy
1.654584435439876,3.029700860034942,224.0,SMA20 1x/cash entry-1%/exit-3%,asymmetric_xy
1.5799504562975146,2.945268801545061,212.0,SMA20 1x/cash entry-0.5%/exit-3%,asymmetric_xy
1.6950594562151822,2.883303851210722,200.0,SMA20 1x/cash entry-3%/exit-5%,asymmetric_xy
1.5562935935487996,2.735711519025251,172.0,SMA20 1x/cash entry-2%/exit-5%,asymmetric_xy
1.4844584201969107,2.6684688799401255,168.0,SMA20 1x/cash entry-1.5%/exit-5%,asymmetric_xy
1.3656512781213141,2.5596332335433942,162.0,SMA20 1x/cash entry-0.5%/exit-5%,asymmetric_xy
1.2826161738249189,2.472747346880037,158.0,SMA20 1x/cash entry-0%/exit-5%,asymmetric_xy
,,,,asymmetric_xy
,,,,asymmetric_xy
,,,,asymmetric_xy
,,,,asymmetric_xy
