strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,sma_window,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,exit_buffer,entry_buffer,confirm_days,fast,slow,min_hold_days
Buy & hold LQQ3,0.4545648260667612,0.5623342849706714,0.9079446179650067,-0.7912877989825838,0.5744620688594316,15577.469218713564,0,0.0,0.0,baseline,,,,,,,,,,,,,,,,
SMA20 1x/cash (baseline),2.0839747220244615,0.3633144971460011,3.954605299769535,-0.25748656414323595,8.09352802138902,384952717.765898,370,90365526.00611216,36.1368909512761,baseline,20.0,,,,,,,,,,,,,,,
Guarded A5/B25 max 1x (baseline),2.1807067349970053,0.37171706115014663,3.8776743398661817,-0.22232116630274426,9.808812949584132,583603397.1645174,330,113421999.67671554,33.23665893271462,baseline,,22.0,12.0,113.0,1103.0,33.23665893271462,66.76334106728538,0.0,0.0,1.0,,,,,,
SMA20 1x/cash exit-0.5% below MA,2.015327366283602,0.36704577177209274,3.7726186776670083,-0.25748655151248223,7.826922821582411,284243871.9112839,328,65897254.30178357,34.88979118329466,exit_buffer,20.0,,,,,,,,,,0.005,,,,,
SMA20 1x/cash exit-1% below MA,1.9095898474450475,0.37085084835676396,3.562271443470724,-0.26071952757391165,7.324306948598991,175721070.87547472,288,34245068.903779134,33.7877030162413,exit_buffer,20.0,,,,,,,,,,0.01,,,,,
SMA20 1x/cash exit-1.5% below MA,1.8258859858763454,0.37325666628649834,3.4352321014633085,-0.2898118661404602,6.3002457773465075,118583764.95038398,274,23620054.035795655,32.917633410672856,exit_buffer,20.0,,,,,,,,,,0.015,,,,,
SMA20 1x/cash exit-2% below MA,1.7236566099417785,0.37782205009750436,3.253487844444186,-0.28981179122831796,5.94750338706494,72181690.67594206,250,13210779.420097638,31.69953596287703,exit_buffer,20.0,,,,,,,,,,0.02,,,,,
SMA20 1x/cash exit-3% below MA,1.4548058491642974,0.38871228967295135,2.8228783775216764,-0.35872534689808633,4.055486632723522,17795987.83993264,206,2737042.8683903967,29.147331786542924,exit_buffer,20.0,,,,,,,,,,0.03,,,,,
SMA20 1x/cash exit-5% below MA,1.2826161738249189,0.4018426281422336,2.472747346880037,-0.3959041589070408,3.239713817015194,6680185.486786718,158,740537.6560627157,24.94199535962877,exit_buffer,20.0,,,,,,,,,,0.05,,,,,
SMA30 1x/cash exit-0.5% below MA,1.587260416546239,0.3672447102431053,3.2333985017956564,-0.26269194457671824,6.042288122324532,36125634.20193191,266,5941878.965127811,34.59976798143852,exit_buffer,30.0,,,,,,,,,,0.005,,,,,
SMA30 1x/cash exit-1% below MA,1.5009272185022082,0.3707616311909473,3.0665182809652762,-0.2626919445767184,5.713640062015175,22868424.33203997,242,3602064.8830874567,33.75870069605568,exit_buffer,30.0,,,,,,,,,,0.01,,,,,
SMA30 1x/cash exit-1.5% below MA,1.4370491842312751,0.37379234149697643,2.9154475737515755,-0.2626919445767186,5.47047297756627,16137780.1860787,212,2499429.930147574,32.511600928074245,exit_buffer,30.0,,,,,,,,,,0.015,,,,,
SMA30 1x/cash exit-2% below MA,1.3761709924229777,0.3765096748126156,2.79856269563582,-0.26269194457671846,5.238725514177579,11476822.748053737,196,1655324.442643846,31.46751740139211,exit_buffer,30.0,,,,,,,,,,0.02,,,,,
SMA30 1x/cash exit-3% below MA,1.226544357487645,0.38357164097228674,2.537695139842141,-0.2926016041608958,4.191857939415781,4778150.052121296,172,601292.2623749103,29.814385150812065,exit_buffer,30.0,,,,,,,,,,0.03,,,,,
SMA30 1x/cash exit-5% below MA,1.0403703817208805,0.39824920187993423,2.157707864938265,-0.34880891875537423,2.9826369848372782,1473443.406390129,128,151723.83002166502,26.711136890951277,exit_buffer,30.0,,,,,,,,,,0.05,,,,,
SMA50 1x/cash exit-0.5% below MA,1.1943750934502773,0.3773291901672381,2.5859168982407534,-0.26269194457671846,4.546675747422713,3927390.6447191867,196,585786.9665616738,32.10556844547564,exit_buffer,50.0,,,,,,,,,,0.005,,,,,
SMA50 1x/cash exit-1% below MA,1.1120189254471442,0.38091728789212637,2.4246720762975884,-0.2626919445767187,4.233167207464107,2345724.206028465,176,322829.7405587104,31.29350348027842,exit_buffer,50.0,,,,,,,,,,0.01,,,,,
SMA50 1x/cash exit-1.5% below MA,1.0780381380555761,0.3819260587867307,2.361042482548792,-0.2626919445767184,4.103811176214953,1885252.2314974272,168,261659.55109435288,30.858468677494198,exit_buffer,50.0,,,,,,,,,,0.015,,,,,
SMA50 1x/cash exit-2% below MA,1.0265454589540841,0.38475373347715386,2.239851256658265,-0.3070237490184618,3.3435376326290522,1344473.8895477753,146,138161.24492255307,30.249419953596288,exit_buffer,50.0,,,,,,,,,,0.02,,,,,
SMA50 1x/cash exit-3% below MA,1.0052910379481044,0.3868139909031952,2.168705176564989,-0.30702374901846174,3.2743103462255454,1166434.9291594934,128,103359.28063109108,29.495359628770302,exit_buffer,50.0,,,,,,,,,,0.03,,,,,
SMA50 1x/cash exit-5% below MA,0.8108184932565912,0.39894520402119976,1.8099109131213558,-0.32634616108941306,2.4845351039212664,295103.6984081982,102,24359.112697473505,27.378190255220417,exit_buffer,50.0,,,,,,,,,,0.05,,,,,
SMA20 1x/cash in+0%/out-1%,1.9095898474450475,0.37085084835676396,3.562271443470724,-0.26071952757391165,7.324306948598991,175721070.87547472,288,34245068.903779134,33.7877030162413,buffer,20.0,,,,,,,,,,0.01,0.0,,,,
SMA20 1x/cash in+0%/out-2%,1.7236566099417785,0.37782205009750436,3.253487844444186,-0.28981179122831796,5.94750338706494,72181690.67594206,250,13210779.420097638,31.69953596287703,buffer,20.0,,,,,,,,,,0.02,0.0,,,,
SMA20 1x/cash in+0%/out-3%,1.4548058491642974,0.38871228967295135,2.8228783775216764,-0.35872534689808633,4.055486632723522,17795987.83993264,206,2737042.8683903967,29.147331786542924,buffer,20.0,,,,,,,,,,0.03,0.0,,,,
SMA20 1x/cash in+0%/out-5%,1.2826161738249189,0.4018426281422336,2.472747346880037,-0.3959041589070408,3.239713817015194,6680185.486786718,158,740537.6560627157,24.94199535962877,buffer,20.0,,,,,,,,,,0.05,0.0,,,,
SMA20 1x/cash in+0.5%/out-1%,1.8271112879946174,0.36922230707868336,3.4668828915513275,-0.2508708197583501,7.28307616547262,119278391.9718671,272,20968500.77853092,34.91879350348028,buffer,20.0,,,,,,,,,,0.01,0.005,,,,
SMA20 1x/cash in+0.5%/out-2%,1.6536999904374587,0.37603266590246104,3.174645077725148,-0.26853947025944813,6.158126359747952,50836474.92685625,238,8321242.787344461,32.83062645011601,buffer,20.0,,,,,,,,,,0.02,0.005,,,,
SMA20 1x/cash in+0.5%/out-3%,1.3998970922065683,0.38685039573798663,2.7608523493159964,-0.34331592932737404,4.077576869064166,13120686.700483225,198,1905228.3313107395,30.278422273781903,buffer,20.0,,,,,,,,,,0.03,0.005,,,,
SMA20 1x/cash in+0.5%/out-5%,1.2870802799135443,0.3998704870492503,2.477161758420975,-0.39130985586715017,3.2891588612337648,6858364.899054661,152,761002.3065720652,25.66705336426914,buffer,20.0,,,,,,,,,,0.05,0.005,,,,
SMA20 1x/cash in+1%/out-1%,1.724485739554145,0.3658083749163012,3.3667436475494905,-0.2508707403271,6.874001078426521,72478300.10176238,258,12342489.32915713,35.81786542923434,buffer,20.0,,,,,,,,,,0.01,0.01,,,,
SMA20 1x/cash in+1%/out-2%,1.5633973771150718,0.37248589076639427,3.084681820902354,-0.26853930276502924,5.821856841875537,31885810.785723418,226,5032531.122971214,33.84570765661253,buffer,20.0,,,,,,,,,,0.02,0.01,,,,
SMA20 1x/cash in+1%/out-3%,1.3285500753840056,0.3832165931804884,2.681119461684228,-0.3433154789753341,3.869764565667768,8737072.155281821,186,1190357.2360671721,31.322505800464036,buffer,20.0,,,,,,,,,,0.03,0.01,,,,
SMA20 1x/cash in+1%/out-5%,1.2291457079492405,0.39619505378363923,2.4127119387603906,-0.39130921919285067,3.1411110386936096,4853913.101460311,142,498469.1805517661,26.595127610208817,buffer,20.0,,,,,,,,,,0.05,0.01,,,,
SMA30 1x/cash in+0%/out-1%,1.5009272185022082,0.3707616311909473,3.0665182809652762,-0.2626919445767184,5.713640062015175,22868424.33203997,242,3602064.8830874567,33.75870069605568,buffer,30.0,,,,,,,,,,0.01,0.0,,,,
SMA30 1x/cash in+0%/out-2%,1.3761709924229777,0.3765096748126156,2.79856269563582,-0.26269194457671846,5.238725514177579,11476822.748053737,196,1655324.442643846,31.46751740139211,buffer,30.0,,,,,,,,,,0.02,0.0,,,,
SMA30 1x/cash in+0%/out-3%,1.226544357487645,0.38357164097228674,2.537695139842141,-0.2926016041608958,4.191857939415781,4778150.052121296,172,601292.2623749103,29.814385150812065,buffer,30.0,,,,,,,,,,0.03,0.0,,,,
SMA30 1x/cash in+0%/out-5%,1.0403703817208805,0.39824920187993423,2.157707864938265,-0.34880891875537423,2.9826369848372782,1473443.406390129,128,151723.83002166502,26.711136890951277,buffer,30.0,,,,,,,,,,0.05,0.0,,,,
SMA30 1x/cash in+0.5%/out-1%,1.456822589642429,0.36979985563603696,2.9934727509473515,-0.2626919445767184,5.545745195916992,17993978.422421344,226,2544467.6041044556,34.54176334106729,buffer,30.0,,,,,,,,,,0.01,0.005,,,,
SMA30 1x/cash in+0.5%/out-2%,1.335254227787824,0.37546441676077574,2.746959872831993,-0.2626919445767186,5.082966019149728,9082137.335620321,190,1143762.861981863,32.19257540603248,buffer,30.0,,,,,,,,,,0.02,0.005,,,,
SMA30 1x/cash in+0.5%/out-3%,1.190883332927862,0.3825227176185525,2.4970448517163693,-0.29510162010642466,4.035502524514725,3844023.318232336,170,454566.915194816,30.539443155452435,buffer,30.0,,,,,,,,,,0.03,0.005,,,,
SMA30 1x/cash in+0.5%/out-5%,1.0191844663776943,0.3972933899139298,2.1312820793936873,-0.33543284517107497,3.038415829129367,1280148.4222059129,126,116175.3798677697,27.23317865429234,buffer,30.0,,,,,,,,,,0.05,0.005,,,,
