cagr,sharpe,rebalances,strategy,family
1.827130147246026,3.8290616822227093,378,Guarded max 1x exit-1% 1d confirm,guarded_exit
1.827130147246026,3.8290616822227093,378,Guarded max 1x exit-2% 1d confirm,guarded_exit
1.827130147246026,3.8290616822227093,378,Guarded max 1x exit-3% 1d confirm,guarded_exit
1.827130147246026,3.8290616822227093,378,Guarded max 1x exit-5% 1d confirm,guarded_exit
2.015327366283602,3.7726186776670083,328,SMA20 1x/cash exit-0.5% below MA,exit_buffer
1.9095898474450475,3.562271443470724,288,SMA20 1x/cash exit-1% below MA,exit_buffer
1.9095898474450475,3.562271443470724,288,SMA20 1x/cash in+0%/out-1%,buffer
1.8271112879946174,3.4668828915513275,272,SMA20 1x/cash in+0.5%/out-1%,buffer
1.724485739554145,3.3667436475494905,258,SMA20 1x/cash in+1%/out-1%,buffer
1.7236566099417785,3.253487844444186,250,SMA20 1x/cash exit-2% below MA,exit_buffer
1.7236566099417785,3.253487844444186,250,SMA20 1x/cash in+0%/out-2%,buffer
1.6536999904374587,3.174645077725148,238,SMA20 1x/cash in+0.5%/out-2%,buffer
1.5633973771150718,3.084681820902354,226,SMA20 1x/cash in+1%/out-2%,buffer
1.4370491842312751,2.9154475737515755,212,SMA30 1x/cash exit-1.5% below MA,exit_buffer
1.4548058491642974,2.8228783775216764,206,SMA20 1x/cash exit-3% below MA,exit_buffer
1.4548058491642974,2.8228783775216764,206,SMA20 1x/cash in+0%/out-3%,buffer
1.3761709924229777,2.79856269563582,196,SMA30 1x/cash exit-2% below MA,exit_buffer
1.3761709924229777,2.79856269563582,196,SMA30 1x/cash in+0%/out-2%,buffer
1.3998970922065683,2.7608523493159964,198,SMA20 1x/cash in+0.5%/out-3%,buffer
1.335254227787824,2.746959872831993,190,SMA30 1x/cash in+0.5%/out-2%,buffer
1.3285500753840056,2.681119461684228,186,SMA20 1x/cash in+1%/out-3%,buffer
1.2513204506817739,2.654400148214976,182,SMA30 1x/cash in+1%/out-2%,buffer
1.226544357487645,2.537695139842141,172,SMA30 1x/cash exit-3% below MA,exit_buffer
1.226544357487645,2.537695139842141,172,SMA30 1x/cash in+0%/out-3%,buffer
1.190883332927862,2.4970448517163693,170,SMA30 1x/cash in+0.5%/out-3%,buffer
1.2870802799135443,2.477161758420975,152,SMA20 1x/cash in+0.5%/out-5%,buffer
1.2291457079492405,2.4127119387603906,142,SMA20 1x/cash in+1%/out-5%,buffer
1.0052910379481044,2.168705176564989,128,SMA50 1x/cash exit-3% below MA,exit_buffer
1.0403703817208805,2.157707864938265,128,SMA30 1x/cash exit-5% below MA,exit_buffer
1.0403703817208805,2.157707864938265,128,SMA30 1x/cash in+0%/out-5%,buffer
1.0191844663776943,2.1312820793936873,126,SMA30 1x/cash in+0.5%/out-5%,buffer
0.9704747954194932,2.0750553340070934,122,SMA30 1x/cash in+1%/out-5%,buffer
0.8108184932565912,1.8099109131213558,102,SMA50 1x/cash exit-5% below MA,exit_buffer
0.505179359891375,1.135068121662058,78,SMA20 1x/cash + min hold 10d,min_hold
0.48383855677187015,1.0896934340129933,74,Guarded max 1x + min hold 10d,min_hold
0.4522164158541304,0.9476218858004753,26,SMA20 1x/cash + min hold 20d,min_hold
0.4359334403872275,0.919192603568117,22,Guarded max 1x + min hold 20d,min_hold
