strategy,group,description,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,end_$,rebalances,funding_costs_total,trading_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
Donchian breakout momentum,Momentum trigger,0x below SMA200; 1x above SMA200; 2x on 60-day high breakout; 3x on 120-day high breakout; reduce on 20-day low.,0.19231418184752713,0.2337838785448637,1.541655084435924,1.7631014953597584,0.5585082135843625,-0.34433545858404485,19366.12651215102,379,0.0,13363.431725566577,26.6163222045575,29.98145204027557,4.782723900370959,38.61950185479597
SMA stack momentum,Momentum trigger,0x below SMA200; 1x above SMA200; 2x when close > SMA50 > SMA200; 3x when close > SMA20 > SMA50 > SMA200.,0.15082206231758133,0.23446880977895457,2.260052709544596,3.1385364526914414,0.3106596704471318,-0.4854896746027686,6693.141728183805,1044,0.0,12035.894589110405,28.21939586645469,19.939056703762585,14.878113407525174,36.96343402225755
Vol-adjusted SMA stack,Momentum trigger,"SMA stack momentum, reduced by one tier when 20-day realized volatility exceeds 25%, capped at 1x above 35%.",0.13592920589087054,0.2301191964471949,2.186786553582659,3.0021421200067127,0.28208509482782296,-0.48187305314319434,4528.411185941322,1019,0.0,8568.596631945538,29.451510333863272,19.07790143084261,14.692633810280869,36.77795442501325
SMA slope momentum,Momentum trigger,0x below SMA200; 1x above SMA200; 2x on positive SMA50 slope; 3x on strong SMA20 and SMA50 slopes.,0.12518502033127166,0.23667425742481202,2.041295042804078,2.7696553797637185,0.2613679398349201,-0.47896088713228735,3405.20358132537,1007,0.0,7443.173918175824,24.112347641759406,20.87970323264441,24.0990990990991,30.90885002649709
MACD momentum,Momentum trigger,0x below SMA200; 1x above SMA200; 2x when MACD > signal; 3x when MACD histogram is positive and rising.,0.04394352453982964,0.19796027300909771,2.68942242533213,4.197633557590365,0.06787150305741119,-0.6474517663570625,359.6405349152685,1205,0.0,2833.0080819597674,28.21939586645469,34.326974032856384,21.714361420243772,15.73926868044515
RSI momentum,Momentum trigger,1x when RSI > 50; 2x when RSI > 55 and close > SMA50; 3x when RSI > 60 and close > SMA20.,0.020079699878363888,0.2538212476348216,3.222761797487378,4.140516900386094,0.022874030803961765,-0.8778382809070144,179.73095633003462,1985,0.0,3356.0968564614645,37.59936406995231,13.68574456809751,9.896661367249603,38.81822999470058
SMA20 3x/cash,Reference,"3x when close is above SMA20, otherwise cash/T-bills.",0.3295559254870706,0.32473257319944454,3.735476049279008,4.917979200266221,0.5265524967379679,-0.6258747751244067,508540.39535772457,868,0.0,866661.5059164262,37.01642819289878,0.0,0.0,62.98357180710122
Guarded A10/B20 SMA20,Reference,Drawdown-triggered recovery leverage reference from the current website strategy.,0.2810557569263388,0.26346490887359125,3.2254580106514084,3.787518352898748,0.7272425601394192,-0.3864676963796752,166814.7354400273,878,0.0,227553.21785433564,37.01642819289878,26.21886592474828,10.307366189719131,26.45733969263381
SMA20 2x/cash,Reference,"2x when close is above SMA20, otherwise cash/T-bills.",0.27050326943057845,0.21796953913352882,3.8482041222754835,5.200708421301605,0.6456432453094,-0.41896708653855746,130161.2763200731,868,0.0,204799.15966633495,37.01642819289878,0.0,62.98357180710122,0.0
SMA20 1x/cash,Reference,"1x when close is above SMA20, otherwise cash/T-bills.",0.16881728067912594,0.11021874043596838,3.968799945275329,5.439307715462182,1.0205633943319796,-0.16541577095230528,10659.962863726094,868,0.0,16970.43964286359,37.01642819289878,62.98357180710122,0.0,0.0
Buy & hold 2x,Reference,Constant 2x exposure.,0.13424483160752287,0.3684154018955251,0.4126472663517235,0.5249377451821106,0.1497297524994002,-0.8965808689763287,4331.265398939474,1,0.0,1.0,0.0,0.0,100.0,0.0
Buy & hold 1x,Reference,Constant 1x exposure.,0.1292544313477053,0.1929907172340186,0.6002712853528451,0.7718809956606353,0.24654599981269482,-0.5242609145794379,3832.9865904711355,0,0.0,0.0,0.0,100.0,0.0,0.0
Buy & hold 3x,Reference,Constant 3x exposure.,0.12287025194448598,0.5561646096316688,0.29032208626419254,0.3610857684597643,0.12485946451719784,-0.9840683877637656,3168.886408218039,1,0.0,2.0,0.0,0.0,0.0,100.0
