strategy,group,median_cagr,p10_cagr,p90_cagr,median_max_drawdown,p10_max_drawdown,p90_max_drawdown,median_sharpe,median_end_$,prob_cagr_gt_0,prob_cagr_gt_20pct,prob_cagr_gt_30pct,prob_max_dd_worse_30pct,prob_max_dd_worse_40pct,prob_max_dd_worse_50pct,prob_end_below_start,median_rebalances,median_pct_days_cash,median_pct_days_1x,median_pct_days_2x,median_pct_days_3x
Keltner trend channel,Long-hold momentum,0.3103993179605542,0.16446411385601703,0.49517455830015006,-0.3458183607020676,-0.4396051569113384,-0.26892994879483756,2.04778184570203,1344.897232717448,1.0,0.83,0.536,0.724,0.196,0.024,0.0,236.0,38.730158730158735,4.166666666666666,9.365079365079366,47.242063492063494
Long-hold 3/6/12m momentum,Long-hold momentum,0.13608479485229286,0.028600933386978604,0.31411275420939566,-0.5260998564596888,-0.6656661502938498,-0.40987178955960907,0.9010223851920725,339.1568555995135,0.95,0.304,0.124,0.996,0.93,0.606,0.05,120.0,35.773809523809526,10.03968253968254,5.595238095238096,47.53968253968254
SMA stack hysteresis,Long-hold momentum,0.12553490586316907,0.02592342142822848,0.275788349962844,-0.4855772153720062,-0.6092700504070346,-0.3923669444560064,1.0164467985765988,309.95360764251785,0.962,0.256,0.072,0.996,0.878,0.442,0.038,193.0,37.93650793650794,8.412698412698413,12.698412698412698,40.257936507936506
ADX trend strength,Long-hold momentum,0.1234037731787222,0.04074467875816773,0.23835201328351702,-0.40814203173908137,-0.5254138736838466,-0.32146944000408934,1.2143859790629472,304.3361241922272,0.982,0.192,0.036,0.954,0.546,0.154,0.018,172.0,37.93650793650794,22.61904761904762,3.392857142857143,35.654761904761905
Monthly momentum regime,Long-hold momentum,0.06852443322305213,-0.02437266721281086,0.2261840270961046,-0.6341832320628633,-0.7821738424849852,-0.49642672906791224,0.3269808714831001,187.68610541678783,0.796,0.126,0.04,1.0,0.984,0.89,0.212,29.0,47.460317460317455,3.4523809523809526,7.698412698412699,41.25
Absolute momentum trailing stop,Long-hold momentum,0.003988872169818025,-0.09498580668278116,0.13769098702503701,-0.7473174691412909,-0.8716838039570243,-0.6012830664091401,1.4412419861040662,102.87833352370652,0.518,0.058,0.008,1.0,0.998,0.972,0.49,250.0,46.38888888888889,5.674603174603175,0.0,47.182539682539684
SMA stack momentum,Momentum trigger,0.2289056286089859,0.11552383092046586,0.3930367865047217,-0.30775927898312555,-0.402589057011202,-0.2483181077552404,1.9804285313862067,723.7221292056566,1.0,0.614,0.276,0.562,0.11,0.012,0.0,315.0,37.93650793650794,19.72222222222222,12.103174603174603,29.424603174603178
SMA slope momentum,Momentum trigger,0.22370021017612673,0.11159488562862001,0.35820659696599055,-0.32639349208367796,-0.42896792197606515,-0.25562762511495635,1.926389340246562,694.672924297433,1.0,0.574,0.228,0.648,0.162,0.014,0.0,309.0,32.02380952380952,20.0,22.53968253968254,25.198412698412696
Donchian breakout momentum,Momentum trigger,0.21934286002505188,0.1031597899597297,0.3481762124020262,-0.32174896224411165,-0.42834867016922085,-0.2572280916305571,1.2798482209075552,671.1647692373263,1.0,0.556,0.186,0.634,0.18,0.014,0.0,133.0,34.007936507936506,29.08730158730159,5.714285714285714,30.892857142857146
Vol-adjusted SMA stack,Momentum trigger,0.18237236132711965,0.08954538450333775,0.3317440318576136,-0.31166862505091053,-0.40540751197254193,-0.25163390091188503,1.9995061790685689,498.6344614962728,0.998,0.422,0.148,0.588,0.11,0.02,0.002,313.5,40.3968253968254,19.166666666666668,12.321428571428571,27.400793650793652
MACD momentum,Momentum trigger,0.08253789342269935,0.021617242693588494,0.17499010043807012,-0.35766701911936716,-0.48160942476444923,-0.2721240738143666,2.2698930505722354,212.835222878526,0.96,0.042,0.0,0.77,0.304,0.082,0.042,369.0,37.93650793650794,28.908730158730158,19.166666666666668,14.166666666666666
RSI momentum,Momentum trigger,0.024299536041424985,-0.05174152718368454,0.13838987316237786,-0.5901098410227297,-0.7269201430086768,-0.4531889085739721,3.147715617353099,124.8146172757803,0.642,0.03,0.002,1.0,0.966,0.782,0.368,669.0,39.920634920634924,13.968253968253968,9.007936507936508,37.00396825396825
SMA20 3x/cash,Reference,0.41025806848463287,0.24687989633520455,0.6441969989329481,-0.3740212349808103,-0.4881973136673261,-0.28881386202163006,3.7148926850283193,2732.1734585121335,1.0,0.952,0.78,0.854,0.374,0.086,0.0,300.0,39.36507936507937,0.0,0.0,60.63492063492063
SMA20 2x/cash,Reference,0.3093508185480849,0.20593371288050352,0.4467949989385381,-0.25073387956318194,-0.3380132148342305,-0.18896680224318338,3.7529795056210897,1334.5589602494929,1.0,0.914,0.54,0.204,0.024,0.002,0.0,300.0,39.36507936507937,0.0,60.63492063492063,0.0
Guarded A10/B20 SMA20,Reference,0.290322637389683,0.19617734721257152,0.4165371956408449,-0.2949349799409207,-0.41994212616199816,-0.19154316432226695,3.512741995217888,1158.7143199962627,1.0,0.894,0.46,0.476,0.148,0.022,0.0,303.0,39.36507936507937,23.80952380952381,14.94047619047619,19.92063492063492
Buy & hold 1x,Reference,0.1401626285285409,0.07795085518982595,0.21025863130552716,-0.31497159867324853,-0.42721649641514325,-0.2308622078912102,0.5085699900709453,354.6359099714184,0.998,0.136,0.004,0.562,0.17,0.018,0.002,0.0,0.0,100.0,0.0,0.0
