strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,simulation
Guarded A5/B25 SMA20 Lead (max 1x),-0.020966378131049512,0.16655015115808355,-0.3800913137466156,-0.3960804900234977,-0.05293463995110102,81.42427273735935,361,35.81943554769221,0.0,37.93650793650794,62.06349206349206,0.0,0.0,1,1,297,910,37.93650793650794,0
Guarded A5/B25 SMA20 Lead (max 1x),0.20275830387260796,0.17754520861324435,0.9915642888463122,-0.2904347046292991,0.6981200959830255,593.4180980278162,256,74.55429272472625,0.0,30.436507936507933,69.56349206349206,0.0,0.0,6,1,224,719,30.476190476190474,1
Guarded A5/B25 SMA20 Lead (max 1x),-0.014663325859942233,0.2005793983121124,-0.3038703648246203,-0.3973304016421498,-0.0369046159048976,86.62662781033278,310,27.926788303207672,0.0,38.88888888888889,61.111111111111114,0.0,0.0,3,3,234,950,38.92857142857143,2
Guarded A5/B25 SMA20 Lead (max 1x),0.11710294797692633,0.18559114071222788,0.5980889697520201,-0.3850883666840305,0.3040937044795504,290.876936237633,282,66.59230825816543,0.0,32.10317460317461,67.8968253968254,0.0,0.0,6,2,228,730,32.142857142857146,3
Guarded A5/B25 SMA20 Lead (max 1x),-0.010616304782440467,0.17929164857551746,-0.3035740885303105,-0.3932827230613583,-0.0269940787121334,90.12204403089615,332,31.16662344749798,0.0,38.611111111111114,61.38888888888889,0.0,0.0,3,2,260,937,38.65079365079365,4
Guarded A5/B25 SMA20 Lead (max 1x),0.09961741563924331,0.19400921578933186,0.46651247908197324,-0.36247907435974513,0.27482252821131753,249.79579803321417,288,55.56534409506598,0.0,31.11111111111111,68.88888888888889,0.0,0.0,8,4,214,692,31.11111111111111,5
Guarded A5/B25 SMA20 Lead (max 1x),0.003850159119622276,0.16491851545924563,-0.22292593272419176,-0.4206346919033213,0.009153213450371319,103.67447379071947,301,33.50529861582591,0.0,35.833333333333336,64.16666666666667,0.0,0.0,2,2,242,879,35.833333333333336,6
Guarded A5/B25 SMA20 Lead (max 1x),0.08690231849404784,0.20360851804230642,0.216238799784703,-0.5294655721618556,0.16413214203752255,223.27361313600247,290,30.998037125343043,0.0,34.20634920634921,65.7936507936508,0.0,0.0,5,1,211,773,34.24603174603175,7
Guarded A5/B25 SMA20 Lead (max 1x),0.09127403364156561,0.16836158134026658,0.49330589967939514,-0.2816708840576623,0.3240449716587691,232.09293330817127,288,60.89032348921162,0.0,33.53174603174603,66.46825396825396,0.0,0.0,6,1,256,797,33.57142857142857,8
Guarded A5/B25 SMA20 Lead (max 1x),0.09235368140156908,0.16828816045000305,0.38231470232541526,-0.28893082105378903,0.31963942463713824,234.31848816274982,284,48.949122571501604,0.0,33.96825396825397,66.03174603174602,0.0,0.0,6,3,238,807,34.007936507936506,9
