strategy,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,rebalances,pct_days_3x,avg_leverage,borrowing,trading
SMA20 @ 3x / cash (baseline),0.4852062485712254,142198.32731878525,-0.43885569830026244,-0.1126842387425812,0.13778679466829358,732.0,0.32945421261829,0.23991918080459088,3.7586118900357235,5.16128188090982,1.105616835899554,0.7601696038160859,2.405754673970273,1.238290520769462,0.21220994752996766,-0.15810903942915186,0.5043912720299137,-0.15456606466085765,0.8240875215654155,0.32072521573290097,3.717641139134076,0.2793972784614859,1.2808582629442424,9.434275141213547,14077733.40455974,0.0,0.0,0.0,868,62.90408055113937,1.8871224165341813,1691081.3912958603,20186582.6912887
+ Close > SMA200,0.2680397181821932,1239.4011635519382,-0.6174011391204578,-0.1660273174478035,0.2118655246981073,1228.0,0.24557209132119767,0.18281158620943672,3.7173777297156634,4.993579686307641,0.43414192361879883,0.80535312044521,2.5099910898612667,0.9128842233171212,0.14243811404838344,-0.10543308670169749,0.2887619839066755,-0.1644983899971073,0.45219916931409365,0.1777845153414469,2.80205928875085,0.2545601094101624,1.2587248566967366,6.63415373838368,122799.71519164188,0.0,0.0,0.0,728,51.45733969263381,1.5437201907790143,15867.526723599134,231658.37887764612
+ RSI(14) > 50,0.46591847115392815,96074.43044933637,-0.4952117145864713,-0.11986783752304583,0.15182697840854445,988.0,0.31137461267329625,0.22373490516299235,3.916266046835467,5.450315508751817,0.940847030533184,0.7734199019477939,2.5488307130974808,1.2194258234589743,0.21220994752996766,-0.1284263769260589,0.2887619839066753,-0.1656343445233518,0.7409635064649036,0.31802830214937355,3.7415619794803066,0.2725690834076959,1.3954371193521606,9.160917006656824,9511467.6144843,0.0,0.0,0.0,868,60.30736618971913,1.809220985691574,1146100.0208885432,14748689.009086546
+ RSI(14) > 55,0.2976573234225839,2478.3391528548254,-0.6102273571379229,-0.18920038775789913,0.2443108246234349,1382.0,0.26013600308428275,0.1803118807658083,4.176363511271491,6.025240858422788,0.4877810211896281,0.8171458857824301,3.025203831352022,1.0864225112492063,0.21220994752996766,-0.10543308670169749,0.3065112454637535,-0.17384089591633844,0.5223421279313437,0.19340216793386472,3.4632929529626533,0.25606577875303016,2.0132701066776275,12.706805904097994,245454.5761326277,0.0,0.0,0.0,872,50.808161102278746,1.5242448330683624,33138.66432890091,521270.83916840533
+ MACD line > signal,0.12904827117968032,37.1205207055057,-0.6752100398283285,-0.21227055555548677,0.2601568784901764,1537.0,0.2884131296159299,0.25445737447521616,2.8556749777637727,3.236747055184953,0.1911231521564619,0.8195309394461375,2.1991152661014643,0.8236141575027506,0.21220994752996766,-0.15810903942915186,0.5043912720299137,-0.19656898259441102,0.6181704227323775,0.005666583021144103,2.32447487563524,0.2684573878791755,1.6539670178065755,15.654072256698111,3773.9315498450637,0.0,0.0,0.0,744,46.184419713831474,1.3855325914149443,967.3791249621448,24547.738718658304
+ MACD hist > 0,0.12904827117968032,37.1205207055057,-0.6752100398283285,-0.21227055555548677,0.2601568784901764,1537.0,0.2884131296159299,0.25445737447521616,2.8556749777637727,3.236747055184953,0.1911231521564619,0.8195309394461375,2.1991152661014643,0.8236141575027506,0.21220994752996766,-0.15810903942915186,0.5043912720299137,-0.19656898259441102,0.6181704227323775,0.005666583021144103,2.32447487563524,0.2684573878791755,1.6539670178065755,15.654072256698111,3773.9315498450637,0.0,0.0,0.0,744,46.184419713831474,1.3855325914149443,967.3791249621448,24547.738718658304
+ Close > BB middle (20),0.4852062485712254,142198.32731878525,-0.43885569830026244,-0.1126842387425812,0.13778679466829358,732.0,0.32945421261829,0.23991918080459088,3.7586118900357235,5.16128188090982,1.105616835899554,0.7601696038160859,2.405754673970273,1.238290520769462,0.21220994752996766,-0.15810903942915186,0.5043912720299137,-0.15456606466085765,0.8240875215654155,0.32072521573290097,3.717641139134076,0.2793972784614859,1.2808582629442424,9.434275141213547,14077733.40455974,0.0,0.0,0.0,868,62.90408055113937,1.8871224165341813,1691081.3912958603,20186582.6912887
+ SPX DD > -8% from peak,0.23640803155046797,580.40135249355,-0.4913766973296083,-0.12270772423202572,0.13645443661354123,1042.0,0.21282488243238204,0.18428948922052094,3.2151165293884496,3.7129453245959287,0.4811136401771387,0.8530541937193586,2.5384457812877272,0.684256797373505,0.14243811404838344,-0.10543308670169749,0.2887619839066755,-0.13419392987635548,0.32885187246089503,0.17077192589698448,1.956120761856376,0.24776849294039013,1.6362766657604884,10.58009559818403,57558.73389686145,0.0,0.0,0.0,536,38.208797032326444,1.1462639109697934,7180.82632157832,111245.39499374782
+ SPX DD > -5% from peak,0.18561303779421423,164.19059840361237,-0.5921147124196411,-0.1741380717062181,0.19731302241601026,1449.0,0.19498856967048464,0.17906633010592635,3.1075955118411662,3.3839170301300117,0.3134747944966909,0.8700145753279449,2.6022908467166723,0.6059456039683266,0.14243811404838344,-0.10543308670169749,0.28876198390667507,-0.13729533257739068,0.270130965101451,0.13169713811271044,1.6639675792691797,0.24420782281578818,1.7914962214434744,12.661599943374423,16353.869241957625,0.0,0.0,0.0,504,33.9825119236884,1.019475357710652,2133.728799401958,41932.18761306231
Tier: 3x if >SMA200 else 2x if >SMA20,0.418285693042705,35667.79185493733,-0.49480715212608645,-0.1202437567102903,0.15334690217688332,997.0,0.285011591224538,0.19692053636749277,3.9649288820639854,5.738612694311813,0.8453509437877279,0.7601696038160859,2.4334718708958496,1.130050689769185,0.14243811404838344,-0.10543308670169749,0.32703903769416676,-0.15456606466085854,0.7001414409415818,0.27854326966487114,3.7245103234226415,0.24982048773466575,1.0422838802686873,5.445464791335479,3531210.3936387952,0.0,0.0,0.0,941,51.45733969263381,1.7726550079491257,425242.46575563407,5343595.433928639
