strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,sortino,end_value,rebalances,trading_costs_total,funding_costs_total,turnover_notional,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,win_rate,profit_factor
Buy & Hold SPY 1x,0.13006240201564068,0.1930817347304247,0.6058027900516049,-0.52462281752175,0.24791602208618863,0.7785929188433045,3912.192216619854,2,0.19990000000000002,0.0,199.9,0.013246787653993907,99.986753212346,0.0,0.0,0.5456964214447253,1.1206589549885853
Buy & Hold 60/40 SPY/T-bills,0.1300697151360386,0.1930817347304247,0.6058027900516049,-0.5246296089849177,0.24792675233810127,0.7785929188433045,3912.951708313256,2,0.15994,0.0,159.94,0.013246787653993907,99.986753212346,0.0,0.0,0.5456964214447253,1.1206589549885853
SMA10 1x/Cash,0.04983339453424862,0.11728613407117451,0.370098314016113,-0.40703359579751996,0.12243066677729075,0.36215022926660867,429.6256973288777,1346,261.29902212881456,0.0,261299.0221288138,39.66088223605776,60.33911776394224,0.0,0.0,0.7202444208289054,1.0907317125580533
SMA20 1x/Cash,0.06814663215771732,0.11371621102326515,0.510335711466173,-0.3455715136622114,0.19719979646334265,0.5261061986729738,721.7290277134337,868,235.68070336668225,0.0,235680.7033666823,36.945290766989004,63.054709233010996,0.0,0.0,0.7103374966781824,1.1218948779035405
SMA50 1x/Cash,0.07860434514689385,0.11080424454657539,0.5635588628269114,-0.29774850093050725,0.2639957712675089,0.5929014717610893,966.7084079065879,524,177.11725269724863,0.0,177117.25269724862,33.911776394224404,66.0882236057756,0.0,0.0,0.6983388704318937,1.1276432940495114
SMA100 1x/Cash,0.08817352966911929,0.11536034156240643,0.578607354175715,-0.37571908907533985,0.23467939807401847,0.6186663056516708,1259.9679427914466,348,128.8163666243944,0.0,128816.36662439448,30.467611604185986,69.53238839581401,0.0,0.0,0.6851482515622922,1.1281015774546435
SMA200 1x/Cash,0.10286704410235958,0.11872965120361814,0.706804556407174,-0.19678183608211142,0.5227466424260627,0.7698096751043916,1884.0205462118745,206,106.40344943580665,0.0,106403.44943580663,28.228904490661016,71.77109550933899,0.0,0.0,0.6782342773567345,1.1563046522166216
EMA10 1x/Cash,0.04386210751187858,0.1159014505915291,0.3580782325195026,-0.39045633328516094,0.11233550021544889,0.35548347084635584,362.061970616076,1404,271.72313984662543,0.0,271723.13984662556,38.37594383362035,61.62405616637965,0.0,0.0,0.7148551687483391,1.0858926661771793
EMA20 1x/Cash,0.0667010302454818,0.11303203418948518,0.5500293417686345,-0.4429967134901462,0.1505677767222656,0.5763686216031574,692.9976459632556,952,273.705645013088,0.0,273705.64501308807,35.51463770035766,64.48536229964233,0.0,0.0,0.70414673046252,1.1292596177838434
EMA50 1x/Cash,0.08140113414814554,0.11190165027326447,0.6143308735494446,-0.24895306259050515,0.32697382109349515,0.6682493371797142,1044.7936718633412,594,219.1850579455855,0.0,219185.05794558546,31.699562856007418,68.30043714399258,0.0,0.0,0.6879404334529983,1.137046269640763
