Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
A conv SMA20 +1/-1% 1x,A,1,6.358048478077416,9.926380369808001,0.25922039795825,0.2706172106704105,0.13612325634223169,-46.708025130492395,11145.145852603744,11.15257195017182,853,38.41916541079873,1.0,conv,20,0.01,0.01,0.0,0.0,,0,,Neither
A conv SMA20 +1/-1% 2x,A,2,6.26540700172562,19.71579413974494,0.2697584616178357,0.2822787043568197,0.07679443522885024,-81.58673194293932,10426.538508876796,11.15257195017182,853,38.41916541079873,2.0,conv,20,0.01,0.01,0.0,0.0,,0,,Neither
A conv SMA20 +1/-1% 3x,A,3,5.068431350417413,29.70531031168243,0.25971941622259787,0.2711146491180887,0.05309630294994481,-95.45733071463654,4383.911799161222,11.15257195017182,853,38.41916541079873,3.0,conv,20,0.01,0.01,0.0,0.0,,0,,Neither
A conv SMA20 +1/-1% SL0.5% 1x,A,1,6.842703662624783,7.79726502569796,0.34836655341197503,0.28890834253621217,0.21035272057224227,-32.52966562072472,15779.938640988534,11.15257195017182,853,60.110169931923295,1.0,conv,20,0.01,0.01,0.005,0.0,,0,,Neither
A conv SMA20 +1/-1% SL0.5% 2x,A,2,7.426774691572846,15.48675839155051,0.3573008785906229,0.29726673487728233,0.10723814780860974,-69.2549698343128,23943.929230095266,11.15257195017182,853,60.110169931923295,2.0,conv,20,0.01,0.01,0.005,0.0,,0,,Neither
A conv SMA20 +1/-1% SL0.5% 3x,A,3,7.243933019995352,23.337088515113173,0.3506142054247165,0.29090663372624315,0.08170084995799747,-88.66410843607466,21018.987422843576,11.15257195017182,853,60.110169931923295,3.0,conv,20,0.01,0.01,0.005,0.0,,0,,Neither
A conv SMA20 +1/-1% SL1.0% 1x,A,1,6.569825043605526,8.468913039237776,0.3032095221048673,0.27999043414626723,0.16356234020638077,-40.167101028976525,12976.579989152284,11.15257195017182,853,51.40570597100245,1.0,conv,20,0.01,0.01,0.01,0.0,,0,,Neither
A conv SMA20 +1/-1% SL1.0% 2x,A,2,6.837829469579071,16.828914582959843,0.31327696588092935,0.2899262525339387,0.0901561920442141,-75.8442577768334,15724.97321566611,11.15257195017182,853,51.40570597100245,2.0,conv,20,0.01,0.01,0.01,0.0,,0,,Neither
A conv SMA20 +1/-1% SL1.0% 3x,A,3,6.1754160623658905,25.350660396393625,0.30434388083718045,0.2809697044101547,0.06648603509083197,-92.88290471719594,9772.339100683499,11.15257195017182,853,51.40570597100245,3.0,conv,20,0.01,0.01,0.01,0.0,,0,,Neither
A conv SMA20 +1/-1% SL1.5% 1x,A,1,6.910253635491337,9.210033147035524,0.33417642100366185,0.33030562552787723,0.1543539266609677,-44.7688878733188,16561.497697700695,11.15257195017182,853,44.291430650106534,1.0,conv,20,0.01,0.01,0.015,0.0,,0,,Neither
A conv SMA20 +1/-1% SL1.5% 2x,A,2,7.500299205723282,18.299156347321873,0.3458625999320576,0.3426367246307796,0.09409442836088315,-79.71034349618623,25230.261559611667,11.15257195017182,853,44.291430650106534,2.0,conv,20,0.01,0.01,0.015,0.0,,0,,Neither
A conv SMA20 +1/-1% SL1.5% 3x,A,3,7.001620767609684,27.559650342842733,0.33672698442572674,0.3328750558994132,0.07389603150349866,-94.74961814800822,17679.70859695593,11.15257195017182,853,44.291430650106534,3.0,conv,20,0.01,0.01,0.015,0.0,,0,,Neither
A conv SMA20 +1/-1% SL2.0% 1x,A,1,6.733787892700804,9.55538983629303,0.30346470745288406,0.3100921685649243,0.16388558302279455,-41.08834815423767,14595.759348218966,11.15257195017182,853,40.90838226887699,1.0,conv,20,0.01,0.01,0.02,0.0,,0,,Neither
A conv SMA20 +1/-1% SL2.0% 2x,A,2,7.060496101369851,18.984837293567477,0.31471643211460276,0.32240049402814763,0.08937423736978968,-78.99923187211937,18439.405952649526,11.15257195017182,853,40.90838226887699,2.0,conv,20,0.01,0.01,0.02,0.0,,0,,Neither
A conv SMA20 +1/-1% SL2.0% 3x,A,3,6.221880140558311,28.596352033637828,0.30444151212506887,0.31099888632756284,0.06569195164385984,-94.71297449479664,10104.8896402225,11.15257195017182,853,40.90838226887699,3.0,conv,20,0.01,0.01,0.02,0.0,,0,,Neither
A conv SMA20 +2/-2% 1x,A,1,6.3824142702745945,9.989756280084315,0.18194751634138734,0.19080867372162827,0.2023240766878956,-31.545500539315864,11342.129495488172,6.6810835481099655,511,38.34641168217014,1.0,conv,20,0.02,0.02,0.0,0.0,,0,,Neither
A conv SMA20 +2/-2% 2x,A,2,6.1759513562490875,19.856124536666535,0.1887926355107152,0.19810828116686768,0.0989644308821866,-62.405768428066075,9776.10807758597,6.6810835481099655,511,38.34641168217014,2.0,conv,20,0.02,0.02,0.0,0.0,,0,,Neither
A conv SMA20 +2/-2% 3x,A,3,5.161037378392352,29.89430293565542,0.18105840093091882,0.18984926808673977,0.05732071238195025,-90.03791411387822,4689.492317217635,6.6810835481099655,511,38.34641168217014,3.0,conv,20,0.02,0.02,0.0,0.0,,0,,Neither
A conv SMA20 +2/-2% SL0.5% 1x,A,1,6.919651838000407,7.294438312426496,0.2963026806259357,0.22432432900915814,0.33566810296678745,-20.6145647347525,16673.22021526636,6.6810835481099655,511,66.74115262692926,1.0,conv,20,0.02,0.02,0.005,0.0,,0,,Neither
A conv SMA20 +2/-2% SL0.5% 2x,A,2,7.60247796430662,14.495696160222279,0.30486971480575376,0.23119967865958113,0.15749890574067416,-48.270036725361685,27131.841936114455,6.6810835481099655,511,66.74115262692926,2.0,conv,20,0.02,0.02,0.005,0.0,,0,,Neither
A conv SMA20 +2/-2% SL0.5% 3x,A,3,7.6230944611311635,21.831797092406973,0.2996002060210897,0.22675334083981669,0.10592769446494675,-71.96507485258043,27532.330394766,6.6810835481099655,511,66.74115262692926,3.0,conv,20,0.02,0.02,0.005,0.0,,0,,Neither
