Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
A early SMA100 +3/-1% SL1.5% 2x,A,2,10.26990760857438,12.962730802318697,0.571786223989405,0.4402998050765809,0.2014886207134007,-50.97016184939989,176552.12571443216,9.335212628865978,714,72.53546744270643,2.0,early,100,0.03,0.01,0.015,0.0,,0,,Water
A early SMA100 +3/-1% SL2.0% 2x,A,2,10.229326225308943,12.966724547874012,0.5687979272553896,0.4379978402803714,0.19546558507430617,-52.33313179616898,171650.9788162456,9.335212628865978,714,72.5302707478044,2.0,early,100,0.03,0.01,0.02,0.0,,0,,Water
A' early SMA100 +3/-1% TS8% 2x,A-trail,2,10.190927156868002,12.97054869231548,0.5659727240028374,0.43583155143060964,0.19017041785446018,-53.588393357095356,167137.14392184178,9.335212628865978,714,72.5198773580003,2.0,early,100,0.03,0.01,0.0,0.08,,0,,Water
A early SMA100 +3/-1% 2x,A,2,10.190927156868002,12.97054869231548,0.5659727240028374,0.43583155143060964,0.19017041785446018,-53.588393357095356,167137.14392184178,9.335212628865978,714,72.5198773580003,2.0,early,100,0.03,0.01,0.0,0.0,,0,,Water
A' early SMA100 +3/-1% TS5% 2x,A-trail,2,9.754297308178451,12.48120535285852,0.5509316650624305,0.41093608107363183,0.1808138877264141,-53.94661566559248,123364.5269973293,9.335212628865978,714,73.77228082939251,2.0,early,100,0.03,0.01,0.0,0.05,,0,,Water
B-accel conv SMA200 e3% N10 s2% 1x,B-accel,1,10.014975805182647,10.386763382041902,0.5012737036881684,0.5580373263252134,0.5554287065870868,-18.031073450850492,147907.5671173524,2.588756443298969,198,31.1178090734293,1.0,conv,200,0.03,0.03,0.0,0.0,accel,10,0.02,Water
B-accel conv SMA200 e2% N10 s2% 1x,B-accel,1,9.963747076211149,10.535474234213478,0.494222820492655,0.5540655076839214,0.3880778181473201,-25.674611148294908,142731.32344950704,2.8763960481099655,220,29.392506365951256,1.0,conv,200,0.02,0.03,0.0,0.0,accel,10,0.02,Water
B-accel conv SMA200 e3% N20 s2% 1x,B-accel,1,10.015062349210279,10.443700165176892,0.4890824547176805,0.5473239906758867,0.4952552194045935,-20.22202282138612,147916.4665553263,1.4904961340206184,114,30.463025515771967,1.0,conv,200,0.03,0.03,0.0,0.0,accel,20,0.02,Water
C-MACD SMA200 exit+3% SL0.5% 2x,C-macd,2,9.99532414597648,15.613662599056678,0.4877360852943864,0.41991774136847587,0.19223429363514535,-51.99553085438174,145900.38398944362,9.910491838487973,758,57.813230785220604,2.0,macd,200,0.03,0.03,0.005,0.0,macd,9,0,Water
A conv SMA200 +5/-3% 1x,A,1,9.773486686687892,10.282330293787387,0.46685805146655934,0.5126610319054916,0.5301281429533657,-18.436083457556876,125025.15553199509,0.9152169243986253,70,32.863898560515516,1.0,conv,200,0.05,0.03,0.0,0.0,,0,,Water
