strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,avg_leverage
Buy & Hold SPY 1x,0.1300624028207089,0.1930817158373608,0.605802846740551,0.7785931642204074,-0.5246226922613433,3912.192300221019,2,0.013246787653993907,1.0
Buy & Hold SSO 2x,0.15249610417915616,0.376916094770196,0.48776196756789475,0.6281535008661202,-0.8516381571734251,7054.98880361859,2,0.013246787653993907,2.0
Buy & Hold UPRO 3x,0.15489494183046482,0.5715515929574121,0.4509500915261356,0.5777892320854876,-0.9752498427638434,7509.015789476436,2,0.013246787653993907,3.0
SMA200 ±3% Band 2x,0.16634585842347271,0.23496873227715132,0.7009350489131986,0.774488238669753,-0.3842820033278717,10095.122428713501,32,28.785269572128758,2.0
SMA200 ±3% Band 3x,0.2010463632838877,0.35241886314594156,0.6565490439772639,0.7261546747034304,-0.531881069938438,24323.828364301673,32,28.785269572128758,3.0
SMA200 ±3% Band + RSI>30 Exit 2x,0.1717178809123201,0.2386250368287885,0.7134149368297906,0.7849256422279587,-0.3843449294968305,11587.09511736858,32,28.613061332626838,2.0
SMA200 ±3% Band + RSI>30 Exit 3x,0.20847212280832483,0.35795080229324416,0.669469502560753,0.7373260154177025,-0.5319080637988716,29263.539614819816,32,28.613061332626838,3.0
RSI Leverage Scale 1-3x,0.12624273392891538,0.3506107308170232,0.549546480566796,0.6439838476364349,-0.7741526671795704,3534.3821905973496,1311,7.100278182540734,1.3936974190788536
RSI Leverage Scale 1-3x (aggressive),0.10198978618794086,0.2790579510099568,0.5483948536452596,0.5589968693509507,-0.5851901623114331,1839.5828514453642,1377,34.48138826334614,1.1866154468257177
RSI Leverage Scale 1-2x,0.09437055244239456,0.1864581364301614,0.5829907355965791,0.478596011304349,-0.47398740171250453,1493.9518559130802,975,65.26692277122798,1.0530129672006103
RSI Leverage Scale 1-3x + SMA200 Filter,0.10097919913407716,0.176610816382181,0.7150092346742204,0.6837676501578769,-0.3800878586833483,1789.6467978084436,1157,34.65359650284806,1.2643421852827894
DD Scale 1-3x,0.12789713633621225,0.4357524826702058,0.41750908454817776,0.4912038944012113,-0.9171489474389193,3693.4791303213037,200,0.013246787653993907,1.6624271330153684
DD Scale 1-3x (aggressive),0.12355956368546339,0.47511848552749825,0.42060678847954924,0.498891263461629,-0.9450363037464267,3290.3396037477905,324,0.013246787653993907,1.8844727080021197
DD Scale 1-3x + SMA200 Filter,0.10748602646776062,0.19020070886611004,0.5611240369196581,0.574895835302994,-0.4369441457893604,2135.6548167033748,256,28.24215127831501,1.4513568395791028
DD Scale 1-3x + RSI>30 Exit,0.12789713633621225,0.4357524826702058,0.41750908454817776,0.4912038944012113,-0.9171489474389193,3693.4791303213037,200,0.013246787653993907,1.6624271330153684
DD Scale 1-2x,0.12620004518565375,0.3263755774403426,0.44596438758325857,0.539026407825511,-0.7917475334549312,3530.3659655571996,118,0.013246787653993907,1.4198463169051405
"BB Leverage Scale 1-3x (20,2)",0.13700280777978247,0.28003604727706954,0.6502129667400186,0.787310188073965,-0.5644200374616706,4700.917212134661,811,4.305205987548019,1.1016057585825028
"BB Leverage Scale 1-3x (20,2) + SMA200 Filter",0.09738169089583448,0.14920618449599543,0.7179565245749128,0.7101439349856986,-0.31648686257360104,1622.2995513454282,731,31.779043581931383,1.0679611650485437
"BB Leverage Scale 1-2x (20,2)",0.12719428524985243,0.22731756573117914,0.6398858720358728,0.7914813960639938,-0.5411791630088058,3625.0607526590866,811,4.305205987548019,1.0508028792912514
"BB Leverage Scale 1-3x (20,1.5)",0.10451429422220349,0.3337516137771546,0.6086196635190353,0.6565818150655144,-0.6679846616755886,1970.2821142709752,1645,18.903165982249305,1.2799738647500816
VIX Leverage Scale 1-3x,0.11688951742435805,0.44613438874945527,0.4432782528293212,0.504659360049948,-0.916543370690674,2752.1669010548126,621,0.013246787653993907,1.514175940646529
VIX Leverage Scale 1-3x + SMA200 Filter,0.10912576669555163,0.19692466987234708,0.6103264700719896,0.5975869107437428,-0.38749295949637513,2232.5675307588194,581,28.24215127831501,1.289828318257338
VIX Leverage Scale 1-2x,0.12800045475957544,0.3130823369257346,0.4990972492047094,0.5827295261525562,-0.762521878713052,3703.6412100960133,324,0.013246787653993907,1.199655537890832
VIX Leverage Scale 1-3x (extreme),0.10197939985168292,0.39413528924511215,0.43715701561843,0.43159434300257693,-0.8805741237619185,1839.0628475244991,755,28.00370910054312,1.3414903403863845
SMA200 Distance Scale 1-3x,0.0819850260301036,0.3728522419145134,0.33905791341950287,0.2836333463162426,-0.8727822598597653,1061.8482679245853,575,49.900649092595046,1.3966155473294553
SMA200 Distance Scale 1-3x (tighter),0.06971173760947846,0.4263551214227533,0.2853295104316241,0.24208124826101204,-0.9461988366555188,754.1333246362032,674,49.900649092595046,1.787414066631412
SMA50 Distance Scale 1-3x,0.13532937291372904,0.33293550755365886,0.5359555304614138,0.5832118476225143,-0.7768640268886609,4497.750217751147,553,10.17353291826732,1.1002801946615544
SMA200 ±3% Band + RSI Leverage Scale 1-3x,0.14026351853121466,0.1879215602794928,0.809869306740748,0.8267304645320617,-0.2711682658316187,5122.574387438603,707,28.785269572128758,1.2808779761904763
SMA200 ±3% Band + DD Leverage Scale 1-3x,0.14885715455385218,0.19067491202081788,0.7447868905927865,0.7797846208895992,-0.3435114192375385,6416.511608985969,95,28.785269572128758,1.4462425595238095
SMA200 ±3% Band + BB Leverage Scale 1-3x,0.12307814305501852,0.15801128676211298,0.7942825281553868,0.790229753806962,-0.2677448985541771,3248.3118993174644,289,28.785269572128758,1.0807291666666667
SMA200 ±3% Band + VIX Leverage Scale 1-3x,0.14667789668403408,0.2000738482353996,0.7677540486515563,0.7719127287931431,-0.30264790771228506,6061.283674303547,428,28.785269572128758,1.2970610119047619
SMA200 ±3% Band + SMA Distance Scale 1-3x,0.12314300581974225,0.11997789975828597,0.8470760549249805,0.9337812222275362,-0.19406349951424856,3253.9439777035586,32,28.785269572128758,1.0
SMA200 ±3% Band + RSI>30 Exit + RSI Leverage Scale 1-3x,0.14689244423575998,0.19317558709088012,0.8234879996772461,0.8394839948470855,-0.29167895515806924,6095.394094137636,707,28.613061332626838,1.2827982928187047
SMA200 ±3% Band + RSI>30 Exit + DD Leverage Scale 1-3x,0.1529840061032799,0.19398341587900428,0.7546650416942456,0.7859334183114594,-0.3435114192375388,7145.129119143096,95,28.613061332626838,1.4466505845240305
SMA200 ±3% Band + RSI>30 Exit + BB Leverage Scale 1-3x,0.1255977558239263,0.16878090670670134,0.7673273468217306,0.7432236130914773,-0.37571276324549147,3474.169675921703,289,28.613061332626838,1.0838745592874375
SMA200 ±3% Band + RSI>30 Exit + VIX Leverage Scale 1-3x,0.15364026791021557,0.20415689445656632,0.7861220269969473,0.7913936151681813,-0.31254897396740405,7268.131574552535,428,28.613061332626838,1.2980144739283725
