strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,leverage
Buy & Hold SPY 1x,0.13006241401658047,0.19308171360532822,0.6058029343048326,0.7785934758165383,-0.5246228900117339,3912.193462840334,2,0.013246787653993907,1.0
Buy & Hold SSO 2x,0.15249610067038044,0.3769160597096235,0.48776196907744224,0.6281533957246578,-0.8516382103046743,7054.988159339216,2,0.013246787653993907,2.0
Buy & Hold UPRO 3x,0.15489494047706054,0.5715516315726507,0.45095009830455746,0.5777891634691531,-0.9752498427638434,7509.015525521447,2,0.013246787653993907,3.0
SMA200 ±3% Band 2x (baseline),0.1663459028142118,0.2349687202862669,0.7009352346870323,0.7744882476240716,-0.38428199646225825,10095.133953652941,32,28.785269572128758,2.0
SMA200 ±3% Band 3x (baseline),0.2010463244306957,0.35241890358092526,0.656548913244915,0.7261544091470888,-0.5318810060676633,24323.804761668478,32,28.785269572128758,3.0
SMA200 ±4% Band 1x,0.11787365626313195,0.12251682204999774,0.7810203242990138,0.8355591283967088,-0.23835145156441495,2825.8454226199115,28,29.103192475824613,1.0
SMA200 ±4% Band 2x,0.15482414374606046,0.23994196283952027,0.6392247450923665,0.6864093311541606,-0.43306154063488894,7495.220274749528,28,29.103192475824613,2.0
SMA200 ±4% Band 3x,0.18232731378835432,0.36003443698823234,0.5964166952327783,0.6415918427220845,-0.5886527848157553,15184.428472570335,28,29.103192475824613,3.0
SMA200 ±2.5% Band 2x,0.1614009587801426,0.2336370063325982,0.6875436082618278,0.7530042375541066,-0.3798240400911254,8887.18104896937,38,29.487349317790436,2.0
SMA200 ±2.5% Band 3x,0.19408354987525134,0.3502925798622745,0.6443051352468124,0.7058738256733454,-0.5267235190283373,20431.045242052038,38,29.487349317790436,3.0
SMA200 ±3.5% Band 2x,0.16119416295032662,0.24059342240275447,0.663691015811892,0.7164507099768007,-0.4074191588669958,8839.837073439294,28,28.772022784474764,2.0
SMA200 ±3.5% Band 3x,0.19221656527037245,0.36103489410298545,0.6213355847005513,0.6717495689007444,-0.5612876063251856,19494.247253507998,28,28.772022784474764,3.0
SMA150 ±3% Band 2x,0.14531535693134812,0.2323214646511145,0.60713869286177,0.6673226759011306,-0.41354764418744766,5848.924503375164,46,29.73903828321632,2.0
SMA150 ±3% Band 3x,0.16982932505809778,0.3486303500907926,0.5637484039867461,0.619557895502241,-0.6412347055357505,11039.790796096306,46,29.73903828321632,3.0
SMA250 ±3% Band 2x,0.15702010997262095,0.24227374455743184,0.6406560263454434,0.6960039377388295,-0.43528786555266163,7934.737864882817,26,27.831500861041196,2.0
SMA250 ±3% Band 3x,0.1851332299707451,0.3634826521785905,0.5983285220356042,0.6511264809746522,-0.5986689400765056,16303.385865617462,26,27.831500861041196,3.0
SMA200 ±3% Band + VIX>30 2x,0.1433649696991346,0.2274495575478506,0.6213923725161019,0.6757516918124267,-0.41926222965433374,5557.4172181552185,90,30.096701549874155,2.0
SMA200 ±3% Band + VIX>30 3x,0.16674598723432132,0.3411752535185868,0.575363780915997,0.6264693425721554,-0.5746004616949397,10199.524100099503,90,30.096701549874155,3.0
SMA200 ±3% Band + VIX>35 2x,0.15519223745671695,0.23285620661679404,0.6659649258392409,0.7326376945778027,-0.3838833064603902,7567.214391653969,52,29.116439263478608,2.0
SMA200 ±3% Band + VIX>35 3x,0.1839738368380608,0.3493141117569984,0.6209107153993569,0.6837645877668174,-0.5316328154777149,15831.696490970953,52,29.116439263478608,3.0
SMA200 ±3% Band + 15% Trailing Stop 2x,0.1663459028142118,0.2349687202862669,0.7009352346870323,0.7744882476240716,-0.38428199646225825,10095.133953652941,32,28.785269572128758,2.0
SMA200 ±3% Band + 15% Trailing Stop 3x,0.2010463244306957,0.35241890358092526,0.656548913244915,0.7261544091470888,-0.5318810060676633,24323.804761668478,32,28.785269572128758,3.0
SMA200 ±3% Band + 10% Trailing Stop 2x,0.15722893749169664,0.23363144138122882,0.6609323453848945,0.7260518769617568,-0.3839797848428106,7977.808179904517,46,28.89124387336071,2.0
SMA200 ±3% Band + 10% Trailing Stop 3x,0.1872728050211514,0.35044108989666783,0.6170064262487309,0.6785089768058833,-0.5316990320416023,17209.76470207185,46,28.89124387336071,3.0
SMA200 ±3% Band + MACD Confirm 2x,0.06480279407073009,0.1350082434652516,0.4601937770829391,0.3683158140565214,-0.45178347580337824,656.9449247812115,505,64.86951914160817,2.0
SMA200 ±3% Band + MACD Confirm 3x,0.06145774063517995,0.2028379702694228,0.3905954901672698,0.3135757730863366,-0.6268374418174867,597.7786027070534,505,64.86951914160817,3.0
SMA200 ±3% Band + RSI<70 Entry 2x,0.16718132566028476,0.23479525641548726,0.7038125484526313,0.7771859060315557,-0.3843097442923152,10314.298104898562,32,28.904490661014705,2.0
SMA200 ±3% Band + RSI<70 Entry 3x,0.20233528923589383,0.35216400818600097,0.6593150218582164,0.7287429931823171,-0.5318971264693828,25119.134056918676,32,28.904490661014705,3.0
SMA200 ±3% Band + RSI>30 Exit 2x,0.17171792219198911,0.23862502712553463,0.7134151026837778,0.7849256618571592,-0.38434492245344587,11587.107362113473,32,28.613061332626838,2.0
SMA200 ±3% Band + RSI>30 Exit 3x,0.20847213397818565,0.35795085020003703,0.6694694861577218,0.7373258772819536,-0.5319080005675065,29263.5477281628,32,28.613061332626838,3.0
SMA200 ±3xATR Band 2x,0.14899404119821558,0.23932465314611842,0.6252937327052978,0.6754833196489537,-0.407419158866995,6439.484001535238,44,28.864750298052723,2.0
SMA200 ±3xATR Band 3x,0.1735039798398792,0.35895750801350856,0.5830151080731946,0.6303607426501253,-0.5612876063251857,12128.78045721462,44,28.864750298052723,3.0
