horizon,trading_days,selloff_threshold_pct,probability,observations,events,median_worst_selloff,p95_worst_selloff,p99_worst_selloff
1d,1,3,0.013780310056976282,7547,104,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,5,0.002915065588975752,7547,22,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,7,0.0009275208692195575,7547,7,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,10,0.00013250298131707962,7547,1,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,15,0.0,7547,0,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,20,0.0,7547,0,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,25,0.0,7547,0,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,30,0.0,7547,0,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,35,0.0,7547,0,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1d,1,40,0.0,7547,0,0.0006828778599343721,-0.018277979508328,-0.03348890049042311
1w,5,3,0.1189182023067745,7543,897,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,5,0.03632506960095453,7543,274,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,7,0.015113350125944584,7543,114,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,10,0.005435503115471298,7543,41,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,15,0.000928012727031685,7543,7,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,20,0.0,7543,0,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,25,0.0,7543,0,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,30,0.0,7543,0,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,35,0.0,7543,0,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1w,5,40,0.0,7543,0,-0.006230919521754363,-0.044762360252484985,-0.08173726663761324
1m,21,3,0.3531287365484257,7527,2658,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,5,0.190381294008237,7527,1433,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,7,0.10787830476949647,7527,812,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,10,0.047296399628005845,7527,356,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,15,0.014746911119968115,7527,111,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,20,0.006111332536203003,7527,46,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,25,0.0035870864886408927,7527,27,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,30,0.0005314202205393915,7527,4,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,35,0.0,7527,0,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
1m,21,40,0.0,7527,0,-0.01799539171393827,-0.09795202156684625,-0.17530989799769825
3m,63,3,0.5374749498997996,7485,4023,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,5,0.360187040748163,7485,2696,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,7,0.24876419505678024,7485,1862,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,10,0.16045424181696727,7485,1201,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,15,0.07307949231796927,7485,547,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,20,0.03219772879091516,7485,241,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,25,0.02017368069472278,7485,151,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,30,0.01229124916499666,7485,92,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,35,0.0036072144288577155,7485,27,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
3m,63,40,0.0013360053440213762,7485,10,-0.0336139530232904,-0.1775658880786057,-0.31348048501003145
6m,126,3,0.6169496092697386,7422,4579,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,5,0.4568849366747507,7422,3391,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,7,0.3430342225815144,7422,2546,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,10,0.2638102937213689,7422,1958,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,15,0.15629210455402856,7422,1160,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,20,0.07774184855834007,7422,577,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,25,0.04850444624090541,7422,360,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,30,0.02681218000538938,7422,199,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,35,0.01576394502829426,7422,117,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
6m,126,40,0.011452438695769335,7422,85,-0.0441163953589358,-0.2457976107132568,-0.4043972472563671
1y,252,3,0.6861293859649122,7296,5006,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,5,0.5533168859649122,7296,4037,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,7,0.45230263157894735,7296,3300,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,10,0.3675986842105263,7296,2682,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,15,0.24917763157894737,7296,1818,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,20,0.16652960526315788,7296,1215,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,25,0.10978618421052631,7296,801,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,30,0.06469298245614036,7296,472,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,35,0.03453947368421053,7296,252,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
1y,252,40,0.033717105263157895,7296,246,-0.06102048364689627,-0.3202564112870264,-0.49069237278749855
