strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,simulation
Guarded A5/B25 SMA20 Lead,0.3955880118885904,0.3014462797771033,3.1847301824079843,-0.37059692486927026,1.0674346853475265,2469.8821147410013,230,6228.9231739335155,0.0,32.53968253968254,0.873015873015873,26.50793650793651,40.07936507936508,4,3,230,0
Guarded A5/B25 SMA20 Lead,0.46133143382886765,0.31559323902478115,3.198170420685801,-0.31578867298956037,1.4608865779176277,3851.3468679516272,299,4942.159314807755,0.0,30.198412698412696,9.007936507936508,49.88095238095238,10.912698412698413,4,1,272,1
Guarded A5/B25 SMA20 Lead,0.3684435025311541,0.2666365854541878,3.4120425790083786,-0.33634913244104636,1.0954198093427017,2043.385865987869,305,3332.3244909947066,0.0,29.96031746031746,10.119047619047619,49.56349206349206,10.357142857142858,5,2,243,2
Guarded A5/B25 SMA20 Lead,0.47416397790340725,0.2800310221206895,3.419792567492463,-0.3835954750056347,1.2361042003856855,4190.42289896677,248,6057.3517326641495,0.0,34.8015873015873,10.992063492063492,28.69047619047619,25.515873015873012,1,1,245,3
Guarded A5/B25 SMA20 Lead,0.41410603343335173,0.2551737454662218,3.4523193305915094,-0.21356077745652743,1.939054719528952,2804.9511664710017,253,3647.4769944855525,0.0,30.396825396825395,3.2539682539682544,51.3095238095238,15.03968253968254,4,1,282,4
Guarded A5/B25 SMA20 Lead,0.3519216687760507,0.20773758315015378,3.4720203002391408,-0.24511019895881853,1.4357691775819488,1817.3494846620533,266,3617.8749651955327,0.0,25.793650793650798,24.960317460317462,49.24603174603175,0.0,3,0,250,5
Guarded A5/B25 SMA20 Lead,0.5388465378928153,0.26724694562214707,3.126063817511981,-0.1724349701685684,3.1249260945506094,6342.243711149815,212,9036.117327534794,0.0,26.904761904761905,6.507936507936509,66.58730158730158,0.0,6,0,218,6
Guarded A5/B25 SMA20 Lead,0.38460458113956975,0.27202804534430375,3.2024761094415433,-0.2844898285273425,1.3519097787448846,2288.544742497398,273,2881.2914287724943,0.0,28.809523809523807,16.626984126984127,33.05555555555556,21.50793650793651,3,1,279,7
Guarded A5/B25 SMA20 Lead,0.36650019531903544,0.24995812840202877,3.547211565800811,-0.49721416321078366,0.7371073119726584,2015.5523751784208,291,4404.252046348987,0.0,29.444444444444446,7.380952380952381,58.65079365079365,4.523809523809524,4,1,269,8
Guarded A5/B25 SMA20 Lead,0.2579904561104285,0.3328188745982148,2.963522880497474,-0.3835346606091809,0.672665296275058,907.0133737127512,258,2878.577614579049,0.0,33.57142857142857,0.3968253968253968,6.309523809523809,59.72222222222222,1,1,270,9
Guarded A5/B25 SMA20 Lead,0.3374274990451198,0.22423193879048142,3.473793073667317,-0.3367957546613057,1.0018757492488273,1637.7958635485038,270,2328.928820365648,0.0,27.380952380952383,10.317460317460316,62.301587301587304,0.0,4,0,298,10
Guarded A5/B25 SMA20 Lead,0.5331633101044866,0.23039937138514138,3.7332092163066295,-0.17565435192387235,3.035298039957226,6119.7673662087,261,6801.501728966947,0.0,29.28571428571429,18.88888888888889,47.3015873015873,4.523809523809524,6,1,265,11
Guarded A5/B25 SMA20 Lead,0.301044812199446,0.24366176620497793,3.2591616443821985,-0.2653713929967647,1.1344282772902963,1255.050113676949,277,2936.7138189109583,0.0,28.452380952380953,5.873015873015873,59.08730158730159,6.587301587301588,4,1,260,12
Guarded A5/B25 SMA20 Lead,0.326478180637332,0.2205069608093353,3.320115643478773,-0.2617181650317472,1.24744180671498,1512.8805519671673,259,2992.661516342718,0.0,27.380952380952383,14.682539682539684,55.00000000000001,2.9365079365079363,4,1,285,13
Guarded A5/B25 SMA20 Lead,0.4118849201325252,0.23922310261751578,3.42096281367701,-0.2752732371997387,1.4962766606826399,2762.7198935718284,268,3922.163579634632,0.0,26.031746031746035,10.476190476190476,61.58730158730159,1.9047619047619049,6,1,299,14
Guarded A5/B25 SMA20 Lead,0.24992110763233688,0.25237814772068196,3.352672398215075,-0.30109118950927405,0.8300512148484469,852.3968321572149,309,4662.454220075895,0.0,28.69047619047619,7.103174603174603,57.1031746031746,7.103174603174603,5,1,297,15
Guarded A5/B25 SMA20 Lead,0.5692165656348116,0.3200704308885673,3.0846581380265143,-0.23620359997952717,2.4098555893481226,7658.713835684612,253,8081.495210962838,0.0,29.96031746031746,6.746031746031746,50.67460317460317,12.619047619047619,5,2,270,16
