strategy,category,description,cagr_pct,ann_volatility_pct,sharpe,max_drawdown_pct,calmar,end_$,switches,switch_cost_total,trading_costs,rebalance_count,pct_days_spx,pct_days_ndx,pct_days_cash,beats_ndx_cagr,beats_ndx_sharpe,beats_ndx_calmar,beats_ndx_max_dd,beats_ndx_cagr_and_max_dd
Benchmark: Guarded Nasdaq only (3x),benchmark,Always NDX; Guarded A5/B25 full leverage,89.94,42.86,1.712,-35.51,2.533,22773955358.24,0,0.0,25317851670.96233,824,0.0,100.0,0.0,False,False,False,False,False
NDX home bias 6m (SPX must beat +8%),ndx_bias,Default NDX unless SPX 6m return exceeds Nasdaq by 8pp,77.05,38.25,1.686,-35.27,2.185,2764341378.39,12,6711728.29325112,3099112972.4778557,824,7.856385797562268,92.14361420243773,0.0,False,False,False,True,False
NDX home bias 6m (SPX must beat +3%),ndx_bias,Default NDX unless SPX 6m return exceeds Nasdaq by 3pp,67.79,36.53,1.602,-38.89,1.743,552465424.28,26,3077892.2958282907,617661618.1027193,826,18.932167461579226,81.06783253842077,0.0,False,False,False,False,False
NDX home bias 6m (SPX must beat +5%),ndx_bias,Default NDX unless SPX 6m return exceeds Nasdaq by 5pp,69.79,37.52,1.6,-44.56,1.566,787647607.89,22,6400926.485182954,957105627.8407687,824,12.572866984631691,87.42713301536831,0.0,False,False,False,False,False
NDX home bias 12m (SPX must beat +3%),ndx_bias,Default NDX unless SPX 12m return exceeds Nasdaq by 3pp; 10d hysteresis,67.52,36.52,1.597,-49.19,1.373,526173734.49,20,3801121.611641525,608325421.8502007,824,18.826179120296768,81.17382087970323,0.0,False,False,False,False,False
NDX home bias 6m + vol filter VIX<28,ndx_bias,NDX home 6m +3pp hurdle; ignore SPX switch when VIX above 28,64.57,38.47,1.49,-40.26,1.604,308727917.0,88,12159096.665341042,363926058.105441,838,15.116587175410706,84.8834128245893,0.0,False,False,False,False,False
NDX home bias 6m (SPX must beat +0%),ndx_bias,Default NDX unless SPX 6m return exceeds Nasdaq by 0pp,58.67,35.25,1.487,-55.92,1.049,103269376.61,44,7308614.638480158,123189117.61699584,836,31.160572337042925,68.83942766295708,0.0,False,False,False,False,False
RS > SMA200 + hysteresis 10d,relative_strength,RS pick; switch after 10 consecutive days,58.51,35.44,1.479,-56.41,1.037,100246571.66,43,5526750.277268038,102212207.52380021,816,33.47906730259671,66.52093269740328,0.0,False,False,False,False,False
RS > SMA100 + hysteresis 10d,relative_strength,RS pick; switch after 10 consecutive days,57.87,35.42,1.468,-28.04,2.064,88793324.58,63,6247619.660429158,109577151.18834725,817,35.2543720190779,64.7456279809221,0.0,False,False,False,True,False
RS > SMA200 + hysteresis 5d,relative_strength,RS pick; switch after 5 consecutive days,53.71,35.45,1.392,-51.68,1.039,39806177.26,67,2746300.373346762,47160947.27454138,834,33.50556438791733,66.49443561208267,0.0,False,False,False,False,False
RS > SMA100 + hysteresis 5d,relative_strength,RS pick; switch after 5 consecutive days,53.66,36.06,1.373,-30.4,1.765,39420650.46,95,4122274.8507911973,51258741.454230234,853,36.02278749337573,63.97721250662427,0.0,False,False,False,True,False
RS > SMA50 + hysteresis 10d,relative_strength,RS pick; switch after 10 consecutive days,53.0,36.76,1.342,-39.51,1.341,34699178.84,103,3424037.5692537683,41558702.45801265,848,37.32114467408585,62.67885532591415,0.0,False,False,False,False,False
RS NDX/SPX > SMA200,relative_strength,Hold stronger relative index by 200d ratio trend,52.08,36.53,1.331,-44.07,1.182,28907093.48,217,6747291.557544332,45150972.73188572,900,33.54531001589825,66.45468998410175,0.0,False,False,False,False,False
Trend SMA200 (NDX priority),trend,NDX if above SMA200 else SPX if above else cash,44.1,31.98,1.304,-53.76,0.82,5747177.33,279,815393.9900840325,7500824.069653607,716,3.8818229994700584,73.22469528351881,22.893481717011127,False,False,False,False,False
RS50 hyst10 NDX tie-break,ndx_bias,RS50 with hysteresis; near ratio ties go to NDX,53.63,38.96,1.298,-39.47,1.359,39195278.64,265,11864075.367484065,71300672.45049076,956,26.788553259141494,73.2114467408585,0.0,False,False,False,False,False
Benchmark: Guarded S&P 500 only (3x),benchmark,Always SPX; Guarded A5/B25 full leverage,37.08,27.43,1.288,-27.89,1.329,1284759.99,0,0.0,1191386.649359444,773,100.0,0.0,0.0,False,False,False,True,False
RS NDX/SPX > SMA100,relative_strength,Hold stronger relative index by 100d ratio trend,47.26,36.47,1.245,-33.95,1.392,11003714.64,305,3468586.504575741,17998131.94717703,945,36.791202967673556,63.208797032326444,0.0,False,False,False,True,False
Momentum spread 12m,momentum,Higher 12m total return; cash if both negative,39.38,31.09,1.224,-53.63,0.734,2115890.0,212,860443.0385663745,4645991.342265659,731,17.329093799682035,64.99735029146794,17.673555908850027,False,False,False,False,False
Dual momentum 12m,momentum,12m winner; cash if both negative,39.38,31.09,1.224,-53.63,0.734,2115890.0,212,860443.0385663745,4645991.342265659,731,17.329093799682035,64.99735029146794,17.673555908850027,False,False,False,False,False
RS > SMA50 + SMA20 filter,combo,RS pick only if chosen index above its SMA20 else cash,45.06,36.2,1.21,-38.64,1.166,7013677.14,1124,12010184.900358709,15106050.949755637,733,19.634340222575517,47.73449920508744,32.631160572337045,False,False,False,False,False
Dual momentum 6m + hysteresis 5d,momentum,6m winner; cash if both negative; 5d switch confirmation,36.54,30.05,1.188,-57.91,0.631,1140357.2,99,219525.32973976652,2229481.6240725336,677,18.56120826709062,60.930047694753576,20.508744038155804,False,False,False,False,False
