strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,dd_cap_days,lead_blocked_days,cap_type,default_cap,allow_3x_dd,mode,use_spx_lead,min_margin,score_lambda,trigger_a,trigger_b
Guarded A5/B25 SMA20 Lead,0.3722557755408049,0.27690514742339745,3.1324276390336383,-0.27892785779423723,1.3345951834449425,1312570.9825487193,774,1163802.3106649218,0.0,28.749337572866985,8.956014838367778,48.675145733969266,13.619501854795974,10.0,4.0,747.0,baseline,,,,,,,,,,,,
Parallel greedy tier SMA,0.41233384105119564,0.3112215755683213,3.943914399639537,-0.42050488841072897,0.9805684842561159,3112722.4470282043,1213,4549826.410651813,,34.44621091679915,3.7625861155272924,1.8680445151033387,59.92315845257021,,,,baseline,34.44621091679915,0.0,0.0,,,,,,,,,
Parallel best SMA margin,0.37602961026189097,0.2950309697170813,4.321326175839768,-0.4664818252269211,0.8060970222772785,1425276.9573880672,1548,2817987.0518755475,,34.64493905670376,7.114467408585055,3.7625861155272924,54.478007419183896,,,,baseline,34.64493905670376,0.0,0.0,,,,,,,,,
Ref flat 2x cap / 3x if DD<=-25% + greedy,0.33906051721887787,0.24166607165896078,3.7991356892258072,-0.33704333642187106,1.0059849300639545,629681.0166850168,1128,769464.4997866354,,34.44621091679915,3.7625861155272924,53.6036036036036,8.187599364069953,,,,risk_cap_sweep,34.44621091679915,3905.0,0.0,flat,2.0,0.25,greedy,False,0.0,,,
Ref flat 2x cap / 3x if DD<=-25% + best margin,0.31701008481987425,0.23141760912331516,4.036968502407323,-0.3173845065603989,0.9988202897974372,382663.53983313177,1372,570020.236893245,,34.64493905670376,7.114467408585055,50.82140964493905,7.419183889772126,,,,risk_cap_sweep,34.64493905670376,3552.0,0.0,flat,2.0,0.25,best_margin,False,0.0,,,
"flat cap 1x, 3x if DD<=-15% + greedy",0.19899644765245905,0.2254682544881349,2.9857895307509805,-0.4162797996663931,0.47803532098347057,22900.681082357474,994,45518.37487748185,,34.44621091679915,48.51616322204558,0.8744038155802861,16.163222045574987,,,,risk_cap_sweep,34.44621091679915,3378.0,0.0,flat,1.0,0.15,greedy,False,0.0,,,
"flat cap 1x, 3x if DD<=-15% + greedy min_m=0.5%",0.16213482957482528,0.21819369589875762,2.9829413112859267,-0.40160936653838003,0.4037127693816642,8975.584103375732,982,29555.171087156352,,40.62003179650239,43.41547429782724,0.543190249072602,15.421303656597773,,,,risk_cap_sweep,40.62003179650238,3168.0,0.0,flat,1.0,0.15,greedy,False,0.005,,,
"flat cap 1x, 3x if DD<=-15% + greedy + SPX lead",0.20989508283149472,0.22446835193527162,3.056831678589008,-0.4162797996663931,0.504216353999653,30041.853182031424,1005,52375.702432311766,,34.85691573926868,48.171701112877585,0.8214096449390567,16.14997350291468,,,,risk_cap_sweep,34.85691573926868,3352.0,31.0,flat,1.0,0.15,greedy,True,0.0,,,
"flat cap 1x, 3x if DD<=-15% + greedy + SPX lead min_m=0.5%",0.17359412771162885,0.21734248685174898,3.0367957834452066,-0.40160936653838003,0.4322462128010135,12047.239192301018,979,33786.61282758166,,40.85850556438791,43.21674615792263,0.50344462109168,15.421303656597773,,,,risk_cap_sweep,40.85850556438792,3153.0,18.0,flat,1.0,0.15,greedy,True,0.005,,,
"flat cap 1x, 3x if DD<=-15% + best_margin",0.21529388428206264,0.214319637989822,3.2589450208274475,-0.412856825176709,0.5214734773729696,34334.18949310316,1089,69113.53746526985,,34.64493905670376,49.40381558028617,1.3248542660307367,14.626391096979333,,,,risk_cap_sweep,34.64493905670376,3192.0,0.0,flat,1.0,0.15,best_margin,False,0.0,,,
