strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,dd_cap_days,lead_blocked_days
Parallel best SMA margin,0.3760292415154931,0.2950309953614463,4.321324853896956,-0.46648050431577565,0.8060985143785276,1425265.5006922432,1548,2817964.6048219516,,34.64493905670376,7.114467408585055,3.7625861155272924,54.478007419183896,,,,parallel_tier_sma,34.64493905670376,0.0,0.0
SMA20 1x/cash (SPX),0.16893513737102062,0.11022402364302422,3.9671847494745216,-0.16541782074330133,1.0212632267304351,10692.252275753397,868,16755.06726758115,,36.950185479597245,63.049814520402755,0.0,0.0,,,,baseline,36.950185479597245,,
Parallel greedy tier SMA,0.41233378834750667,0.3112215865165728,3.943914134054677,-0.4205044109436775,0.9805694723205526,3112718.9628078756,1213,4549821.344621067,,34.44621091679915,3.7625861155272924,1.8680445151033387,59.92315845257021,,,,parallel_tier_sma,34.44621091679915,0.0,0.0
Parallel SMA ∧ momentum,0.1599631998030837,0.2698136423635713,3.7457778289463612,-0.787635305481303,0.20309297804436846,8485.879806318866,1403,24794.442769829428,,41.34870164281929,6.319554848966613,3.72284048754637,48.608903020667725,,,,parallel_tier_sma,41.34870164281929,0.0,0.0
Parallel best margin + DD cap + SPX lead,0.2247352534905689,0.20812375251201734,3.444643488620991,-0.3792149967795329,0.5926328214841802,43305.214602548745,1196,78669.61297128326,,34.949655537890834,39.28192898781134,18.3492315845257,7.419183889772126,,,,parallel_tier_sma,34.949655537890834,3663.0,23.0
Parallel best margin + DD cap,0.21286275575226754,0.20916558800179763,3.3782430833121246,-0.3792149967795329,0.5613247301926225,32332.612758780986,1193,64472.690935787636,,34.64493905670376,39.48065712771595,18.455219925808162,7.419183889772126,,,,parallel_tier_sma,34.64493905670376,3682.0,0.0
Parallel greedy + DD cap + SPX lead,0.22334098376965206,0.21732852273556932,3.291666900555036,-0.39217239046650776,0.5694969589877995,41850.57424491625,1092,70109.24786550138,,34.85691573926868,37.51987281399046,19.435612082670907,8.187599364069953,,,,parallel_tier_sma,34.85691573926868,3918.0,31.0
Parallel greedy + DD cap (A5/B25),0.2140611961190093,0.21840857604112238,3.2197466869640863,-0.39217239046650776,0.5458344374125198,33304.78153129015,1078,60138.783094204744,,34.44621091679915,37.82458929517753,19.541600423953366,8.187599364069953,,,,parallel_tier_sma,34.44621091679915,3945.0,0.0
Guarded A5/B25 SMA20 Lead,0.3722556184276693,0.2769051702919742,3.1324269749426743,-0.27892785779423707,1.3345946201697767,1312566.47478332,774,1163798.8674408242,0.0,28.749337572866985,8.956014838367778,48.675145733969266,13.619501854795974,10.0,4.0,747.0,baseline,,,
Parallel 20d momentum,0.09427053486108883,0.2982429754027472,2.7943175045799955,-0.905815972903712,0.10407250223121177,1476.439567756732,1393,5778.113294646883,,34.07525172231055,7.631160572337042,4.2792792792792795,54.01430842607313,,,,parallel_tier_sma,34.07525172231055,0.0,0.0
Buy & hold 1x ETP,0.12977598324884965,0.1929705308599905,0.6024212949498304,-0.5242060799397973,0.24756672655104237,3886.4449513869763,0,0.0,,0.0,100.0,0.0,0.0,,,,baseline,0.0,,
Buy & hold 2x ETP,0.13589290796406317,0.36840165762417515,0.41629958174665826,-0.896404413411821,0.15159776762682228,4524.072711685969,1,1.0,,0.0,0.0,100.0,0.0,,,,baseline,0.0,,
Buy & hold 3x ETP,0.12516543087371979,0.5561442373301843,0.2937091298181085,-0.9840253623085089,0.12719736265748632,3369.047699239777,1,2.0,,0.0,0.0,0.0,100.0,,,,baseline,0.0,,
