strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,dd_cap_days,lead_blocked_days,variant,confirm_days,lambda
Guarded A5/B25 SMA20 Lead,0.3722557010576104,0.2769051591551626,3.1324273269553977,-0.2789278577942372,1.33459491641104,1312568.845534151,774,1163800.886776154,0.0,28.749337572866985,8.956014838367778,48.675145733969266,13.619501854795974,10.0,4.0,747.0,baseline,,,,,,
Parallel greedy tier SMA,0.41233408719530806,0.3112215883481071,3.943914810940192,-0.4205039447033071,0.9805712702320465,3112738.719569444,1213,4549847.431802119,,34.44621091679915,3.7625861155272924,1.8680445151033387,59.92315845257021,,,,baseline,34.44621091679915,0.0,0.0,,,
Parallel best SMA margin,0.3760297588749817,0.29503098833832875,4.3213262758140285,-0.46648041324362843,0.8060997808252945,1425281.574719294,1548,2817993.9866828714,,34.64493905670376,7.114467408585055,3.7625861155272924,54.478007419183896,,,,baseline,34.64493905670376,0.0,0.0,,,
3x tier-native lead (3x benchmark >= SMA20 - 0.75%),0.3787803571342163,0.3149257094644555,3.6978285185860593,-0.47830281133959157,0.7919258431146561,1513264.8586986999,788,2402611.332481758,,36.53948065712772,0.0,0.0,63.46051934287228,,,,baseline,36.53948065712772,,,,,
Hybrid latched DD + parallel greedy,0.21406122285386253,0.21840859947949917,3.2197464312728505,-0.3921721401171587,0.5458348540258705,33304.80353043263,1078,60138.7891815075,,34.44621091679915,37.82458929517753,19.541600423953366,8.187599364069953,,,,hybrid,34.44621091679915,3945.0,0.0,hybrid,,
Hybrid latched DD + parallel greedy + SPX lead,0.22334107238226175,0.21732854588552108,3.291666876341257,-0.3921721401171587,0.569497548488631,41850.665175855705,1092,70109.35740574812,,34.85691573926868,37.51987281399046,19.435612082670907,8.187599364069953,,,,hybrid,34.85691573926868,3918.0,31.0,hybrid,,
Hybrid latched DD + parallel best margin,0.21286299437272427,0.20916560372770002,3.378243829036897,-0.3792148534340576,0.5613255716254254,32332.80356821839,1193,64473.03645552749,,34.64493905670376,39.48065712771595,18.455219925808162,7.419183889772126,,,,hybrid,34.64493905670376,3682.0,0.0,hybrid,,
Hybrid latched DD + parallel best margin + SPX lead,0.22473552603593583,0.20812376881054137,3.444644348154602,-0.3792148534340576,0.5926337642125495,43305.503670523685,1196,78670.10395362848,,34.949655537890834,39.28192898781134,18.3492315845257,7.419183889772126,,,,hybrid,34.949655537890834,3663.0,23.0,hybrid,,
Risk cap 2x (3x if DD<=-25%) + parallel greedy,0.33906075086445475,0.24166608902323125,3.7991361544909377,-0.33704135190032847,1.0059915465943285,629684.3123333029,1128,769467.8575916071,,34.44621091679915,3.7625861155272924,53.6036036036036,8.187599364069953,,,,risk_cap,34.44621091679915,3905.0,0.0,risk_cap,,
Risk cap 2x (3x if DD<=-25%) + parallel best margin,0.3170102282576135,0.23141763350578815,4.036968552242392,-0.317382340805871,0.9988275574900838,382664.7899594571,1372,570021.6024022516,,34.64493905670376,7.114467408585055,50.82140964493905,7.419183889772126,,,,risk_cap,34.64493905670376,3552.0,0.0,risk_cap,,
Hysteresis 2d + parallel greedy,0.022763455957481193,0.3236667638037281,0.8685416781534665,-0.9412845503191687,0.024183394861588464,194.46932633310212,491,781.6415116268067,,36.089030206677265,0.9141494435612083,0.3577106518282989,62.63910969793323,,,,hysteresis,36.089030206677265,0.0,0.0,hysteresis,2.0,
Hysteresis 3d + parallel greedy,0.03524079977482275,0.3287272836010069,0.6485318569559684,-0.8909995925636819,0.03955198191889634,279.7788050886063,328,691.7359889943635,,35.890302066772655,0.0794912559618442,0.0794912559618442,63.95071542130366,,,,hysteresis,35.890302066772655,0.0,0.0,hysteresis,3.0,
Hysteresis 2d + parallel best margin,0.003087534980655393,0.309722314497758,0.7271930173600207,-0.9224868430212138,0.0033469691237475907,108.59121812730227,572,629.3468505661698,,37.17541070482247,3.033916269210387,1.550079491255962,58.24059353471118,,,,hysteresis,37.17541070482247,0.0,0.0,hysteresis,2.0,
Hysteresis 3d + parallel best margin,0.02576109122736825,0.31361418365685106,0.532237815555989,-0.9215907676150996,0.027952852971859753,212.31294613303598,341,579.1361239743966,,38.11605723370429,0.688924218335983,1.2586115527292,59.93640699523053,,,,hysteresis,38.11605723370429,0.0,0.0,hysteresis,3.0,
Score blend greedy (lambda=0.5),0.2935990775103894,0.28359745340317294,4.212669507856919,-0.6263781102216891,0.46872499648252103,223443.11341449805,1309,485037.9950836858,,41.33545310015898,3.8288288288288284,2.662957074721781,52.172760996290414,,,,score_blend,41.33545310015898,0.0,0.0,score_blend,,0.5
Score blend greedy (lambda=1.0),0.1872436785659588,0.2522033593520725,4.295692012458161,-0.7763598563584698,0.24118155650683526,17042.176244502996,1324,65912.9323023816,,48.82087970323264,4.425013248542661,2.5039745627980925,44.250132485426604,,,,score_blend,48.82087970323264,0.0,0.0,score_blend,,1.0
Score blend greedy (lambda=2.0),0.03547144378093314,0.19189897746136866,4.387629823511466,-0.8324132781968095,0.04261277986551596,281.6545805086286,1275,5610.319995328991,,65.23582405935348,4.888712241653418,2.676205617382088,27.19925808161102,,,,score_blend,65.23582405935348,0.0,0.0,score_blend,,2.0
