strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,avg_leverage
Buy & Hold SPY 1x,0.12950765541092912,0.1930947947253181,0.6028293708610288,0.7749174282874808,-0.5245470022296034,3854.9934733966015,2,0.013246787653993907,1.0
SMA200 ±3% Band 2x (plain),0.16489760969557765,0.2349884246768196,0.6945140800185405,0.7674967931669375,-0.38426627291722326,9725.812278149986,32,28.785269572128758,2.0
SMA200 ±3% Band 3x (plain),0.1987701914190323,0.35244914843707587,0.6501229869113933,0.7191406808686959,-0.5318714099461032,22978.421682687163,32,28.785269572128758,3.0
B1: SMA200 ±3% Band + RSI>30 Exit 3x,0.2061803873731225,0.3579808196119556,0.6631421543080498,0.7304565450677228,-0.531898898572351,27643.881444979357,32,28.613061332626838,3.0
B2: SMA200 ±3% Band + RSI>30 Exit 2x,0.17026212937877028,0.23864457477474826,0.7070918327751412,0.7780780622446122,-0.38432994875372856,11162.965919377379,32,28.613061332626838,2.0
B3: SMA200 ±3% Band + RSI>30 Exit + RSI Scale 1-3x,0.1459751069236057,0.19315819681201168,0.8179593071739231,0.833932857420823,-0.2916793602311382,5950.836064255165,707,28.613061332626838,1.2826127296344405
B4: SMA200 ±3% Band + RSI>30 Exit + VIX Scale 1-3x,0.1527314191388245,0.20414047241783806,0.7808816814539294,0.7862107059527831,-0.31244218093480547,7098.325353294303,427,28.613061332626838,1.2978289107441083
B1 + SMA200 Slope>0,0.1780238671943739,0.3507663788091628,0.604701704935272,0.6536688464341304,-0.5554631219593036,13611.185708622901,48,30.613326268379918,3.0
B2 + SMA200 Slope>0,0.15138654936857354,0.23386423738304452,0.6488761532739014,0.7005460241187974,-0.3957412038827841,6854.071282079278,48,30.613326268379918,2.0
B1 + SMA200 Slope>5%,0.13907785527431815,0.33328461432644135,0.5231016438684254,0.5372991697701047,-0.5718772218867995,4965.185766015555,100,36.057755994171416,3.0
B2 + SMA200 Slope>5%,0.12459252270212162,0.22226574042220196,0.5680295649369962,0.5832134743117646,-0.41874409513539823,3382.2975461192073,100,36.057755994171416,2.0
B1 + SMA200 Slope>10%,0.11703669273455608,0.29592657728707267,0.4792330251734289,0.44573110153508255,-0.5780621678508693,2763.0660158934575,124,47.079083322294345,3.0
B2 + SMA200 Slope>10%,0.10639934775548943,0.197494724017473,0.5224535534010009,0.4848901766374174,-0.4009554678173386,2073.6835575418863,124,47.079083322294345,2.0
B1 + SMA50>SMA200,0.20055006749932236,0.34931836535774097,0.6484548686766366,0.7053110476631667,-0.4666003432842978,24024.13646972806,34,31.315406014041596,3.0
B2 + SMA50>SMA200,0.16566654505900913,0.2328770718310572,0.6923097159383261,0.7524982903386972,-0.3275124612899066,9920.237068257207,34,31.315406014041596,2.0
B1 + ADX>20,0.2061803873731225,0.3579808196119556,0.6631421543080498,0.7304565450677228,-0.531898898572351,27643.881444979357,32,28.613061332626838,3.0
B2 + ADX>20,0.17026212937877028,0.23864457477474826,0.7070918327751412,0.7780780622446122,-0.38432994875372856,11162.965919377379,32,28.613061332626838,2.0
B1 + ADX>25,0.2061803873731225,0.3579808196119556,0.6631421543080498,0.7304565450677228,-0.531898898572351,27643.881444979357,32,28.613061332626838,3.0
B2 + ADX>25,0.17026212937877028,0.23864457477474826,0.7070918327751412,0.7780780622446122,-0.38432994875372856,11162.965919377379,32,28.613061332626838,2.0
B1 + 2-Day Persist,0.1941964945787693,0.3618802019933373,0.623625307936105,0.6777963926909267,-0.5559731742940119,20489.092166122628,32,28.626308120280832,3.0
B2 + 2-Day Persist,0.16278297725405277,0.2412770356701228,0.6666181445538122,0.723363554209729,-0.4047264827466857,9209.932696809547,32,28.626308120280832,2.0
B1 + 3-Day Persist,0.20073997279043954,0.36431465361911053,0.6403565203595505,0.6995006213160848,-0.5733094407555591,24138.388170831102,32,28.639554907934826,3.0
B2 + 3-Day Persist,0.16677264970312922,0.24289817071193495,0.6815555784208805,0.7432350928665729,-0.4206218596507267,10206.517842686735,32,28.639554907934826,2.0
SMA200 ATR×1.0 Band + RSI>30 Exit 3x,0.1872640137845163,0.3487438345035411,0.6338674357271358,0.7005831762913353,-0.5597583276707414,17205.94271194996,88,28.374619154854948,3.0
SMA200 ATR×1.0 Band + RSI>30 Exit 2x,0.15734961776501444,0.23263582315938033,0.679058739170385,0.7500643430965556,-0.3856533075534664,8002.801223226657,88,28.374619154854948,2.0
SMA200 ATR×1.5 Band + RSI>30 Exit 3x,0.19361664198982065,0.3494627840014215,0.6407065721345662,0.7118072159231124,-0.5544701300598399,20192.76453064423,72,28.599814544972844,3.0
SMA200 ATR×1.5 Band + RSI>30 Exit 2x,0.161133766031613,0.2331192670723732,0.6844846451246357,0.7602018117450897,-0.3695285194856814,8826.055825644806,72,28.599814544972844,2.0
