strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,sma_window,leverage,entry_buffer,exit_buffer,confirm_days,tier_margin_2x,tier_margin_3x
Guarded A5/B25 SMA20 Lead,0.37225571284264714,0.2769051508054298,3.1324274380406125,-0.2789278577942372,1.33459495866224,1312569.1836611412,774,1163800.8416733586,0.0,28.749337572866985,8.956014838367778,48.675145733969266,13.619501854795974,10.0,4.0,747.0,baseline,,,,,,,,
SMA20 1x/cash (SPX),0.16893526936786363,0.1102239997094773,3.96718641055675,-0.16541668029116866,1.0212710657141801,10692.288492116711,868,16755.082883399045,,36.950185479597245,63.049814520402755,0.0,0.0,,,,baseline,36.950185479597245,20.0,1.0,,,,,
Buy & hold 1x ETP,0.12977597541099306,0.19297045000280277,0.6024213990706642,-0.5242060142894908,0.24756674260384348,3886.4441426277535,0,0.0,,0.0,100.0,0.0,0.0,,,,baseline,0.0,,1.0,,,,,
SMA10 1x/cash,0.17960913667312184,0.11718071214645694,5.207535842609535,-0.3464913864263295,0.518365372731452,14043.792818610897,1346,39592.05034472082,,39.62639109697933,60.37360890302067,0.0,0.0,,,,binary,39.62639109697933,10.0,1.0,0.0,0.0,1.0,,
SMA10 1x/cash 2d confirm,0.009903926349748904,0.11775986693482186,1.2581797036564342,-0.7073984714043244,0.014000491590104332,133.05139659017874,768,654.5948584760439,,38.72549019607843,61.274509803921575,0.0,0.0,,,,binary,38.72549019607843,10.0,1.0,0.0,0.0,2.0,,
SMA10 1x/cash 3d confirm,0.012330763663705335,0.11815831667465185,0.8634776547127989,-0.5712899486342211,0.0215840724892577,142.98365041940386,572,544.2387417724032,,38.010068892421835,61.989931107578165,0.0,0.0,,,,binary,38.010068892421835,10.0,1.0,0.0,0.0,3.0,,
SMA10 1x/cash 5d confirm,0.04966314883848977,0.1203233880681571,0.8394337636832381,-0.406497025321399,0.12217346190718946,423.6890695230352,342,531.4808478212525,,35.055643879173296,64.94435612082671,0.0,0.0,,,,binary,35.05564387917329,10.0,1.0,0.0,0.0,5.0,,
SMA10 2x/cash,0.2411336755100184,0.22681635308686354,5.034442187959466,-0.7275488868722817,0.33143295228812364,64536.68975405169,1346,303413.498514537,,39.62639109697933,0.0,60.37360890302067,0.0,,,,binary,39.62639109697933,10.0,2.0,0.0,0.0,1.0,,
SMA10 2x/cash 2d confirm,0.03919162197914661,0.23050978951466006,1.5718551938170393,-0.944827545962515,0.041480185613366416,313.6430962670772,768,1240.1474294803102,,38.72549019607843,0.0,61.274509803921575,0.0,,,,binary,38.72549019607843,10.0,2.0,0.0,0.0,2.0,,
SMA10 2x/cash 3d confirm,0.0017984423450942977,0.2337748571063659,0.8347233909923326,-0.8766100514718073,0.0020515876381690537,104.48225866887218,572,638.625888220127,,38.010068892421835,0.0,61.989931107578165,0.0,,,,binary,38.010068892421835,10.0,2.0,0.0,0.0,3.0,,
SMA10 2x/cash 5d confirm,0.0467647136729612,0.23538274737450815,0.6780720479203004,-0.838343830213692,0.05578226019870747,389.9652465497478,342,633.5149558214683,,35.055643879173296,0.0,64.94435612082671,0.0,,,,binary,35.05564387917329,10.0,2.0,0.0,0.0,5.0,,
SMA10 3x/cash,0.2962492534712895,0.34043439715651286,4.939741311184347,-0.9052102420577578,0.3272712124841237,237589.9064257999,1346,1357512.0629813017,,39.62639109697933,0.0,0.0,60.37360890302067,,,,binary,39.62639109697933,10.0,3.0,0.0,0.0,1.0,,
SMA10 3x/cash 2d confirm,0.03502778027372,0.3475233575903885,1.3459354483046373,-0.9837403972442716,0.03560673158471735,278.0570968586613,768,1408.2687181515096,,38.72549019607843,0.0,0.0,61.274509803921575,,,,binary,38.72549019607843,10.0,3.0,0.0,0.0,2.0,,
SMA10 3x/cash 3d confirm,-0.012929740021460079,0.3496651365620251,0.6659431698335658,-0.9476746383042465,-0.013643648884174367,67.00395149196876,572,622.6071756290154,,38.010068892421835,0.0,0.0,61.989931107578165,,,,binary,38.010068892421835,10.0,3.0,0.0,0.0,3.0,,
SMA10 3x/cash 5d confirm,0.045402495945757515,0.3514032344361479,0.5680984778260488,-0.9493089988874582,0.047826888820149106,375.02652113836297,342,699.2493000322715,,35.055643879173296,0.0,0.0,64.94435612082671,,,,binary,35.05564387917329,10.0,3.0,0.0,0.0,5.0,,
SMA15 1x/cash,0.17549146998902487,0.1133951808738866,4.436091019480693,-0.17739532417413173,0.9892677318640145,12645.362356811485,1044,25876.16312124803,,38.049814520402755,61.950185479597245,0.0,0.0,,,,binary,38.049814520402755,15.0,1.0,0.0,0.0,1.0,,
SMA15 1x/cash 2d confirm,0.024913507714870553,0.11369384421505477,1.224380230200179,-0.5345851699904428,0.04660343966390978,207.11321560475022,602,673.503702108058,,37.51987281399046,62.48012718600954,0.0,0.0,,,,binary,37.51987281399046,15.0,1.0,0.0,0.0,2.0,,
SMA15 1x/cash 3d confirm,0.02944678285537261,0.11439950720551507,0.8537826790124954,-0.47691028630189514,0.06174491031366038,236.4288419314612,454,525.6190258291724,,36.77795442501325,63.22204557498675,0.0,0.0,,,,binary,36.77795442501325,15.0,1.0,0.0,0.0,3.0,,
SMA15 1x/cash 5d confirm,0.050499691215183384,0.11794495696051291,0.8227175413533123,-0.35858616360584006,0.1408300050045794,433.93551789259493,294,542.4438459529055,,35.214626391096985,64.78537360890301,0.0,0.0,,,,binary,35.21462639109698,15.0,1.0,0.0,0.0,5.0,,
SMA15 2x/cash,0.28523445509938394,0.22240644750404046,4.363892201211891,-0.4923103659567204,0.5793793403985713,183932.47802798045,1044,385775.48324021226,,38.049814520402755,0.0,61.950185479597245,0.0,,,,binary,38.049814520402755,15.0,2.0,0.0,0.0,1.0,,
SMA15 2x/cash 2d confirm,0.05637928598759112,0.2222307015750876,1.4845556887144062,-0.873738867418941,0.06452647134050217,513.0192652675438,602,1337.373195719803,,37.51987281399046,0.0,62.48012718600954,0.0,,,,binary,37.51987281399046,15.0,2.0,0.0,0.0,2.0,,
SMA15 2x/cash 3d confirm,0.022385248948157743,0.22637669659715068,0.7548071281796909,-0.8520668068400686,0.02627170635970967,192.3237659534599,454,605.9766753916896,,36.77795442501325,0.0,63.22204557498675,0.0,,,,binary,36.77795442501325,15.0,2.0,0.0,0.0,3.0,,
SMA15 2x/cash 5d confirm,0.04097118485455553,0.2314356806698784,0.6553586432781997,-0.8105896712899383,0.050544913543440186,330.1602742290238,294,611.3256061627353,,35.214626391096985,0.0,64.78537360890301,0.0,,,,binary,35.21462639109698,15.0,2.0,0.0,0.0,5.0,,
SMA15 3x/cash,0.35542704359877764,0.33344813508119964,4.2426529648084,-0.7153585845951914,0.49685158080532077,906519.5647259913,1044,2113143.8654906605,,38.049814520402755,0.0,0.0,61.950185479597245,,,,binary,38.049814520402755,15.0,3.0,0.0,0.0,1.0,,
SMA15 3x/cash 2d confirm,0.05019712450917435,0.33363016666803397,1.2913646019684273,-0.9528675689426749,0.05268006399344067,430.2021584884266,602,1360.90776684053,,37.51987281399046,0.0,0.0,62.48012718600954,,,,binary,37.51987281399046,15.0,3.0,0.0,0.0,2.0,,
SMA15 3x/cash 3d confirm,0.014144612936759726,0.3375851237490771,0.6261680946732545,-0.9427269328916464,0.015003934271161272,150.87135312472032,454,614.4501981299278,,36.77795442501325,0.0,0.0,63.22204557498675,,,,binary,36.77795442501325,15.0,3.0,0.0,0.0,3.0,,
SMA15 3x/cash 5d confirm,0.03372480391976529,0.3456125634296394,0.5476491673693472,-0.9266834293369135,0.036393014973729494,267.746715347563,294,611.9697856565243,,35.214626391096985,0.0,0.0,64.78537360890301,,,,binary,35.21462639109698,15.0,3.0,0.0,0.0,5.0,,
SMA20 1x/cash,0.16893526936786363,0.1102239997094773,3.96718641055675,-0.16541668029116866,1.0212710657141801,10692.288492116711,868,16755.082883399045,,36.950185479597245,63.049814520402755,0.0,0.0,,,,binary,36.950185479597245,20.0,1.0,0.0,0.0,1.0,,
SMA20 1x/cash 2d confirm,0.034820107668713574,0.11150267898195053,1.168774427689426,-0.3585513440303842,0.09711330956763298,276.388466342224,502,673.2355662039884,,36.65871754107049,63.34128245892951,0.0,0.0,,,,binary,36.65871754107048,20.0,1.0,0.0,0.0,2.0,,
SMA20 1x/cash 3d confirm,0.04330941969304458,0.1132392592864185,0.9146703107041512,-0.3383527023258342,0.1280008092009785,353.14530031192635,364,569.9720307322681,,35.85055643879173,64.14944356120826,0.0,0.0,,,,binary,35.850556438791735,20.0,1.0,0.0,0.0,3.0,,
SMA20 1x/cash 5d confirm,0.048908988455288904,0.118440036751344,0.7440517094447242,-0.3287047226128395,0.14879308111704773,414.65245438142904,256,513.5198415562002,,34.7244303126656,65.27556968733438,0.0,0.0,,,,binary,34.7244303126656,20.0,1.0,0.0,0.0,5.0,,
SMA20 2x/cash,0.2713458824771908,0.21801048383707808,3.8491336370888827,-0.4189085281249269,0.6477449473080912,132775.70975025534,868,199732.4170488928,,36.950185479597245,0.0,63.049814520402755,0.0,,,,binary,36.950185479597245,20.0,2.0,0.0,0.0,1.0,,
SMA20 2x/cash 2d confirm,0.0688571038007546,0.22070445707921776,1.371333750607805,-0.8451309389346946,0.08147507164694555,729.6353508971584,502,1418.6244710212895,,36.65871754107049,0.0,63.34128245892951,0.0,,,,binary,36.65871754107048,20.0,2.0,0.0,0.0,2.0,,
SMA20 2x/cash 3d confirm,0.04049587237080465,0.22391770008215842,0.818620908183057,-0.8156383030045093,0.04964930192909389,325.66811742477336,364,696.968987676781,,35.85055643879173,0.0,64.14944356120826,0.0,,,,binary,35.850556438791735,20.0,2.0,0.0,0.0,3.0,,
SMA20 2x/cash 5d confirm,0.03852566396945156,0.23252803560801044,0.6085096650260458,-0.7954280524530444,0.04843387638975155,307.6697299946798,256,595.463531817071,,34.7244303126656,0.0,65.27556968733438,0.0,,,,binary,34.7244303126656,20.0,2.0,0.0,0.0,5.0,,
SMA20 3x/cash,0.3305522405434236,0.3247960588329145,3.735955513986863,-0.6257915787777798,0.5282145873375576,520096.27332625486,868,833501.5632224644,,36.950185479597245,0.0,0.0,63.049814520402755,,,,binary,36.950185479597245,20.0,3.0,0.0,0.0,1.0,,
SMA20 3x/cash 2d confirm,0.06735550199738216,0.32933532283550415,1.1886932908792984,-0.9484393380926647,0.07101719560982758,699.5064595588431,502,1611.0827865668148,,36.65871754107049,0.0,0.0,63.34128245892951,,,,binary,36.65871754107048,20.0,3.0,0.0,0.0,2.0,,
SMA20 3x/cash 3d confirm,0.035329592437188806,0.33399042716377425,0.6942952878010913,-0.9372458182466524,0.03769511877180893,280.4995016429165,364,721.7394655437416,,35.85055643879173,0.0,0.0,64.14944356120826,,,,binary,35.850556438791735,20.0,3.0,0.0,0.0,3.0,,
SMA20 3x/cash 5d confirm,0.028887969525457358,0.34671070112292196,0.5081909511150455,-0.9262067848166967,0.03118954643716468,232.60930140782227,256,582.1877965428057,,34.7244303126656,0.0,0.0,65.27556968733438,,,,binary,34.7244303126656,20.0,3.0,0.0,0.0,5.0,,
SMA30 1x/cash,0.16095977043904597,0.1097548233310964,3.385479668871135,-0.20255410990146272,0.7946507257608779,8707.312473661234,694,11481.649255827691,,35.71807101218866,64.28192898781134,0.0,0.0,,,,binary,35.71807101218866,30.0,1.0,0.0,0.0,1.0,,
SMA30 1x/cash 2d confirm,0.03898815730142391,0.11065022974154631,1.0173358053281525,-0.3699968821515188,0.10537428606076124,311.8063099039363,410,623.4886534999574,,35.2543720190779,64.7456279809221,0.0,0.0,,,,binary,35.2543720190779,30.0,1.0,0.0,0.0,2.0,,
SMA30 1x/cash 3d confirm,0.04669497894616326,0.11212810947180048,0.8119090372776809,-0.3154963302662733,0.14800482435644666,389.18672913603774,296,516.1415119235489,,34.7244303126656,65.27556968733438,0.0,0.0,,,,binary,34.7244303126656,30.0,1.0,0.0,0.0,3.0,,
SMA30 1x/cash 5d confirm,0.0539415535183827,0.11786079572279791,0.6680817949140729,-0.30970312931360017,0.17417180652302158,478.6712268800061,212,443.1049207556356,,33.71754107048225,66.28245892951774,0.0,0.0,,,,binary,33.71754107048225,30.0,1.0,0.0,0.0,5.0,,
SMA30 2x/cash,0.23243954334063344,0.21592855175508424,3.193364211296419,-0.4087238032455879,0.5686958809222291,52267.43311698318,694,77782.11128893479,,35.71807101218866,0.0,64.28192898781134,0.0,,,,binary,35.71807101218866,30.0,2.0,0.0,0.0,1.0,,
