strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,sma_window,leverage,entry_buffer,exit_buffer,confirm_days,tier_margin_2x,tier_margin_3x
SMA100 1x/cash in+0.5%/out-0.5%,0.14269141418082754,0.11244679686686443,1.6462227067883406,-0.10457461821075374,1.364493761700907,5410.859045550101,200,1984.3995594853188,,30.696873343932168,69.30312665606783,0.0,0.0,,,,buffer,30.696873343932168,100.0,1.0,0.005,0.005,1.0,,
SMA100 2x/cash in+0.5%/out-0.5%,0.22303711820134065,0.21953579421393343,1.560415168215347,-0.3100215170423474,0.7194246397125876,41539.87940572658,200,13567.769605909536,,30.696873343932168,0.0,69.30312665606783,0.0,,,,buffer,30.696873343932168,100.0,2.0,0.005,0.005,1.0,,
SMA100 1x/cash in+1%/out-0.5%,0.13266711327428915,0.11126987926186983,1.512607149293092,-0.1184756965860379,1.1197833572385485,4154.145849075817,182,1487.5973879118294,,32.1939586645469,67.8060413354531,0.0,0.0,,,,buffer,32.1939586645469,100.0,1.0,0.01,0.005,1.0,,
SMA200 1x/cash in+0.5%/out-0%,0.14709675740044448,0.11624992648082795,1.5054696227051736,-0.11203097373514559,1.3130007934073529,6072.842163293839,156,1725.6929831802677,,28.868574456809753,71.13142554319025,0.0,0.0,,,,buffer,28.86857445680975,200.0,1.0,0.005,0.0,1.0,,
SMA200 1x/cash in+0%/out-0.5%,0.1498926716760911,0.11854984774810697,1.4830912628485071,-0.11203097373514559,1.3379574119426565,6532.88893243007,148,1887.3837107052086,,27.490726020137785,72.50927397986221,0.0,0.0,,,,buffer,27.490726020137785,200.0,1.0,0.0,0.005,1.0,,
SMA50 1x/cash in+0.5%/out-2%,0.13459738554091016,0.11849681370957017,1.4794842403224753,-0.1457124815063755,0.9237189851510489,4371.830606408044,190,1907.5596774788085,,27.291997880233176,72.70800211976682,0.0,0.0,,,,buffer,27.291997880233176,50.0,1.0,0.005,0.02,1.0,,
SMA30 1x/cash in+2%/out-2%,0.1295594524643544,0.11257347673828638,1.4758340537566912,-0.1887331208278998,0.6864690834127406,3825.5222772514094,178,1728.4086431110202,,35.47959724430313,64.52040275569686,0.0,0.0,,,,buffer,35.47959724430313,30.0,1.0,0.02,0.02,1.0,,
SMA100 1x/cash in+0.5%/out-1%,0.13605106712611237,0.11452991544104009,1.4595044281658083,-0.12266658155045548,1.109112729860753,4543.005966957614,166,1458.0943030255742,,29.372019077901427,70.62798092209857,0.0,0.0,,,,buffer,29.37201907790143,100.0,1.0,0.005,0.01,1.0,,
SMA100 3x/cash in+0.5%/out-0.5%,0.26745358873919933,0.33122681326893727,1.440280632255958,-0.5567130895007711,0.480415484714104,121108.44789574426,200,37323.67441813266,,30.696873343932168,0.0,0.0,69.30312665606783,,,,buffer,30.696873343932168,100.0,3.0,0.005,0.005,1.0,,
SMA50 1x/cash in+2%/out-1%,0.12040368973703286,0.10621441330320937,1.43981648837451,-0.12988561242754765,0.9269978982791188,2996.8729784827524,174,1397.9716971609027,,39.16269210386857,60.83730789613142,0.0,0.0,,,,buffer,39.16269210386857,50.0,1.0,0.02,0.01,1.0,,
SMA100 2x/cash in+1%/out-0.5%,0.20061061036843575,0.21674308900469313,1.4245739263626997,-0.31421911786441026,0.6384417718816265,23843.74237516702,182,7913.966421606283,,32.1939586645469,0.0,67.8060413354531,0.0,,,,buffer,32.1939586645469,100.0,2.0,0.01,0.005,1.0,,
SMA50 1x/cash in+1%/out-2%,0.1325377176317324,0.11604194628488283,1.422858449034563,-0.1539650897737782,0.8608296713655726,4139.934288386134,168,1681.2135551538477,,29.292527821939586,70.70747217806041,0.0,0.0,,,,buffer,29.292527821939586,50.0,1.0,0.01,0.02,1.0,,
SMA200 1x/cash in+1%/out-0%,0.1432673516934193,0.1151359526124032,1.3949626320997495,-0.11203097373514559,1.2788191240051183,5493.263605052115,124,1304.060642123611,,29.88871224165342,70.11128775834659,0.0,0.0,,,,buffer,29.88871224165342,200.0,1.0,0.01,0.0,1.0,,
SMA200 1x/cash in+0.5%/out-0.5%,0.145429450367083,0.11758473263876805,1.3869610793620393,-0.11203097373514559,1.2981182392549344,5813.57633609712,124,1409.574320695217,,28.153153153153156,71.84684684684684,0.0,0.0,,,,buffer,28.153153153153152,200.0,1.0,0.005,0.005,1.0,,
SMA100 1x/cash in+2%/out-0%,0.11263680063681591,0.10537965860827286,1.3802885317585631,-0.23890537611482313,0.4714703472502863,2432.469690454885,178,1094.6656417310428,,37.188659247482775,62.81134075251722,0.0,0.0,,,,buffer,37.188659247482775,100.0,1.0,0.02,0.0,1.0,,
SMA100 1x/cash in+1%/out-1%,0.12991513784802278,0.11347501407767359,1.377382842776821,-0.1316850562472454,0.986559458987514,3861.8211732619407,154,1216.6751647396172,,30.789613142554316,69.21038685744568,0.0,0.0,,,,buffer,30.78961314255432,100.0,1.0,0.01,0.01,1.0,,
SMA30 2x/cash in+2%/out-2%,0.18939160187237625,0.21933761140659333,1.3655792474699877,-0.31336646110153904,0.6043773836122441,17991.686816299687,178,8993.178380385913,,35.47959724430313,0.0,64.52040275569686,0.0,,,,buffer,35.47959724430313,30.0,2.0,0.02,0.02,1.0,,
SMA100 2x/cash in+0.5%/out-1%,0.20586214880701448,0.22437549523953998,1.3593518602239003,-0.3370877918189113,0.6107078150062663,27178.858853558067,166,8063.177352703333,,29.372019077901427,0.0,70.62798092209857,0.0,,,,buffer,29.37201907790143,100.0,2.0,0.005,0.01,1.0,,
SMA200 1x/cash in+0%/out-1%,0.14183239597677533,0.11981187523708975,1.3480074404875595,-0.12471600754448521,1.1372429150779608,5290.167864128704,128,1459.6213379032479,,26.828298887122415,73.17170111287759,0.0,0.0,,,,buffer,26.828298887122415,200.0,1.0,0.0,0.01,1.0,,
SMA200 2x/cash in+0.5%/out-0%,0.21029124964836177,0.22619042000841677,1.3407765248417027,-0.23742944400217,0.8856999624968157,30338.324024832218,156,8303.510435153725,,28.868574456809753,0.0,71.13142554319025,0.0,,,,buffer,28.86857445680975,200.0,2.0,0.005,0.0,1.0,,
SMA200 2x/cash in+0%/out-0.5%,0.22005119354032554,0.23009332417256148,1.3382179378540067,-0.21776130803083166,1.0105155756557527,38603.09120711934,148,11578.837644850066,,27.490726020137785,0.0,72.50927397986221,0.0,,,,buffer,27.490726020137785,200.0,2.0,0.0,0.005,1.0,,
SMA50 2x/cash in+2%/out-1%,0.17275874009013203,0.20674733863208056,1.3318454945418792,-0.418684996059053,0.4126222379981475,11792.64751435596,174,6381.916868737096,,39.16269210386857,0.0,60.83730789613142,0.0,,,,buffer,39.16269210386857,50.0,2.0,0.02,0.01,1.0,,
SMA50 2x/cash in+0.5%/out-2%,0.1851322946338243,0.2312040565678658,1.3222522023643923,-0.4142105706857924,0.44695212468215845,16156.126038545846,190,8123.588994238619,,27.291997880233176,0.0,72.70800211976682,0.0,,,,buffer,27.291997880233176,50.0,2.0,0.005,0.02,1.0,,
SMA100 3x/cash in+1%/out-0.5%,0.2355335867092987,0.3271417777662028,1.3087544992538527,-0.5574412134964648,0.4225263238646283,56350.09348932257,182,17993.074091965645,,32.1939586645469,0.0,0.0,67.8060413354531,,,,buffer,32.1939586645469,100.0,3.0,0.01,0.005,1.0,,
SMA200 1x/cash in+1%/out-0.5%,0.1422764407447239,0.11656831387851277,1.3036204835801584,-0.11203097373514559,1.2699741509083207,5352.227070350956,100,1097.7962465304154,,29.186539480657125,70.81346051934287,0.0,0.0,,,,buffer,29.186539480657128,200.0,1.0,0.01,0.005,1.0,,
SMA100 1x/cash in+2%/out-0.5%,0.116856705432558,0.10746198594523276,1.3035866237012053,-0.14647811608060463,0.7977758627661047,2724.9702136690594,150,963.8031092968124,,35.4266030736619,64.5733969263381,0.0,0.0,,,,buffer,35.426603073661894,100.0,1.0,0.02,0.005,1.0,,
SMA100 2x/cash in+2%/out-0%,0.16257749046544268,0.20522250830179575,1.3029251106265827,-0.45067533248025027,0.3607419327139837,9078.703263842079,178,4031.5059308806703,,37.188659247482775,0.0,62.81134075251722,0.0,,,,buffer,37.188659247482775,100.0,2.0,0.02,0.0,1.0,,
SMA100 1x/cash in+0%/out-2%,0.13483293935637142,0.12045070564064984,1.3022519734410198,-0.187804603432584,0.7179426749503094,4399.138062653492,140,1191.5077917589838,,25.66242713301537,74.33757286698463,0.0,0.0,,,,buffer,25.662427133015367,100.0,1.0,0.0,0.02,1.0,,
SMA200 1x/cash in+0.5%/out-1%,0.1387092022471892,0.11880809192732517,1.274840173924881,-0.1216382810965633,1.140341683528675,4872.91044051307,108,1127.2251672381944,,27.503974562798096,72.49602543720191,0.0,0.0,,,,buffer,27.503974562798092,200.0,1.0,0.005,0.01,1.0,,
SMA100 2x/cash in+1%/out-1%,0.1908269919403096,0.22176892712411886,1.2701031805146534,-0.34447268213487664,0.5539684330195803,18654.508133336352,154,5673.149082356882,,30.789613142554316,0.0,69.21038685744568,0.0,,,,buffer,30.78961314255432,100.0,2.0,0.01,0.01,1.0,,
SMA50 1x/cash in+2%/out-2%,0.11749858747944786,0.11157572766179014,1.25947842570357,-0.16923146202669762,0.6943069927559422,2772.340316477434,146,1105.3897570640354,,34.06200317965024,65.93799682034977,0.0,0.0,,,,buffer,34.06200317965024,50.0,1.0,0.02,0.02,1.0,,
SMA200 2x/cash in+1%/out-0%,0.21027175178884594,0.2241637372894351,1.254627268411109,-0.22060348378679723,0.9531660524095058,30323.666892922633,124,6605.5675285285215,,29.88871224165342,0.0,70.11128775834659,0.0,,,,buffer,29.88871224165342,200.0,2.0,0.01,0.0,1.0,,
SMA50 2x/cash in+1%/out-2%,0.18006356858175154,0.2269236053940873,1.2528385100279325,-0.46812394398778434,0.38464934531622735,14206.986921836706,168,7193.121429910698,,29.292527821939586,0.0,70.70747217806041,0.0,,,,buffer,29.292527821939586,50.0,2.0,0.01,0.02,1.0,,
SMA100 3x/cash in+0.5%/out-1%,0.24357150232200664,0.3379581948320836,1.252549060945494,-0.5871540380285308,0.41483407512590603,68449.33588230416,166,19825.43471840591,,29.372019077901427,0.0,0.0,70.62798092209857,,,,buffer,29.37201907790143,100.0,3.0,0.005,0.01,1.0,,
SMA30 3x/cash in+2%/out-2%,0.2166753145629401,0.33030149665959446,1.2510811076803676,-0.5375491260673771,0.4030800238633105,35524.36307425333,178,19435.181138521326,,35.47959724430313,0.0,0.0,64.52040275569686,,,,buffer,35.47959724430313,30.0,3.0,0.02,0.02,1.0,,
SMA200 3x/cash in+0.5%/out-0%,0.25427015690304855,0.33935472831758395,1.2493381052750387,-0.3484996676022141,0.7296137716644212,88504.18324594197,156,22681.366860407936,,28.868574456809753,0.0,0.0,71.13142554319025,,,,buffer,28.86857445680975,200.0,3.0,0.005,0.0,1.0,,
SMA200 3x/cash in+0%/out-0.5%,0.26549015106916674,0.34501179917135877,1.2407944048242603,-0.32649728454246424,0.8131465823405251,115605.45475602176,148,35107.02315378233,,27.490726020137785,0.0,0.0,72.50927397986221,,,,buffer,27.490726020137785,200.0,3.0,0.0,0.005,1.0,,
SMA200 2x/cash in+0.5%/out-0.5%,0.21074416128773965,0.2280745138796013,1.2385560316481623,-0.22666142343519677,0.9297751602093511,30680.7250220814,124,7367.494912334522,,28.153153153153156,0.0,71.84684684684684,0.0,,,,buffer,28.153153153153152,200.0,2.0,0.005,0.005,1.0,,
SMA100 1x/cash in+0.5%/out-2%,0.13060320210038978,0.118710912548736,1.2329612349861965,-0.1482745226783077,0.8808202497723959,3932.9877670098695,120,985.8501561447781,,27.106518282988873,72.89348171701113,0.0,0.0,,,,buffer,27.106518282988873,100.0,1.0,0.005,0.02,1.0,,
SMA50 3x/cash in+0.5%/out-2%,0.2139526475764184,0.3479684378428303,1.227942065866557,-0.6680741466148837,0.32025284717349345,33215.576580958135,190,18300.170629393888,,27.291997880233176,0.0,0.0,72.70800211976682,,,,buffer,27.291997880233176,50.0,3.0,0.005,0.02,1.0,,
SMA50 3x/cash in+2%/out-1%,0.19921517302461234,0.31165431231368684,1.2253153728355997,-0.6364522043620136,0.31300885071850404,23026.3247225616,174,14139.15426215574,,39.16269210386857,0.0,0.0,60.83730789613142,,,,buffer,39.16269210386857,50.0,3.0,0.02,0.01,1.0,,
SMA200 2x/cash in+0%/out-1%,0.20860461281238485,0.23252853053372532,1.2236900867289984,-0.2519206777011009,0.8280567308567274,29095.424338526263,128,8306.314460536556,,26.828298887122415,0.0,73.17170111287759,0.0,,,,buffer,26.828298887122415,200.0,2.0,0.0,0.01,1.0,,
SMA200 1x/cash in+2%/out-0%,0.12949637025982197,0.11262229325177064,1.2195695219016833,-0.1146080822399422,1.1299060915155164,3819.1190530108156,98,840.0188150928539,,31.90249072602014,68.09750927397987,0.0,0.0,,,,buffer,31.902490726020137,200.0,1.0,0.02,0.0,1.0,,
