Asset,Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR
spx,Buy & Hold 1x,1.0,10.01,15.86,0.358,0.458,0.182,-55.13,146015.99,1950-01-03,2026-06-17,76.45,0.0,0.0,2,1.00,0,0,0,0
spx,SMA20 1x/cash,1.0,0.60,9.83,0.487,0.505,0.007,-86.63,157.62,1950-01-03,2026-06-17,76.45,38.8,26.4,2020,1.00,1,0,0,0
spx,SMA200 1x/cash,1.0,7.36,10.45,0.509,0.569,0.209,-35.26,22609.79,1950-01-03,2026-06-17,76.45,29.3,5.9,450,1.00,1,1,1,0
spx,SMA50/200 Golden Cross 1x/cash,1.0,9.80,11.84,0.455,0.474,0.291,-33.72,126439.65,1950-01-03,2026-06-17,76.45,29.1,1.0,78,1.00,1,1,1,0
spx,BB Mean Reversion 1x/cash,1.0,4.39,10.24,0.222,0.129,0.109,-40.28,2649.36,1950-01-03,2026-06-17,76.45,79.5,8.5,651,1.00,0,0,1,0
spx,Momentum 12m 1x/cash,1.0,7.92,11.78,0.398,0.423,0.181,-43.76,33746.78,1950-01-03,2026-06-17,76.45,26.4,3.7,280,1.00,1,0,1,0
spx,MACD 1x/cash,1.0,1.30,9.74,0.395,0.375,0.019,-67.33,266.72,1950-01-03,2026-06-17,76.45,49.1,19.6,1499,1.00,1,0,0,0
spx,SMA200 ±3% Band 1x/cash,1.0,10.08,10.63,0.517,0.582,0.478,-21.09,153980.76,1950-01-03,2026-06-17,76.45,29.4,1.0,80,1.00,1,1,1,1
spx,SMA200 ±3% Band + RSI>30 Exit 1x/cash,1.0,10.16,11.08,0.508,0.543,0.305,-33.27,162245.84,1950-01-03,2026-06-17,76.45,28.9,1.0,80,1.00,1,1,1,1
spx,Buy & Hold 2x,2.0,10.10,31.25,0.307,0.394,0.112,-90.32,155926.80,1950-01-03,2026-06-17,76.45,0.0,0.0,2,2.00,0,0,0,1
spx,SMA20 2x/cash,2.0,-0.26,19.49,0.468,0.487,-0.003,-96.63,81.52,1950-01-03,2026-06-17,76.45,38.8,26.4,2020,2.00,1,0,0,0
spx,SMA200 2x/cash,2.0,6.81,20.59,0.462,0.518,0.088,-77.34,15297.35,1950-01-03,2026-06-17,76.45,29.3,5.9,450,2.00,1,0,0,0
spx,SMA50/200 Golden Cross 2x/cash,2.0,11.25,23.39,0.407,0.425,0.190,-59.34,344552.48,1950-01-03,2026-06-17,76.45,29.1,1.0,78,2.00,1,1,0,1
spx,SMA200 2x monthly,2.0,10.31,23.18,0.384,0.395,0.162,-63.82,180409.17,1950-01-03,2026-06-17,76.45,29.9,1.3,100,2.00,1,0,0,1
spx,SMA200 ±3% Band 2x/cash,2.0,12.21,20.94,0.468,0.528,0.248,-49.27,663348.91,1950-01-03,2026-06-17,76.45,29.4,1.0,80,2.00,1,1,1,1
spx,SMA200 ±3% Band + RSI>30 Exit 2x/cash,2.0,12.21,21.85,0.459,0.492,0.206,-59.25,662887.63,1950-01-03,2026-06-17,76.45,28.9,1.0,80,2.00,1,1,0,1
spx,Guarded A5/B25 2x,2.0,0.03,18.11,0.477,0.489,0.000,-96.83,101.77,1950-01-03,2026-06-17,76.45,38.8,26.7,2043,1.75,1,0,0,0
spx,Guarded A10/B20 2x,2.0,0.44,16.53,0.511,0.510,0.004,-97.42,138.74,1950-01-03,2026-06-17,76.45,38.8,26.7,2040,1.52,1,0,0,0
spx,Guarded+ (200/2x/floor) 2x,2.0,7.64,15.75,0.508,0.550,0.132,-57.96,27723.21,1950-01-03,2026-06-17,76.45,29.3,6.1,468,1.42,1,0,0,0
spx,Mom 12m 2x/cash,2.0,7.53,23.22,0.350,0.372,0.102,-73.76,25660.94,1950-01-03,2026-06-17,76.45,26.4,3.7,280,2.00,0,0,0,0
spx,Golden 2x volguard,2.0,10.48,22.12,0.407,0.432,0.177,-59.25,202180.34,1950-01-03,2026-06-17,76.45,29.1,2.1,158,1.99,1,0,0,1
spx,BB Mean Reversion 2x/cash,2.0,2.39,20.09,0.185,0.107,0.030,-80.45,606.49,1950-01-03,2026-06-17,76.45,79.5,8.5,651,2.00,0,0,0,0
spx,Buy & Hold 3x,3.0,7.97,47.17,0.289,0.370,0.081,-98.83,34962.44,1950-01-03,2026-06-17,76.45,0.0,0.0,2,3.00,0,0,0,0
spx,SMA20 3x/cash,3.0,-0.76,29.38,0.439,0.456,-0.008,-98.82,55.64,1950-01-03,2026-06-17,76.45,38.8,26.4,2020,3.00,1,0,0,0
spx,SMA200 3x/cash,3.0,5.39,30.88,0.445,0.499,0.058,-93.05,5500.25,1950-01-03,2026-06-17,76.45,29.3,5.9,450,3.00,1,0,0,0
spx,SMA200 ±3% Band 3x/cash,3.0,13.34,31.41,0.452,0.510,0.189,-70.63,1429789.21,1950-01-03,2026-06-17,76.45,29.4,1.0,80,3.00,1,1,0,1
spx,SMA200 ±3% Band + RSI>30 Exit 3x/cash,3.0,13.03,32.78,0.444,0.476,0.166,-78.34,1164040.36,1950-01-03,2026-06-17,76.45,28.9,1.0,80,3.00,1,0,0,1
spx,Golden 3x volguard,3.0,7.32,30.56,0.379,0.406,0.091,-80.44,21975.34,1950-01-03,2026-06-17,76.45,29.1,7.3,561,2.86,1,0,0,0
spx,SMA200 ±3% Band + RSI Scale 1-3x,3.0,2.99,17.62,0.415,0.404,0.051,-58.17,944.46,1950-01-03,2026-06-17,76.45,28.9,21.7,1660,1.31,1,0,0,0
spx,SMA200 ±3% Band + VIX Scale 1-3x,3.0,8.48,15.24,0.515,0.516,0.202,-41.91,50139.39,1950-01-03,2026-06-17,76.45,28.9,7.1,543,1.13,1,1,1,0
spx,SMA200 ±3% Band + Distance Scale 1-3x,3.0,5.43,23.82,0.453,0.487,0.081,-66.93,5683.77,1950-01-03,2026-06-17,76.45,29.4,16.0,1227,2.12,1,0,0,0
spx,SMA200 ±3% Band + DD Scale 1-3x,3.0,10.38,12.19,0.521,0.570,0.377,-27.57,189639.24,1950-01-03,2026-06-17,76.45,29.4,1.7,131,1.09,1,1,1,1
spx,SMA200 ±3% Band + BB Scale 1-3x,3.0,3.25,13.60,0.434,0.436,0.063,-51.36,1148.83,1950-01-03,2026-06-17,76.45,29.4,9.2,706,1.08,1,0,1,0
spx,RSI Counter-Cyclical 1-3x,3.0,0.78,29.03,0.187,0.206,0.008,-92.79,180.29,1950-01-03,2026-06-17,76.45,10.9,43.8,3350,1.45,0,0,0,0
spx,VIX Counter-Cyclical 1-3x,3.0,5.30,30.04,0.300,0.337,0.055,-96.73,5165.29,1950-01-03,2026-06-17,76.45,0.0,9.0,691,1.22,0,0,0,0
spxew,Buy & Hold 1x,1.0,14.17,19.80,0.552,0.684,0.255,-55.50,2131.54,2003-05-01,2026-06-18,23.13,0.0,0.1,2,1.00,0,0,0,0
spxew,SMA20 1x/cash,1.0,1.26,12.27,0.378,0.384,0.022,-56.56,132.83,2003-05-01,2026-06-18,23.13,35.4,29.9,692,1.00,0,0,0,0
spxew,SMA200 1x/cash,1.0,7.43,11.95,0.441,0.500,0.231,-32.13,522.27,2003-05-01,2026-06-18,23.13,24.0,7.6,176,1.00,0,0,1,0
spxew,SMA50/200 Golden Cross 1x/cash,1.0,10.04,13.42,0.454,0.464,0.247,-40.68,910.82,2003-05-01,2026-06-18,23.13,25.7,1.1,26,1.00,0,0,1,0
spxew,BB Mean Reversion 1x/cash,1.0,5.51,13.07,0.277,0.154,0.150,-36.75,344.32,2003-05-01,2026-06-18,23.13,81.4,8.7,201,1.00,0,0,1,0
spxew,Momentum 12m 1x/cash,1.0,7.78,13.15,0.416,0.454,0.228,-34.13,563.19,2003-05-01,2026-06-18,23.13,22.9,5.1,118,1.00,0,0,1,0
spxew,MACD 1x/cash,1.0,3.22,12.13,0.458,0.419,0.101,-31.89,207.28,2003-05-01,2026-06-18,23.13,49.5,20.9,483,1.00,0,0,1,0
spxew,SMA200 ±3% Band 1x/cash,1.0,10.63,12.28,0.518,0.590,0.460,-23.11,1029.65,2003-05-01,2026-06-18,23.13,23.8,1.3,30,1.00,0,1,1,0
spxew,SMA200 ±3% Band + RSI>30 Exit 1x/cash,1.0,10.64,12.59,0.508,0.573,0.482,-22.09,1032.74,2003-05-01,2026-06-18,23.13,23.5,1.3,30,1.00,0,1,1,0
spxew,Buy & Hold 2x,2.0,17.94,39.59,0.518,0.643,0.207,-86.57,4526.45,2003-05-01,2026-06-18,23.13,0.0,0.1,2,2.00,0,0,0,1
spxew,SMA20 2x/cash,2.0,-1.62,24.53,0.344,0.350,-0.019,-85.19,68.18,2003-05-01,2026-06-18,23.13,35.4,29.9,692,2.00,0,0,0,0
spxew,SMA200 2x/cash,2.0,6.57,23.91,0.400,0.454,0.113,-58.43,434.05,2003-05-01,2026-06-18,23.13,24.0,7.6,176,2.00,0,0,0,0
spxew,SMA50/200 Golden Cross 2x/cash,2.0,11.50,26.84,0.418,0.429,0.170,-67.62,1233.72,2003-05-01,2026-06-18,23.13,25.7,1.1,26,2.00,0,0,0,0
spxew,SMA200 2x monthly,2.0,12.28,27.08,0.452,0.475,0.179,-68.79,1450.67,2003-05-01,2026-06-18,23.13,25.6,1.3,30,2.00,0,0,0,0
spxew,SMA200 ±3% Band 2x/cash,2.0,13.00,24.56,0.478,0.545,0.305,-42.66,1680.00,2003-05-01,2026-06-18,23.13,23.8,1.3,30,2.00,0,1,1,0
spxew,SMA200 ±3% Band + RSI>30 Exit 2x/cash,2.0,12.93,25.19,0.469,0.529,0.302,-42.85,1658.05,2003-05-01,2026-06-18,23.13,23.5,1.3,30,2.00,0,1,1,0
spxew,Guarded A5/B25 2x,2.0,-0.76,22.80,0.334,0.322,-0.009,-83.86,83.40,2003-05-01,2026-06-18,23.13,35.5,30.3,701,1.66,0,0,0,0
spxew,Guarded A10/B20 2x,2.0,0.19,21.55,0.354,0.333,0.002,-79.95,103.94,2003-05-01,2026-06-18,23.13,35.5,30.2,699,1.44,0,0,0,0
spxew,Guarded+ (200/2x/floor) 2x,2.0,7.59,17.53,0.425,0.450,0.156,-48.63,541.02,2003-05-01,2026-06-18,23.13,24.1,7.7,179,1.25,0,0,1,0
spxew,Mom 12m 2x/cash,2.0,6.88,26.30,0.378,0.413,0.111,-61.74,464.02,2003-05-01,2026-06-18,23.13,22.9,5.1,118,2.00,0,0,0,0
spxew,Golden 2x volguard,2.0,12.37,24.09,0.506,0.563,0.249,-49.63,1477.15,2003-05-01,2026-06-18,23.13,25.7,3.2,74,1.98,0,0,1,0
spxew,BB Mean Reversion 2x/cash,2.0,3.35,26.14,0.266,0.148,0.053,-62.99,213.46,2003-05-01,2026-06-18,23.13,81.4,8.7,201,2.00,0,0,0,0
spxew,Buy & Hold 3x,3.0,17.90,59.39,0.505,0.627,0.185,-96.69,4488.32,2003-05-01,2026-06-18,23.13,0.0,0.1,2,3.00,0,0,0,1
spxew,SMA20 3x/cash,3.0,-3.44,36.80,0.331,0.337,-0.036,-95.52,44.27,2003-05-01,2026-06-18,23.13,35.4,29.9,692,3.00,0,0,0,0
spxew,SMA200 3x/cash,3.0,4.83,35.87,0.385,0.437,0.064,-76.01,296.06,2003-05-01,2026-06-18,23.13,24.0,7.6,176,3.00,0,0,0,0
spxew,SMA200 ±3% Band 3x/cash,3.0,13.94,36.85,0.463,0.527,0.232,-60.21,2037.06,2003-05-01,2026-06-18,23.13,23.8,1.3,30,3.00,0,0,0,0
spxew,SMA200 ±3% Band + RSI>30 Exit 3x/cash,3.0,13.71,37.78,0.454,0.512,0.227,-60.43,1944.09,2003-05-01,2026-06-18,23.13,23.5,1.3,30,3.00,0,0,0,0
spxew,Golden 3x volguard,3.0,7.13,31.41,0.457,0.526,0.105,-67.96,489.23,2003-05-01,2026-06-18,23.13,25.7,13.3,308,2.78,0,0,0,0
spxew,SMA200 ±3% Band + RSI Scale 1-3x,3.0,3.93,20.17,0.480,0.493,0.089,-44.15,242.80,2003-05-01,2026-06-18,23.13,23.5,22.3,516,1.29,0,0,1,0
spxew,SMA200 ±3% Band + VIX Scale 1-3x,3.0,7.39,21.00,0.517,0.524,0.161,-45.97,517.48,2003-05-01,2026-06-18,23.13,23.5,13.7,317,1.21,0,0,1,0
spxew,SMA200 ±3% Band + Distance Scale 1-3x,3.0,5.15,29.26,0.450,0.479,0.083,-62.32,317.65,2003-05-01,2026-06-18,23.13,23.8,18.5,427,2.13,0,0,0,0
spxew,SMA200 ±3% Band + DD Scale 1-3x,3.0,11.27,14.59,0.537,0.585,0.482,-23.37,1177.27,2003-05-01,2026-06-18,23.13,23.8,1.9,43,1.05,0,1,1,0
spxew,SMA200 ±3% Band + BB Scale 1-3x,3.0,3.74,16.08,0.474,0.477,0.095,-39.44,232.78,2003-05-01,2026-06-18,23.13,23.8,10.8,249,1.09,0,0,1,0
