Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,10.42,21.68,0.343,0.461,0.145,-71.75,4522.91,1987-12-30,2026-06-18,38.47,0.0,0.1,2,1.0,0,0,0,0,0.2,0,0
Buy & Hold 2x,2.0,10.13,43.36,0.326,0.437,0.107,-95.06,4082.05,1987-12-30,2026-06-18,38.47,0.0,0.1,2,2.0,0,0,0,0,0.2,0,0
SMA20 1x/cash,1.0,5.2,13.63,0.455,0.483,0.121,-43.03,700.48,1987-12-30,2026-06-18,38.47,40.1,27.9,1072,1.0,1,0,1,0,0.2,1,1
SMA20 2x/cash,2.0,2.79,27.25,0.439,0.466,0.034,-82.98,288.01,1987-12-30,2026-06-18,38.47,40.1,27.9,1072,2.0,1,0,0,0,0.2,1,0
SMA200 1x/cash,1.0,9.3,13.99,0.423,0.467,0.26,-35.83,3054.92,1987-12-30,2026-06-18,38.47,31.0,5.6,216,1.0,1,1,1,0,0.2,1,1
SMA200 2x/cash,2.0,10.7,27.99,0.405,0.448,0.168,-63.68,4974.82,1987-12-30,2026-06-18,38.47,31.0,5.6,216,2.0,1,1,1,1,0.2,0,0
SMA50/200 Golden Cross 1x/cash,1.0,9.22,14.84,0.345,0.364,0.204,-45.19,2971.73,1987-12-30,2026-06-18,38.47,32.3,1.1,42,1.0,1,1,1,0,0.2,0,1
SMA50/200 Golden Cross 2x/cash,2.0,10.27,29.69,0.329,0.347,0.142,-72.24,4294.63,1987-12-30,2026-06-18,38.47,32.3,1.1,42,2.0,0,0,0,0,0.2,0,0
SMA200 +-3% Band 1x/cash,1.0,11.07,14.11,0.486,0.541,0.37,-29.9,5657.13,1987-12-30,2026-06-18,38.47,31.9,1.3,50,1.0,1,1,1,1,0.2,1,1
SMA200 +-3% Band 2x/cash,2.0,14.4,28.21,0.469,0.522,0.259,-55.62,17637.57,1987-12-30,2026-06-18,38.47,31.9,1.3,50,2.0,1,1,1,1,0.2,1,0
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,10.07,14.82,0.411,0.443,0.253,-39.8,4000.37,1987-12-30,2026-06-18,38.47,31.2,1.3,50,1.0,1,1,1,0,0.2,0,1
SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,12.08,29.63,0.395,0.426,0.178,-67.95,8019.43,1987-12-30,2026-06-18,38.47,31.2,1.3,50,2.0,1,1,1,1,0.2,0,0
MACD 1x/cash,1.0,4.66,13.66,0.243,0.232,0.09,-52.03,575.03,1987-12-30,2026-06-18,38.47,49.4,21.9,841,1.0,0,0,1,0,0.2,0,1
MACD 2x/cash,2.0,2.63,27.31,0.229,0.219,0.031,-85.18,270.5,1987-12-30,2026-06-18,38.47,49.4,21.9,841,2.0,0,0,0,0,0.2,0,0
BB Mean Reversion 1x/cash,1.0,5.55,13.86,0.131,0.085,0.124,-44.85,797.66,1987-12-30,2026-06-18,38.47,77.9,8.8,337,1.0,0,0,1,0,0.2,0,1
BB Mean Reversion 2x/cash,2.0,4.2,27.72,0.124,0.081,0.052,-80.21,486.63,1987-12-30,2026-06-18,38.47,77.9,8.8,337,2.0,0,0,0,0,0.2,0,0
Momentum 12m 1x/cash,1.0,8.06,14.7,0.293,0.322,0.235,-34.33,1967.81,1987-12-30,2026-06-18,38.47,32.1,4.1,156,1.0,0,1,1,0,0.2,0,1
Momentum 12m 2x/cash,2.0,7.96,29.4,0.277,0.304,0.114,-69.78,1899.13,1987-12-30,2026-06-18,38.47,32.1,4.1,156,2.0,0,0,1,0,0.2,0,0
Guarded A5/B25 2x,2.0,3.17,25.91,0.44,0.458,0.043,-74.41,332.08,1987-12-30,2026-06-18,38.47,40.1,28.2,1085,1.85,1,0,0,0,0.2,0,0
Guarded A10/B20 2x,2.0,3.69,24.13,0.406,0.403,0.053,-70.21,402.71,1987-12-30,2026-06-18,38.47,40.1,28.1,1082,1.61,1,0,1,0,0.2,0,0
Guarded+ (200/2x/floor) 2x,2.0,9.9,24.69,0.394,0.428,0.168,-59.06,3768.11,1987-12-30,2026-06-18,38.47,31.0,6.0,230,1.72,1,1,1,0,0.2,0,0
Golden 2x volguard,2.0,11.82,28.14,0.395,0.437,0.2,-58.99,7332.13,1987-12-30,2026-06-18,38.47,32.3,2.9,112,1.98,1,1,1,1,0.2,0,0
SMA200 2x monthly,2.0,10.11,29.86,0.325,0.344,0.125,-80.71,4062.22,1987-12-30,2026-06-18,38.47,32.8,1.2,48,2.0,0,0,0,0,0.2,0,0
SMA200 2x 3% band,2.0,14.4,28.21,0.469,0.522,0.259,-55.62,17637.57,1987-12-30,2026-06-18,38.47,31.9,1.3,50,2.0,1,1,1,1,0.2,1,0
Mom 12m 2x/cash,2.0,7.96,29.4,0.277,0.304,0.114,-69.78,1899.13,1987-12-30,2026-06-18,38.47,32.1,4.1,156,2.0,0,0,1,0,0.2,0,0
RSI Scale 1-2x,2.0,9.68,16.48,0.385,0.387,0.16,-60.35,3483.63,1987-12-30,2026-06-18,38.47,31.2,2.8,107,1.01,1,1,1,0,0.2,0,1
VIX Scale 1-2x,2.0,7.7,19.01,0.282,0.27,0.12,-63.97,1732.69,1987-12-30,2026-06-18,38.47,31.2,6.0,232,1.08,0,0,1,0,0.2,0,1
Distance Scale 1-2x,2.0,12.35,23.69,0.492,0.533,0.264,-46.77,8797.98,1987-12-30,2026-06-18,38.47,31.9,8.9,342,1.63,1,1,1,1,0.2,1,0
DD Scale 1-2x,2.0,12.19,17.9,0.489,0.528,0.353,-34.56,8336.81,1987-12-30,2026-06-18,38.47,31.9,1.9,75,1.19,1,1,1,1,0.2,1,1
BB Scale 1-2x,2.0,9.16,15.78,0.424,0.44,0.28,-32.71,2905.8,1987-12-30,2026-06-18,38.47,31.9,8.9,342,1.04,1,1,1,0,0.2,0,1
SMA200 +-3% Band + RSI Scale 1-2x,2.0,9.68,16.48,0.385,0.387,0.16,-60.35,3483.63,1987-12-30,2026-06-18,38.47,31.2,2.8,107,1.01,1,1,1,0,0.2,0,1
SMA200 +-3% Band + VIX Scale 1-2x,2.0,7.7,19.01,0.282,0.27,0.12,-63.97,1732.69,1987-12-30,2026-06-18,38.47,31.2,6.0,232,1.08,0,0,1,0,0.2,0,1
SMA200 +-3% Band + RSI>30 Exit + RSI Scale 1-2x,2.0,9.68,16.48,0.385,0.387,0.16,-60.35,3483.63,1987-12-30,2026-06-18,38.47,31.2,2.8,107,1.01,1,1,1,0,0.2,0,1
