Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,8.87,15.33,0.305,0.376,0.161,-54.94,3107.57,1985-12-31,2026-06-19,40.47,0.0,0.0,2,1.0,0,0,0,0,0.2,0,0
Buy & Hold 2x,2.0,9.08,30.66,0.281,0.346,0.109,-83.18,3367.11,1985-12-31,2026-06-19,40.47,0.0,0.0,2,2.0,0,0,0,1,0.2,0,0
SMA20 1x/cash,1.0,10.97,9.48,1.181,1.214,0.302,-36.36,6730.5,1985-12-31,2026-06-19,40.47,40.3,22.8,922,1.0,1,1,1,1,0.2,1,1
SMA20 2x/cash,2.0,16.03,18.95,1.159,1.194,0.236,-67.96,40958.19,1985-12-31,2026-06-19,40.47,40.3,22.8,922,2.0,1,1,0,1,0.2,1,0
SMA200 1x/cash,1.0,8.15,9.74,0.473,0.471,0.282,-28.92,2379.5,1985-12-31,2026-06-19,40.47,34.2,6.3,254,1.0,1,1,1,0,0.2,1,1
SMA200 2x/cash,2.0,9.35,19.47,0.45,0.448,0.162,-57.58,3717.89,1985-12-31,2026-06-19,40.47,34.2,6.3,254,2.0,1,1,0,1,0.2,1,0
SMA50/200 Golden Cross 1x/cash,1.0,6.95,10.95,0.164,0.152,0.152,-45.73,1514.52,1985-12-31,2026-06-19,40.47,34.6,1.5,62,1.0,0,0,1,0,0.2,0,1
SMA50/200 Golden Cross 2x/cash,2.0,6.67,21.91,0.143,0.133,0.088,-75.56,1360.02,1985-12-31,2026-06-19,40.47,34.6,1.5,62,2.0,0,0,0,0,0.2,0,0
SMA200 +-3% Band 1x/cash,1.0,9.27,9.84,0.461,0.454,0.46,-20.14,3599.93,1985-12-31,2026-06-19,40.47,35.1,1.2,50,1.0,1,1,1,1,0.2,1,1
SMA200 +-3% Band 2x/cash,2.0,11.63,19.69,0.438,0.432,0.267,-43.6,8560.26,1985-12-31,2026-06-19,40.47,35.1,1.2,50,2.0,1,1,1,1,0.2,1,0
