Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,13.58,17.83,0.566,0.751,0.321,-42.26,2670.0,2000-08-30,2026-06-19,25.8,0.0,0.1,2,1.0,0,0,0,0,0.15,0,0
Buy & Hold 2x,2.0,18.18,35.66,0.545,0.723,0.245,-74.19,7436.55,2000-08-30,2026-06-19,25.8,0.0,0.1,2,2.0,0,0,0,1,0.15,0,0
SMA20 1x/cash,1.0,6.49,13.07,0.416,0.416,0.2,-32.43,506.34,2000-08-30,2026-06-19,25.8,44.0,28.6,737,1.0,0,0,1,0,0.15,0,1
SMA20 2x/cash,2.0,5.14,26.14,0.399,0.399,0.074,-69.64,364.15,2000-08-30,2026-06-19,25.8,44.0,28.6,737,2.0,0,0,0,0,0.15,0,0
SMA200 1x/cash,1.0,10.16,14.96,0.47,0.514,0.258,-39.44,1212.19,2000-08-30,2026-06-19,25.8,29.4,8.0,207,1.0,0,0,1,0,0.15,0,1
SMA200 2x/cash,2.0,11.89,29.92,0.452,0.495,0.173,-68.88,1811.33,2000-08-30,2026-06-19,25.8,29.4,8.0,207,2.0,0,0,0,0,0.15,0,0
SMA50/200 Golden Cross 1x/cash,1.0,11.57,14.97,0.521,0.567,0.385,-30.05,1683.03,2000-08-30,2026-06-19,25.8,28.9,1.3,34,1.0,0,1,1,0,0.15,0,1
SMA50/200 Golden Cross 2x/cash,2.0,14.99,29.93,0.502,0.548,0.245,-61.12,3667.4,2000-08-30,2026-06-19,25.8,28.9,1.3,34,2.0,0,0,0,1,0.15,0,0
SMA200 +-3% Band 1x/cash,1.0,11.44,15.08,0.506,0.559,0.301,-38.05,1632.74,2000-08-30,2026-06-19,25.8,27.2,1.4,35,1.0,0,0,1,0,0.15,0,1
SMA200 +-3% Band 2x/cash,2.0,14.63,30.16,0.488,0.539,0.21,-69.74,3384.91,2000-08-30,2026-06-19,25.8,27.2,1.4,35,2.0,0,0,0,1,0.15,0,0
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,11.02,15.16,0.474,0.525,0.278,-39.64,1480.44,2000-08-30,2026-06-19,25.8,26.5,1.4,35,1.0,0,0,1,0,0.15,0,1
SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,13.68,30.31,0.456,0.505,0.192,-71.42,2732.34,2000-08-30,2026-06-19,25.8,26.5,1.4,35,2.0,0,0,0,1,0.15,0,0
MACD 1x/cash,1.0,7.61,12.67,0.46,0.44,0.263,-28.92,662.26,2000-08-30,2026-06-19,25.8,48.0,20.2,522,1.0,0,0,1,0,0.15,0,1
MACD 2x/cash,2.0,7.37,25.35,0.444,0.425,0.135,-54.63,624.91,2000-08-30,2026-06-19,25.8,48.0,20.2,522,2.0,0,0,0,0,0.15,0,0
BB Mean Reversion 1x/cash,1.0,8.02,8.48,0.473,0.278,0.508,-15.78,730.43,2000-08-30,2026-06-19,25.8,79.9,7.6,196,1.0,0,1,1,0,0.15,0,1
BB Mean Reversion 2x/cash,2.0,9.17,16.95,0.463,0.273,0.294,-31.16,959.79,2000-08-30,2026-06-19,25.8,79.9,7.6,196,2.0,0,0,1,0,0.15,0,1
Momentum 12m 1x/cash,1.0,10.25,15.48,0.457,0.501,0.259,-39.56,1237.63,2000-08-30,2026-06-19,25.8,28.0,5.7,148,1.0,0,0,1,0,0.15,0,1
Momentum 12m 2x/cash,2.0,11.99,30.96,0.439,0.482,0.175,-68.31,1854.06,2000-08-30,2026-06-19,25.8,28.0,5.7,148,2.0,0,0,0,0,0.15,0,0
Guarded A5/B25 2x,2.0,6.34,23.84,0.458,0.481,0.09,-70.59,488.15,2000-08-30,2026-06-19,25.8,44.0,29.3,755,1.85,0,0,0,0,0.15,0,0
Guarded A10/B20 2x,2.0,5.44,21.26,0.407,0.423,0.088,-61.82,391.29,2000-08-30,2026-06-19,25.8,44.0,28.8,744,1.64,0,0,0,0,0.15,0,0
Guarded+ (200/2x/floor) 2x,2.0,8.42,24.49,0.337,0.364,0.132,-63.89,804.24,2000-08-30,2026-06-19,25.8,29.4,8.5,220,1.59,0,0,0,0,0.15,0,0
Golden 2x volguard,2.0,15.22,27.67,0.556,0.599,0.267,-56.93,3862.95,2000-08-30,2026-06-19,25.8,28.9,5.9,153,1.9,0,0,0,1,0.15,0,0
