Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,16.32,14.73,0.754,0.996,0.637,-25.6,1217.59,2009-12-01,2026-06-19,16.55,0.0,0.1,2,1.0,0,0,0,0,0.15,0,0
Buy & Hold 2x,2.0,23.85,29.47,0.73,0.963,0.52,-45.84,3439.34,2009-12-01,2026-06-19,16.55,0.0,0.1,2,2.0,0,0,0,1,0.15,0,0
SMA20 1x/cash,1.0,8.35,9.81,0.477,0.503,0.263,-31.72,376.38,2009-12-01,2026-06-19,16.55,35.9,28.2,466,1.0,0,0,0,0,0.15,0,1
SMA20 2x/cash,2.0,8.28,19.61,0.455,0.48,0.141,-58.75,372.6,2009-12-01,2026-06-19,16.55,35.9,28.2,466,2.0,0,0,0,0,0.15,0,0
SMA200 1x/cash,1.0,11.03,10.88,0.568,0.718,0.435,-25.38,564.26,2009-12-01,2026-06-19,16.55,19.7,7.9,130,1.0,0,0,1,0,0.15,0,1
SMA200 2x/cash,2.0,13.36,21.76,0.543,0.687,0.272,-49.19,795.34,2009-12-01,2026-06-19,16.55,19.7,7.9,130,2.0,0,0,0,0,0.15,0,0
SMA50/200 Golden Cross 1x/cash,1.0,11.43,11.65,0.477,0.558,0.421,-27.13,598.34,2009-12-01,2026-06-19,16.55,22.0,1.2,20,1.0,0,0,0,0,0.15,0,1
SMA50/200 Golden Cross 2x/cash,2.0,14.03,23.3,0.454,0.531,0.291,-48.22,877.34,2009-12-01,2026-06-19,16.55,22.0,1.2,20,2.0,0,0,0,0,0.15,0,0
SMA200 +-3% Band 1x/cash,1.0,11.55,11.13,0.535,0.671,0.387,-29.85,608.91,2009-12-01,2026-06-19,16.55,20.3,1.3,22,1.0,0,0,0,0,0.15,0,1
SMA200 +-3% Band 2x/cash,2.0,14.51,22.27,0.511,0.641,0.265,-54.85,940.11,2009-12-01,2026-06-19,16.55,20.3,1.3,22,2.0,0,0,0,0,0.15,0,0
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,11.29,11.32,0.497,0.618,0.378,-29.83,586.22,2009-12-01,2026-06-19,16.55,20.0,1.3,22,1.0,0,0,0,0,0.15,0,1
SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,13.91,22.64,0.473,0.589,0.254,-54.81,861.11,2009-12-01,2026-06-19,16.55,20.0,1.3,22,2.0,0,0,0,0,0.15,0,0
MACD 1x/cash,1.0,9.88,9.44,0.636,0.592,0.492,-20.06,474.45,2009-12-01,2026-06-19,16.55,48.6,19.9,329,1.0,0,0,1,0,0.15,0,1
MACD 2x/cash,2.0,11.31,18.87,0.617,0.575,0.308,-36.7,588.03,2009-12-01,2026-06-19,16.55,48.6,19.9,329,2.0,0,0,0,0,0.15,0,0
BB Mean Reversion 1x/cash,1.0,10.19,8.76,0.593,0.338,0.488,-20.89,497.16,2009-12-01,2026-06-19,16.55,81.2,9.1,151,1.0,0,0,1,0,0.15,0,1
BB Mean Reversion 2x/cash,2.0,12.29,17.52,0.584,0.333,0.318,-38.63,679.8,2009-12-01,2026-06-19,16.55,81.2,9.1,151,2.0,0,0,0,0,0.15,0,0
Momentum 12m 1x/cash,1.0,10.13,12.31,0.345,0.414,0.322,-31.45,492.75,2009-12-01,2026-06-19,16.55,17.0,5.9,98,1.0,0,0,0,0,0.15,0,1
Momentum 12m 2x/cash,2.0,11.11,24.62,0.321,0.386,0.207,-53.76,570.57,2009-12-01,2026-06-19,16.55,17.0,5.9,98,2.0,0,0,0,0,0.15,0,0
Guarded A5/B25 2x,2.0,8.86,17.7,0.453,0.458,0.163,-54.29,407.1,2009-12-01,2026-06-19,16.55,35.9,28.6,474,1.69,0,0,0,0,0.15,0,0
