Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,16.46,25.58,0.551,0.727,0.199,-82.55,49586.09,1985-10-01,2026-06-24,40.73,0.0,0.0,2,1.0,0,0,0,0,0.1,,
Buy & Hold 2x,2.0,19.75,51.29,0.524,0.694,0.2,-98.85,154232.53,1985-10-01,2026-06-24,40.73,0.0,0.0,2,2.0,0,1,0,1,0.1,,
Buy & Hold 3x,3.0,16.97,77.18,0.516,0.684,0.17,-99.97,59076.89,1985-10-01,2026-06-24,40.73,0.0,0.0,2,3.0,0,0,0,1,0.1,,
SMA20 1x/cash,1.0,10.12,15.92,0.578,0.598,0.249,-40.72,5075.27,1985-10-01,2026-06-24,40.73,38.2,28.5,1159,1.0,1,1,1,0,0.1,,
SMA20 2x/cash,2.0,11.24,31.66,0.541,0.561,0.127,-88.43,7644.26,1985-10-01,2026-06-24,40.73,38.2,28.5,1159,2.0,0,0,0,0,0.1,,
SMA20 3x/cash,3.0,10.27,47.61,0.529,0.549,0.104,-98.33,5364.97,1985-10-01,2026-06-24,40.73,38.2,28.5,1159,3.0,0,0,0,0,0.1,,
SMA200 1x/cash,1.0,13.7,17.82,0.578,0.659,0.233,-58.78,18625.47,1985-10-01,2026-06-24,40.73,26.2,6.8,278,1.0,1,1,1,0,0.1,,
SMA200 2x/cash,2.0,18.56,35.52,0.565,0.644,0.217,-85.4,102698.66,1985-10-01,2026-06-24,40.73,26.2,6.8,278,2.0,1,1,0,1,0.1,,
SMA200 3x/cash,3.0,19.79,53.26,0.555,0.634,0.206,-96.25,155879.8,1985-10-01,2026-06-24,40.73,26.2,6.8,278,3.0,1,1,0,1,0.1,,
SMA50/200 Golden Cross 1x/cash,1.0,15.93,19.5,0.602,0.672,0.399,-39.95,41181.06,1985-10-01,2026-06-24,40.73,26.5,1.3,52,1.0,1,1,1,0,0.1,,
SMA50/200 Golden Cross 2x/cash,2.0,22.4,38.81,0.581,0.648,0.336,-66.68,375237.06,1985-10-01,2026-06-24,40.73,26.5,1.3,52,2.0,1,1,1,1,0.1,,
SMA200 +-3% Band 1x/cash,1.0,13.98,18.08,0.551,0.609,0.28,-49.96,20632.06,1985-10-01,2026-06-24,40.73,26.9,1.8,72,1.0,0,1,1,0,0.1,,
SMA200 +-3% Band 2x/cash,2.0,18.74,36.07,0.529,0.582,0.232,-80.96,109146.8,1985-10-01,2026-06-24,40.73,26.9,1.8,72,2.0,0,1,1,1,0.1,,
SMA200 +-3% Band 3x/cash,3.0,20.1,54.1,0.523,0.576,0.214,-93.71,173222.95,1985-10-01,2026-06-24,40.73,26.9,1.8,72,3.0,0,1,0,1,0.1,,
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,14.48,18.55,0.56,0.619,0.29,-49.96,24632.84,1985-10-01,2026-06-24,40.73,26.4,1.8,72,1.0,1,1,1,0,0.1,,
SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,19.68,37.02,0.539,0.593,0.243,-80.95,150516.27,1985-10-01,2026-06-24,40.73,26.4,1.8,72,2.0,0,1,1,1,0.1,,
SMA200 +-3% Band + RSI>30 Exit 3x/cash,3.0,21.41,55.5,0.532,0.586,0.228,-93.71,269988.47,1985-10-01,2026-06-24,40.73,26.4,1.8,72,3.0,0,1,0,1,0.1,,
MACD 1x/cash,1.0,8.09,15.88,0.368,0.339,0.129,-62.78,2372.44,1985-10-01,2026-06-24,40.73,48.8,20.4,829,1.0,0,0,1,0,0.1,,
MACD 2x/cash,2.0,7.89,31.58,0.348,0.323,0.084,-93.67,2205.4,1985-10-01,2026-06-24,40.73,48.8,20.4,829,2.0,0,0,0,0,0.1,,
MACD 3x/cash,3.0,7.01,47.58,0.338,0.314,0.071,-99.22,1575.69,1985-10-01,2026-06-24,40.73,48.8,20.4,829,3.0,0,0,0,0,0.1,,
BB Mean Reversion 1x/cash,1.0,8.4,16.17,0.288,0.176,0.179,-46.89,2671.92,1985-10-01,2026-06-24,40.73,80.6,8.3,337,1.0,0,0,1,0,0.1,,
BB Mean Reversion 2x/cash,2.0,8.56,32.78,0.281,0.174,0.108,-79.27,2831.57,1985-10-01,2026-06-24,40.73,80.6,8.3,337,2.0,0,0,1,0,0.1,,
Momentum 12m 1x/cash,1.0,15.08,20.08,0.579,0.667,0.327,-46.16,30521.48,1985-10-01,2026-06-24,40.73,19.8,3.3,136,1.0,1,1,1,0,0.1,,
Momentum 12m 2x/cash,2.0,20.26,39.95,0.559,0.644,0.274,-73.94,183135.44,1985-10-01,2026-06-24,40.73,19.8,3.3,136,2.0,1,1,1,1,0.1,,
Momentum 12m 3x/cash,3.0,21.05,59.91,0.552,0.637,0.226,-93.34,239144.06,1985-10-01,2026-06-24,40.73,19.8,3.3,136,3.0,1,1,0,1,0.1,,
Guarded A5/B25 2x,2.0,11.53,29.46,0.546,0.557,0.133,-87.0,8510.82,1985-10-01,2026-06-24,40.73,38.2,29.0,1183,1.79,0,0,0,0,0.1,,
Guarded A10/B20 2x,2.0,11.01,27.04,0.533,0.537,0.127,-86.68,7024.77,1985-10-01,2026-06-24,40.73,38.2,28.8,1173,1.63,0,0,0,0,0.1,,
Guarded+ (200/2x/floor) 2x,2.0,18.01,31.36,0.585,0.652,0.217,-82.85,84942.56,1985-10-01,2026-06-24,40.73,26.2,7.7,313,1.69,1,1,0,1,0.1,,
Golden 2x volguard,2.0,19.88,36.44,0.54,0.603,0.297,-66.86,160924.08,1985-10-01,2026-06-24,40.73,26.5,3.6,148,1.96,0,1,1,1,0.1,,
Golden 3x volguard,3.0,18.87,46.84,0.5,0.563,0.227,-83.23,114044.78,1985-10-01,2026-06-24,40.73,26.5,13.3,542,2.7,0,1,0,1,0.1,,
SMA200 2x monthly,2.0,18.45,38.05,0.485,0.529,0.251,-73.39,98879.77,1985-10-01,2026-06-24,40.73,28.8,1.5,60,2.0,0,1,1,1,0.1,,
SMA200 2x 3% band,2.0,18.74,36.07,0.529,0.582,0.232,-80.96,109146.8,1985-10-01,2026-06-24,40.73,26.9,1.8,72,2.0,0,1,1,1,0.1,,
Mom 12m 2x/cash,2.0,20.26,39.95,0.559,0.644,0.274,-73.94,183135.44,1985-10-01,2026-06-24,40.73,19.8,3.3,136,2.0,1,1,1,1,0.1,,
RSI Scale 1-3x,3.0,14.67,30.77,0.47,0.457,0.185,-79.18,26385.91,1985-10-01,2026-06-24,40.73,26.4,23.9,973,1.29,0,0,1,0,0.1,,
VIX Scale 1-3x,3.0,18.0,31.89,0.571,0.57,0.257,-70.1,84536.01,1985-10-01,2026-06-24,40.73,26.4,13.5,551,1.27,1,1,1,1,0.1,,
Distance Scale 1-3x,3.0,16.04,35.13,0.511,0.512,0.217,-73.96,42786.22,1985-10-01,2026-06-24,40.73,26.9,21.2,865,1.73,0,1,1,0,0.1,,
DD Scale 1-3x,3.0,14.32,29.36,0.451,0.47,0.196,-73.11,23253.48,1985-10-01,2026-06-24,40.73,26.9,3.4,137,1.52,0,0,1,0,0.1,,
BB Scale 1-3x,3.0,13.04,24.1,0.473,0.439,0.224,-58.35,14713.13,1985-10-01,2026-06-24,40.73,26.9,10.0,407,1.07,0,1,1,0,0.1,,
SMA200 +-3% Band + RSI Scale 1-3x,3.0,14.67,30.77,0.47,0.457,0.185,-79.18,26385.91,1985-10-01,2026-06-24,40.73,26.4,23.9,973,1.29,0,0,1,0,0.1,,
SMA200 +-3% Band + VIX Scale 1-3x,3.0,18.0,31.89,0.571,0.57,0.257,-70.1,84536.01,1985-10-01,2026-06-24,40.73,26.4,13.5,551,1.27,1,1,1,1,0.1,,
