Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,10.18,21.73,0.332,0.435,0.173,-58.82,3431.45,1990-01-03,2026-06-24,36.47,0.0,0.1,2,1.0,0,0,0,0,0.15,0,0
Buy & Hold 2x,2.0,9.59,43.46,0.314,0.413,0.109,-88.23,2817.76,1990-01-03,2026-06-24,36.47,0.0,0.1,2,2.0,0,0,0,0,0.15,0,0
Buy & Hold 3x,3.0,5.03,65.19,0.302,0.397,0.051,-98.23,597.85,1990-01-03,2026-06-24,36.47,0.0,0.1,2,3.0,0,0,0,0,0.15,0,0
SMA20 1x/cash,1.0,5.3,13.68,0.412,0.427,0.09,-59.2,657.35,1990-01-03,2026-06-24,36.47,40.0,28.5,1038,1.0,1,0,0,0,0.15,0,1
SMA20 2x/cash,2.0,3.23,27.35,0.397,0.411,0.034,-94.03,317.82,1990-01-03,2026-06-24,36.47,40.0,28.5,1038,2.0,1,0,0,0,0.15,0,0
SMA20 3x/cash,3.0,0.33,41.03,0.386,0.4,0.003,-99.32,112.6,1990-01-03,2026-06-24,36.47,40.0,28.5,1038,3.0,1,0,0,0,0.15,0,0
SMA200 1x/cash,1.0,7.39,13.7,0.31,0.346,0.181,-40.77,1346.51,1990-01-03,2026-06-24,36.47,32.2,8.1,294,1.0,0,1,1,0,0.15,0,1
SMA200 2x/cash,2.0,7.01,27.4,0.293,0.327,0.092,-75.93,1180.67,1990-01-03,2026-06-24,36.47,32.2,8.1,294,2.0,0,0,0,0,0.15,0,0
SMA200 3x/cash,3.0,5.05,41.11,0.281,0.314,0.054,-92.85,602.02,1990-01-03,2026-06-24,36.47,32.2,8.1,294,3.0,0,0,0,0,0.15,0,0
SMA50/200 Golden Cross 1x/cash,1.0,6.93,15.31,0.193,0.2,0.141,-49.02,1151.69,1990-01-03,2026-06-24,36.47,31.7,1.4,52,1.0,0,0,1,0,0.15,0,1
SMA50/200 Golden Cross 2x/cash,2.0,5.61,30.62,0.177,0.184,0.072,-78.37,729.75,1990-01-03,2026-06-24,36.47,31.7,1.4,52,2.0,0,0,0,0,0.15,0,0
SMA200 +-3% Band 1x/cash,1.0,7.37,13.95,0.231,0.254,0.177,-41.71,1336.24,1990-01-03,2026-06-24,36.47,33.3,2.0,74,1.0,0,1,1,0,0.15,0,1
SMA200 +-3% Band 2x/cash,2.0,6.91,27.9,0.215,0.236,0.094,-73.16,1141.94,1990-01-03,2026-06-24,36.47,33.3,2.0,74,2.0,0,0,0,0,0.15,0,0
SMA200 +-3% Band 3x/cash,3.0,4.92,41.85,0.203,0.223,0.054,-91.47,575.79,1990-01-03,2026-06-24,36.47,33.3,2.0,74,3.0,0,0,0,0,0.15,0,0
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,7.99,14.05,0.285,0.316,0.204,-39.19,1644.97,1990-01-03,2026-06-24,36.47,32.9,2.0,74,1.0,0,1,1,0,0.15,0,1
