Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,9.99,15.86,0.357,0.457,0.181,-55.13,145428.43,1950-01-03,2026-06-24,76.47,0.0,0.0,2,1.0,0,0,0,0,0.1,,
Buy & Hold 2x,2.0,10.08,31.25,0.306,0.393,0.112,-90.32,154188.15,1950-01-03,2026-06-24,76.47,0.0,0.0,2,2.0,0,0,0,1,0.1,,
Buy & Hold 3x,3.0,7.93,47.17,0.289,0.369,0.08,-98.83,34228.69,1950-01-03,2026-06-24,76.47,0.0,0.0,2,3.0,0,0,0,0,0.1,,
SMA20 1x/cash,1.0,6.95,9.83,0.486,0.504,0.134,-51.93,16971.41,1950-01-03,2026-06-24,76.47,38.8,26.5,2023,1.0,1,0,1,0,0.1,,
SMA20 2x/cash,2.0,6.93,19.49,0.467,0.487,0.08,-86.47,16799.82,1950-01-03,2026-06-24,76.47,38.8,26.5,2023,2.0,1,0,0,0,0.1,,
SMA20 3x/cash,3.0,5.49,29.37,0.439,0.455,0.056,-97.75,5967.12,1950-01-03,2026-06-24,76.47,38.8,26.5,2023,3.0,1,0,0,0,0.1,,
SMA200 1x/cash,1.0,9.71,10.45,0.508,0.568,0.415,-23.43,119736.78,1950-01-03,2026-06-24,76.47,29.3,5.9,450,1.0,1,1,1,0,0.1,,
SMA200 2x/cash,2.0,11.65,20.59,0.461,0.516,0.214,-54.39,455214.36,1950-01-03,2026-06-24,76.47,29.3,5.9,450,2.0,1,1,1,1,0.1,,
SMA200 3x/cash,3.0,12.57,30.88,0.444,0.498,0.159,-79.09,854924.26,1950-01-03,2026-06-24,76.47,29.3,5.9,450,3.0,1,0,0,1,0.1,,
SMA50/200 Golden Cross 1x/cash,1.0,10.19,11.84,0.454,0.473,0.302,-33.72,166523.68,1950-01-03,2026-06-24,76.47,29.1,1.0,78,1.0,1,1,1,1,0.1,,
SMA50/200 Golden Cross 2x/cash,2.0,12.06,23.39,0.406,0.423,0.203,-59.34,605789.93,1950-01-03,2026-06-24,76.47,29.1,1.0,78,2.0,1,1,0,1,0.1,,
SMA200 +-3% Band 1x/cash,1.0,10.48,10.63,0.516,0.581,0.529,-19.82,204255.04,1950-01-03,2026-06-24,76.47,29.3,1.0,80,1.0,1,1,1,1,0.1,,
SMA200 +-3% Band 2x/cash,2.0,13.05,20.94,0.467,0.526,0.285,-45.72,1183279.97,1950-01-03,2026-06-24,76.47,29.3,1.0,80,2.0,1,1,1,1,0.1,,
SMA200 +-3% Band 3x/cash,3.0,14.63,31.41,0.451,0.508,0.217,-67.3,3432441.7,1950-01-03,2026-06-24,76.47,29.3,1.0,80,3.0,1,1,0,1,0.1,,
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,10.56,11.08,0.506,0.542,0.317,-33.27,215239.96,1950-01-03,2026-06-24,76.47,28.9,1.0,80,1.0,1,1,1,1,0.1,,
SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,13.05,21.85,0.458,0.491,0.22,-59.25,1182226.65,1950-01-03,2026-06-24,76.47,28.9,1.0,80,2.0,1,1,0,1,0.1,,
SMA200 +-3% Band + RSI>30 Exit 3x/cash,3.0,14.32,32.78,0.443,0.475,0.183,-78.34,2786339.17,1950-01-03,2026-06-24,76.47,28.9,1.0,80,3.0,1,1,0,1,0.1,,
MACD 1x/cash,1.0,6.83,9.74,0.395,0.375,0.158,-43.28,15622.59,1950-01-03,2026-06-24,76.47,49.2,19.6,1499,1.0,1,0,1,0,0.1,,
MACD 2x/cash,2.0,6.48,19.3,0.368,0.351,0.081,-80.24,12126.35,1950-01-03,2026-06-24,76.47,49.2,19.6,1499,2.0,1,0,0,0,0.1,,
MACD 3x/cash,3.0,5.1,29.12,0.348,0.331,0.053,-95.4,4482.49,1950-01-03,2026-06-24,76.47,49.2,19.6,1499,3.0,0,0,0,0,0.1,,
BB Mean Reversion 1x/cash,1.0,7.12,10.24,0.222,0.129,0.217,-32.79,19254.73,1950-01-03,2026-06-24,76.47,79.5,8.5,651,1.0,0,1,1,0,0.1,,
BB Mean Reversion 2x/cash,2.0,6.75,20.09,0.185,0.107,0.102,-66.0,14726.08,1950-01-03,2026-06-24,76.47,79.5,8.5,651,2.0,0,0,0,0,0.1,,
Momentum 12m 1x/cash,1.0,9.31,11.78,0.397,0.422,0.226,-41.24,90134.15,1950-01-03,2026-06-24,76.47,26.4,3.7,280,1.0,1,1,1,0,0.1,,
Momentum 12m 2x/cash,2.0,10.24,23.22,0.349,0.371,0.143,-71.42,172433.64,1950-01-03,2026-06-24,76.47,26.4,3.7,280,2.0,0,0,0,1,0.1,,
Momentum 12m 3x/cash,3.0,9.86,34.84,0.334,0.356,0.112,-88.23,132565.38,1950-01-03,2026-06-24,76.47,26.4,3.7,280,3.0,0,0,0,0,0.1,,
