Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,13.85,19.79,0.534,0.663,0.249,-55.62,2010.73,2003-05-02,2026-06-24,23.15,0.0,0.1,2,1.0,0,0,0,0,0.12,0,0
Buy & Hold 2x,2.0,17.89,39.58,0.515,0.64,0.207,-86.54,4509.66,2003-05-02,2026-06-24,23.15,0.0,0.1,2,2.0,0,0,0,1,0.12,0,0
Buy & Hold 3x,3.0,17.85,59.37,0.502,0.624,0.185,-96.67,4469.39,2003-05-02,2026-06-24,23.15,0.0,0.1,2,3.0,0,0,0,1,0.12,0,0
SMA20 1x/cash,1.0,7.08,12.26,0.357,0.364,0.153,-46.28,486.35,2003-05-02,2026-06-24,23.15,35.4,29.9,692,1.0,0,0,1,0,0.12,0,1
SMA20 2x/cash,2.0,6.52,24.52,0.339,0.345,0.086,-76.05,431.29,2003-05-02,2026-06-24,23.15,35.4,29.9,692,2.0,0,0,0,0,0.12,0,0
SMA20 3x/cash,3.0,5.44,36.78,0.326,0.332,0.061,-89.29,340.44,2003-05-02,2026-06-24,23.15,35.4,29.9,692,3.0,0,0,0,0,0.12,0,0
SMA200 1x/cash,1.0,9.48,11.95,0.42,0.476,0.396,-23.96,812.22,2003-05-02,2026-06-24,23.15,24.0,7.6,176,1.0,0,1,1,0,0.12,0,1
SMA200 2x/cash,2.0,11.05,23.91,0.398,0.452,0.235,-47.12,1130.28,2003-05-02,2026-06-24,23.15,24.0,7.6,176,2.0,0,0,1,0,0.12,0,0
SMA200 3x/cash,3.0,11.19,35.86,0.383,0.434,0.173,-64.84,1162.3,2003-05-02,2026-06-24,23.15,24.0,7.6,176,3.0,0,0,0,0,0.12,0,0
SMA50/200 Golden Cross 1x/cash,1.0,10.23,13.41,0.44,0.451,0.254,-40.27,952.25,2003-05-02,2026-06-24,23.15,25.7,1.1,26,1.0,0,1,1,0,0.12,0,1
SMA50/200 Golden Cross 2x/cash,2.0,12.35,26.83,0.421,0.432,0.184,-67.12,1478.27,2003-05-02,2026-06-24,23.15,25.7,1.1,26,2.0,0,0,0,0,0.12,0,0
SMA200 +-3% Band 1x/cash,1.0,10.87,12.28,0.502,0.572,0.495,-21.98,1088.89,2003-05-02,2026-06-24,23.15,23.8,1.3,30,1.0,0,1,1,0,0.12,0,1
SMA200 +-3% Band 2x/cash,2.0,13.98,24.56,0.481,0.548,0.347,-40.33,2064.46,2003-05-02,2026-06-24,23.15,23.8,1.3,30,2.0,0,1,1,1,0.12,0,0
SMA200 +-3% Band 3x/cash,3.0,15.46,36.84,0.466,0.531,0.269,-57.44,2784.78,2003-05-02,2026-06-24,23.15,23.8,1.3,30,3.0,0,1,0,1,0.12,0,0
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,10.89,12.59,0.493,0.556,0.519,-20.96,1091.86,2003-05-02,2026-06-24,23.15,23.5,1.3,30,1.0,0,1,1,0,0.12,0,1
SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,13.91,25.19,0.472,0.533,0.342,-40.71,2035.86,2003-05-02,2026-06-24,23.15,23.5,1.3,30,2.0,0,1,1,1,0.12,0,0
SMA200 +-3% Band + RSI>30 Exit 3x/cash,3.0,15.22,37.78,0.457,0.516,0.263,-57.95,2652.04,2003-05-02,2026-06-24,23.15,23.5,1.3,30,3.0,0,1,0,1,0.12,0,0
MACD 1x/cash,1.0,8.52,12.13,0.446,0.409,0.359,-23.75,662.21,2003-05-02,2026-06-24,23.15,49.6,20.9,483,1.0,0,1,1,0,0.12,0,1
MACD 2x/cash,2.0,9.2,24.26,0.431,0.395,0.187,-49.24,765.5,2003-05-02,2026-06-24,23.15,49.6,20.9,483,2.0,0,0,1,0,0.12,0,0
MACD 3x/cash,3.0,8.72,36.39,0.42,0.385,0.123,-70.97,692.35,2003-05-02,2026-06-24,23.15,49.6,20.9,483,3.0,0,0,0,0,0.12,0,0
