Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
Buy & Hold 1x,1.0,7.06,14.3,0.189,0.284,0.153,-46.24,510.58,2002-07-31,2026-06-24,23.9,0.0,0.1,2,1.0,0,0,0,0,0.1,0,0
Buy & Hold 2x,2.0,5.54,28.6,0.163,0.245,0.071,-77.73,362.79,2002-07-31,2026-06-24,23.9,0.0,0.1,2,2.0,0,0,0,0,0.1,0,0
Buy & Hold 3x,3.0,2.23,42.9,0.145,0.218,0.024,-91.87,169.2,2002-07-31,2026-06-24,23.9,0.0,0.1,2,3.0,0,0,0,0,0.1,0,0
SMA20 1x/cash,1.0,3.82,10.31,0.042,0.046,0.129,-29.6,244.84,2002-07-31,2026-06-24,23.9,46.6,31.2,746,1.0,0,0,1,0,0.1,0,1
SMA20 2x/cash,2.0,0.62,20.62,0.022,0.024,0.01,-60.17,115.9,2002-07-31,2026-06-24,23.9,46.6,31.2,746,2.0,0,0,0,0,0.1,0,0
SMA20 3x/cash,3.0,-2.4,30.92,0.009,0.009,-0.03,-79.47,55.9,2002-07-31,2026-06-24,23.9,46.6,31.2,746,3.0,0,0,0,0,0.1,0,0
SMA200 1x/cash,1.0,4.64,10.99,-0.019,-0.022,0.132,-35.15,295.26,2002-07-31,2026-06-24,23.9,42.9,11.0,263,1.0,0,0,1,0,0.1,0,1
SMA200 2x/cash,2.0,1.78,21.98,-0.039,-0.044,0.025,-70.68,152.14,2002-07-31,2026-06-24,23.9,42.9,11.0,263,2.0,0,0,0,0,0.1,0,0
SMA200 3x/cash,3.0,-1.55,32.97,-0.053,-0.059,-0.018,-86.55,68.71,2002-07-31,2026-06-24,23.9,42.9,11.0,263,3.0,0,0,0,0,0.1,0,0
SMA50/200 Golden Cross 1x/cash,1.0,6.59,11.03,0.087,0.098,0.31,-21.22,458.73,2002-07-31,2026-06-24,23.9,43.2,1.9,45,1.0,0,1,1,0,0.1,0,1
SMA50/200 Golden Cross 2x/cash,2.0,5.48,22.06,0.067,0.076,0.127,-43.29,357.77,2002-07-31,2026-06-24,23.9,43.2,1.9,45,2.0,0,0,1,0,0.1,0,0
SMA200 +-3% Band 1x/cash,1.0,6.24,11.07,0.066,0.075,0.263,-23.68,424.31,2002-07-31,2026-06-24,23.9,42.5,1.4,33,1.0,0,1,1,0,0.1,0,1
SMA200 +-3% Band 2x/cash,2.0,4.78,22.14,0.047,0.053,0.083,-57.84,304.61,2002-07-31,2026-06-24,23.9,42.5,1.4,33,2.0,0,0,0,0,0.1,0,0
SMA200 +-3% Band 3x/cash,3.0,2.35,33.21,0.033,0.038,0.03,-78.66,174.17,2002-07-31,2026-06-24,23.9,42.5,1.4,33,3.0,0,0,0,0,0.1,0,0
SMA200 +-3% Band + RSI>30 Exit 1x/cash,1.0,6.17,11.11,0.059,0.067,0.262,-23.58,418.24,2002-07-31,2026-06-24,23.9,42.0,1.4,33,1.0,0,1,1,0,0.1,0,1
SMA200 +-3% Band + RSI>30 Exit 2x/cash,2.0,4.64,22.22,0.039,0.045,0.081,-57.65,295.65,2002-07-31,2026-06-24,23.9,42.0,1.4,33,2.0,0,0,0,0,0.1,0,0
SMA200 +-3% Band + RSI>30 Exit 3x/cash,3.0,2.17,33.33,0.026,0.029,0.028,-78.46,166.78,2002-07-31,2026-06-24,23.9,42.0,1.4,33,3.0,0,0,0,0,0.1,0,0
MACD 1x/cash,1.0,5.31,10.31,0.141,0.156,0.144,-36.77,343.85,2002-07-31,2026-06-24,23.9,47.8,19.8,474,1.0,0,0,1,0,0.1,0,1
MACD 2x/cash,2.0,3.19,20.62,0.122,0.135,0.049,-64.53,211.53,2002-07-31,2026-06-24,23.9,47.8,19.8,474,2.0,0,0,0,0,0.1,0,0
MACD 3x/cash,3.0,0.61,30.92,0.109,0.12,0.008,-81.37,115.62,2002-07-31,2026-06-24,23.9,47.8,19.8,474,3.0,0,0,0,0,0.1,0,0
BB Mean Reversion 1x/cash,1.0,6.06,6.81,0.029,0.02,0.259,-23.38,407.21,2002-07-31,2026-06-24,23.9,77.3,7.7,183,1.0,0,1,1,0,0.1,0,1
BB Mean Reversion 2x/cash,2.0,5.18,13.62,0.016,0.012,0.114,-45.35,334.0,2002-07-31,2026-06-24,23.9,77.3,7.7,183,2.0,0,0,1,0,0.1,0,1
Momentum 12m 1x/cash,1.0,6.19,11.56,0.131,0.154,0.26,-23.8,419.93,2002-07-31,2026-06-24,23.9,38.1,5.6,134,1.0,0,1,1,0,0.1,0,1
Momentum 12m 2x/cash,2.0,4.6,23.12,0.111,0.13,0.081,-56.6,292.84,2002-07-31,2026-06-24,23.9,38.1,5.6,134,2.0,0,0,0,0,0.1,0,0
Momentum 12m 3x/cash,3.0,2.0,34.67,0.097,0.113,0.026,-76.62,160.5,2002-07-31,2026-06-24,23.9,38.1,5.6,134,3.0,0,0,0,0,0.1,0,0
Guarded A5/B25 2x,2.0,0.98,19.51,0.029,0.032,0.016,-59.62,126.13,2002-07-31,2026-06-24,23.9,46.6,31.5,753,1.91,0,0,0,0,0.1,0,0
Guarded A10/B20 2x,2.0,1.51,17.41,0.025,0.027,0.029,-52.1,143.08,2002-07-31,2026-06-24,23.9,46.6,31.4,750,1.67,0,0,0,0,0.1,0,0
Guarded+ (200/2x/floor) 2x,2.0,1.85,19.02,-0.065,-0.069,0.026,-70.06,154.76,2002-07-31,2026-06-24,23.9,43.0,11.3,270,1.63,0,0,0,0,0.1,0,0
Golden 2x volguard,2.0,5.56,19.2,0.067,0.078,0.14,-39.8,364.37,2002-07-31,2026-06-24,23.9,43.2,4.2,100,1.9,0,0,1,0,0.1,0,0
Golden 3x volguard,3.0,3.4,25.38,0.011,0.012,0.062,-55.23,221.98,2002-07-31,2026-06-24,23.9,43.2,12.1,288,2.59,0,0,0,0,0.1,0,0
SMA200 2x monthly,2.0,6.24,21.88,0.119,0.134,0.146,-42.63,424.08,2002-07-31,2026-06-24,23.9,44.4,2.0,47,2.0,0,0,1,0,0.1,0,0
SMA200 2x 3% band,2.0,4.78,22.14,0.047,0.053,0.083,-57.84,304.61,2002-07-31,2026-06-24,23.9,42.5,1.4,33,2.0,0,0,0,0,0.1,0,0
Mom 12m 2x/cash,2.0,4.6,23.12,0.111,0.13,0.081,-56.6,292.84,2002-07-31,2026-06-24,23.9,38.1,5.6,134,2.0,0,0,0,0,0.1,0,0
RSI Scale 1-3x,3.0,5.15,16.46,0.105,0.112,0.135,-38.19,331.94,2002-07-31,2026-06-24,23.9,42.0,20.9,499,1.42,0,0,1,0,0.1,0,0
VIX Scale 1-3x,3.0,5.15,22.89,0.116,0.112,0.097,-53.13,331.6,2002-07-31,2026-06-24,23.9,42.0,11.4,273,1.41,0,0,0,0,0.1,0,0
Distance Scale 1-3x,3.0,3.18,24.82,0.053,0.06,0.044,-72.07,210.98,2002-07-31,2026-06-24,23.9,42.5,13.1,312,2.42,0,0,0,0,0.1,0,0
DD Scale 1-3x,3.0,4.54,12.73,-0.058,-0.062,0.098,-46.39,288.71,2002-07-31,2026-06-24,23.9,42.5,1.4,33,1.14,0,0,0,0,0.1,0,1
BB Scale 1-3x,3.0,5.13,12.04,0.047,0.051,0.186,-27.56,330.49,2002-07-31,2026-06-24,23.9,42.5,7.2,173,1.08,0,1,1,0,0.1,0,1
SMA200 +-3% Band + RSI Scale 1-3x,3.0,5.15,16.46,0.105,0.112,0.135,-38.19,331.94,2002-07-31,2026-06-24,23.9,42.0,20.9,499,1.42,0,0,1,0,0.1,0,0
SMA200 +-3% Band + VIX Scale 1-3x,3.0,5.15,22.89,0.116,0.112,0.097,-53.13,331.6,2002-07-31,2026-06-24,23.9,42.0,11.4,273,1.41,0,0,0,0,0.1,0,0
SMA200 +-3% Band + RSI>30 Exit + RSI Scale 1-3x,3.0,5.15,16.46,0.105,0.112,0.135,-38.19,331.94,2002-07-31,2026-06-24,23.9,42.0,20.9,499,1.42,0,0,1,0,0.1,0,0
SMA200 +-3% Band + RSI>30 Exit + VIX Scale 1-3x,3.0,5.15,22.89,0.116,0.112,0.097,-53.13,331.6,2002-07-31,2026-06-24,23.9,42.0,11.4,273,1.41,0,0,0,0,0.1,0,0
SMA50 1x/cash,1.0,4.26,10.76,0.013,0.014,0.157,-27.22,271.04,2002-07-31,2026-06-24,23.9,44.5,21.2,506,1.0,0,1,1,0,0.1,0,1
SMA50 2x/cash,2.0,1.24,21.52,-0.007,-0.007,0.02,-61.8,133.97,2002-07-31,2026-06-24,23.9,44.5,21.2,506,2.0,0,0,0,0,0.1,0,0
SMA50 3x/cash,3.0,-1.89,32.28,-0.02,-0.022,-0.024,-79.73,63.24,2002-07-31,2026-06-24,23.9,44.5,21.2,506,3.0,0,0,0,0,0.1,0,0
SMA100 1x/cash,1.0,5.47,10.89,0.119,0.134,0.188,-29.14,356.52,2002-07-31,2026-06-24,23.9,43.4,13.4,320,1.0,0,1,1,0,0.1,0,1
SMA100 2x/cash,2.0,3.31,21.79,0.099,0.112,0.051,-65.25,217.76,2002-07-31,2026-06-24,23.9,43.4,13.4,320,2.0,0,0,0,0,0.1,0,0
SMA100 3x/cash,3.0,0.4,32.68,0.086,0.097,0.005,-83.41,109.92,2002-07-31,2026-06-24,23.9,43.4,13.4,320,3.0,0,0,0,0,0.1,0,0
EMA20 1x/cash,1.0,3.46,10.33,0.04,0.044,0.105,-32.78,225.05,2002-07-31,2026-06-24,23.9,46.0,34.9,834,1.0,0,0,1,0,0.1,0,1
EMA20 2x/cash,2.0,0.03,20.65,0.02,0.022,0.0,-61.8,100.62,2002-07-31,2026-06-24,23.9,46.0,34.9,834,2.0,0,0,0,0,0.1,0,0
EMA20 3x/cash,3.0,-3.03,30.98,0.007,0.007,-0.037,-81.02,47.94,2002-07-31,2026-06-24,23.9,46.0,34.9,834,3.0,0,0,0,0,0.1,0,0
EMA50 1x/cash,1.0,4.82,10.74,0.133,0.147,0.131,-36.7,307.39,2002-07-31,2026-06-24,23.9,43.6,22.0,526,1.0,0,0,1,0,0.1,0,1
EMA50 2x/cash,2.0,2.12,21.47,0.113,0.125,0.03,-71.45,164.87,2002-07-31,2026-06-24,23.9,43.6,22.0,526,2.0,0,0,0,0,0.1,0,0
