strategy,cagr,ann_volatility,sharpe,max_drawdown,start_$,end_$,pct_sessions_invested,pct_sessions_tbills,rebalances,trading_costs_total,funding_costs_total,strategy_type,reference_order,A_trigger_pct,B_trigger_pct,guard_sma,tier2_entries,tier3_entries,tier_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
Buy & hold 1x reference,0.11377168785936242,0.19118016160352883,0.5168128710762814,-0.5367270109570947,100.0,2533.3374056426555,100.0,0.0,0,0.0,0.0,reference,1,,,,0,0,0,0.0,100.0,0.0,0.0
Buy & hold 2x reference,0.13468779782975493,0.3823593108552613,0.44213512666436205,-0.8566103626533073,100.0,4382.292556193021,100.0,0.0,1,1.0,749.6187279790324,reference,2,,,,0,0,0,0.0,0.0,100.0,0.0
Buy & hold 3x reference,0.13156294326443163,0.5735399160946437,0.4172413981068789,-0.9731744415040101,100.0,3993.6235796164633,100.0,0.0,1,2.0,1233.4634035249353,reference,3,,,,0,0,0,0.0,0.0,0.0,100.0
SMA20 1x/cash reference,0.16048457123172022,0.10986812311368317,3.9128567440441175,-0.1691912023423694,100.0,8601.037879123704,62.91732909379968,37.08267090620032,868,14824.114082355072,0.0,reference,4,,,,0,0,0,37.08267090620031,62.91732909379968,0.0,0.0
SMA20 2x/cash reference,0.262323344932752,0.2197047238059971,3.7935750755794446,-0.33920614527046683,100.0,107235.38826431005,62.91732909379968,37.08267090620032,868,199470.977137054,9946.8157412677,reference,5,,,,0,0,0,37.08267090620031,0.0,62.91732909379968,0.0
SMA20 3x/cash reference,0.35760498118373807,0.32954389315468574,3.7537776534474947,-0.4915578540600075,100.0,951245.4824828717,62.91732909379968,37.08267090620032,868,1843952.8920350347,142492.05092445004,reference,6,,,,0,0,0,37.08267090620031,0.0,0.0,62.91732909379968
Guard SMA20: A=10% to 2x / B=20% to 3x,0.29388281511710135,0.26649665661234073,3.232273306458779,-0.34371791458482565,100.0,224917.89482083847,62.91732909379968,37.08267090620032,878,347079.34575538244,17263.48857251006,guarded_tiered,99,10.0,20.0,20.0,8,5,1734,37.08267090620031,26.15262321144674,10.307366189719131,26.45733969263381
Guard SMA20: A=10% to 2x / B=25% to 3x,0.2693783760006452,0.24592459463398805,3.2197186206962587,-0.3419618342716739,100.0,126748.44582326023,62.91732909379968,37.08267090620032,877,205328.07810207838,6906.066356789863,guarded_tiered,99,10.0,25.0,20.0,9,3,1672,37.08267090620031,28.603603603603606,15.580286168521463,18.733439321674616
Guard SMA20: A=15% to 2x / B=20% to 3x,0.2769703068162219,0.2596806018683673,3.1113906258472093,-0.341096038277222,100.0,151573.43675954986,62.91732909379968,37.08267090620032,874,242083.14445606217,9602.016529508583,guarded_tiered,99,15.0,20.0,20.0,3,5,1419,37.08267090620031,34.326974032856384,2.133015368309486,26.45733969263381
Guard SMA20: A=15% to 2x / B=25% to 3x,0.25279739298394643,0.23845953016922355,3.0964824808857565,-0.34115152607197463,100.0,85439.45096398133,62.91732909379968,37.08267090620032,873,143507.45584895284,3129.4301111191394,guarded_tiered,99,15.0,25.0,20.0,5,3,1356,37.08267090620031,36.77795442501325,7.405935347111818,18.733439321674616
Guard SMA50: A=10% to 2x / B=20% to 3x,0.2349142900464707,0.25618516755929377,2.514649756037432,-0.43090874292920606,100.0,55508.99290378214,68.05776364599895,31.94223635400106,832,86112.64154096927,3840.188942797452,guarded_tiered,99,10.0,20.0,50.0,5,2,1688,31.942236354001057,33.9957604663487,6.465288818229994,27.596714361420243
Guard SMA50: A=10% to 2x / B=25% to 3x,0.22078619568843472,0.23046623322396775,2.5695722517868496,-0.43116191886739486,100.0,39306.79899064996,67.71330153683095,32.28669846316905,843,60980.16354795788,1630.1156814181018,guarded_tiered,99,10.0,25.0,50.0,7,2,1603,32.28669846316905,35.91679915209327,15.73926868044515,16.05723370429253
Guard SMA50: A=15% to 2x / B=20% to 3x,0.22457440323557587,0.2515183627138519,2.5015724805638726,-0.4288627470238194,100.0,43134.93806049056,67.52782193958664,32.472178060413356,838,68672.34100198201,2857.1004343910863,guarded_tiered,99,15.0,20.0,50.0,3,2,1466,32.472178060413356,37.731849496555384,2.1992580816110228,27.596714361420243
Guard SMA50: A=15% to 2x / B=25% to 3x,0.21085167310962727,0.22415968157253427,2.562725400879698,-0.4291516122486391,100.0,30762.550860769556,67.0773714891362,32.9226285108638,846,49046.910246326326,1167.05855467218,guarded_tiered,99,15.0,25.0,50.0,5,2,1331,32.9226285108638,40.129835718071014,10.890302066772655,16.05723370429253
